Date,predicted
2023-11-20,185.60368
2023-11-21,186.54698
2023-11-22,187.66377
2023-11-24,189.11201
2023-11-27,190.30031
2023-11-28,190.84044
2023-11-29,191.43819
2023-11-30,191.81793
2023-12-01,192.09866
2023-12-04,192.32619
2023-12-05,192.01869
2023-12-06,192.07469
2023-12-07,191.26515
2023-12-08,190.26402
2023-12-11,188.67587
2023-12-12,186.69551
2023-12-13,184.20413
2023-12-14,183.0962
2023-12-15,181.87642
2023-12-18,181.06111
2023-12-19,180.36876
2023-12-20,180.25677
2023-12-21,180.21378
2023-12-22,181.21143
2023-12-26,182.10011
2023-12-27,183.16884
2023-12-28,184.53018
2023-12-29,185.96759
2024-01-02,186.18767
2024-01-03,184.51439
2024-01-04,185.24374
2024-01-05,186.20493
2024-01-08,187.07027
2024-01-09,187.82283
2024-01-10,188.68307
2024-01-11,189.48549
2024-01-12,189.82364
2024-01-16,189.24277
2024-01-17,188.508
2024-01-18,186.75247
2024-01-19,185.89221
2024-01-22,184.58205
2024-01-23,183.7612
2024-01-24,183.44627
2024-01-25,183.61795
2024-01-26,184.65837
2024-01-29,185.95737
2024-01-30,186.27568
2024-01-31,184.47258
2024-02-01,182.19449
2024-02-02,179.4462
2024-02-05,177.87717
2024-02-06,176.82939
2024-02-07,176.48871
2024-02-08,178.58942
2024-02-09,179.15071
2024-02-12,178.81435
2024-02-13,180.51024
2024-02-14,180.08159
2024-02-15,178.75742
2024-02-16,177.61507
2024-02-20,177.45325
2024-02-21,177.31705
2024-02-22,176.70187
2024-02-23,175.18872
2024-02-26,174.96237
2024-02-27,175.46013
2024-02-28,176.60559
2024-02-29,177.35341
2024-03-01,178.32907
2024-03-04,178.32349
2024-03-05,178.91481
2024-03-06,179.86995
2024-03-07,181.17262
2024-03-08,179.82954
2024-03-11,177.994
2024-03-12,174.0018
2024-03-13,170.3249
2024-03-14,172.34409
2024-03-15,171.69107
2024-03-18,170.34398
2024-03-19,168.96286
2024-03-20,168.39423
2024-03-21,166.83894
2024-03-22,165.57864
2024-03-25,164.0403
2024-03-26,165.72748
2024-03-27,165.08553
2024-03-28,167.49608
2024-04-01,171.20752
2024-04-02,174.63014
2024-04-03,174.46483
2024-04-04,172.6418
2024-04-05,170.62218
2024-04-08,169.09766
2024-04-09,167.50546
2024-04-10,168.0318
2024-04-11,169.06926
2024-04-12,171.0151
2024-04-15,172.37926
2024-04-16,174.88593
2024-04-17,176.94035
2024-04-18,177.8135
2024-04-19,178.89426
2024-04-22,178.66551
2024-04-23,178.10994
2024-04-24,177.547
2024-04-25,184.56386
2024-04-26,187.72395
2024-04-29,188.23814
2024-04-30,188.78227
2024-05-01,188.99887
2024-05-02,188.79922
2024-05-03,188.79265
2024-05-06,189.17863
2024-05-07,189.22614
2024-05-08,189.26328
2024-05-09,189.13919
2024-05-10,188.56932
2024-05-13,188.46661
2024-05-14,188.49655
2024-05-15,188.50577
2024-05-16,188.73317
