Date,predicted
2023-11-20,183.76184
2023-11-21,188.15414
2023-11-22,189.75937
2023-11-24,190.4459
2023-11-27,190.83829
2023-11-28,191.54654
2023-11-29,191.88751
2023-11-30,192.06186
2023-12-01,192.2225
2023-12-04,192.50262
2023-12-05,192.56834
2023-12-06,192.78674
2023-12-07,191.07758
2023-12-08,190.04295
2023-12-11,187.12433
2023-12-12,184.04036
2023-12-13,181.72342
2023-12-14,181.94957
2023-12-15,179.89848
2023-12-18,178.09004
2023-12-19,176.8711
2023-12-20,175.50053
2023-12-21,175.81464
2023-12-22,178.39703
2023-12-26,178.41263
2023-12-27,180.15276
2023-12-28,180.39772
2023-12-29,181.51894
2024-01-02,180.35263
2024-01-03,177.1265
2024-01-04,183.00021
2024-01-05,187.59222
2024-01-08,190.04312
2024-01-09,191.216
2024-01-10,191.8701
2024-01-11,192.27005
2024-01-12,192.20753
2024-01-16,189.05913
2024-01-17,186.70753
2024-01-18,183.36781
2024-01-19,185.65741
2024-01-22,182.89786
2024-01-23,184.962
2024-01-24,185.71898
2024-01-25,185.92163
2024-01-26,184.80574
2024-01-29,183.52632
2024-01-30,179.6516
2024-01-31,176.90233
2024-02-01,176.12326
2024-02-02,175.15974
2024-02-05,175.0856
2024-02-06,175.1489
2024-02-07,176.31512
2024-02-08,180.51309
2024-02-09,178.57678
2024-02-12,176.92477
2024-02-13,178.71794
2024-02-14,176.43427
2024-02-15,175.38927
2024-02-16,175.63658
2024-02-20,175.59773
2024-02-21,175.65388
2024-02-22,174.91612
2024-02-23,174.7627
2024-02-26,175.67212
2024-02-27,177.42027
2024-02-28,178.82462
2024-02-29,178.8168
2024-03-01,179.28116
2024-03-04,178.3816
2024-03-05,178.47874
2024-03-06,179.31001
2024-03-07,181.73528
2024-03-08,173.95778
2024-03-11,173.08519
2024-03-12,169.92213
2024-03-13,168.5201
2024-03-14,172.26276
2024-03-15,169.72348
2024-03-18,169.72334
2024-03-19,169.23714
2024-03-20,170.67613
2024-03-21,169.39024
2024-03-22,168.74983
2024-03-25,165.32327
2024-03-26,170.84746
2024-03-27,168.36375
2024-03-28,173.91354
2024-04-01,175.96225
2024-04-02,175.89798
2024-04-03,170.53851
2024-04-04,168.02301
2024-04-05,167.40242
2024-04-08,167.31491
2024-04-09,166.75885
2024-04-10,168.80319
2024-04-11,173.63612
2024-04-12,171.14044
2024-04-15,170.74126
2024-04-16,174.79976
2024-04-17,172.69897
2024-04-18,170.49542
2024-04-19,177.20293
2024-04-22,175.44743
2024-04-23,179.97806
2024-04-24,183.59865
2024-04-25,185.47746
2024-04-26,186.17746
2024-04-29,186.05852
2024-04-30,188.49081
2024-05-01,188.53047
2024-05-02,186.80328
2024-05-03,186.25348
2024-05-06,188.49675
2024-05-07,188.25092
2024-05-08,188.69983
2024-05-09,189.1702
2024-05-10,187.02344
2024-05-13,189.23126
2024-05-14,190.32048
2024-05-15,190.8162
2024-05-16,190.72629
