Date,predicted
2023-11-20,182.86496
2023-11-21,186.03133
2023-11-22,188.42133
2023-11-24,190.4228
2023-11-27,191.93152
2023-11-28,193.55183
2023-11-29,195.38445
2023-11-30,194.96117
2023-12-01,194.18585
2023-12-04,194.58658
2023-12-05,192.81868
2023-12-06,195.4492
2023-12-07,191.59918
2023-12-08,190.82945
2023-12-11,186.00505
2023-12-12,183.96222
2023-12-13,181.27286
2023-12-14,181.3614
2023-12-15,178.87799
2023-12-18,178.22905
2023-12-19,179.71962
2023-12-20,177.36362
2023-12-21,176.19534
2023-12-22,182.27756
2023-12-26,183.207
2023-12-27,187.94667
2023-12-28,188.2353
2023-12-29,187.31851
2024-01-02,184.897
2024-01-03,180.58694
2024-01-04,185.32928
2024-01-05,190.22342
2024-01-08,192.23288
2024-01-09,193.56078
2024-01-10,193.32675
2024-01-11,194.08179
2024-01-12,193.99785
2024-01-16,187.98167
2024-01-17,186.47237
2024-01-18,181.97914
2024-01-19,183.6618
2024-01-22,182.23532
2024-01-23,182.32565
2024-01-24,185.21764
2024-01-25,187.14984
2024-01-26,187.67128
2024-01-29,187.17693
2024-01-30,184.37273
2024-01-31,180.54729
2024-02-01,178.91779
2024-02-02,177.22598
2024-02-05,177.68134
2024-02-06,177.79823
2024-02-07,180.62427
2024-02-08,186.09016
2024-02-09,185.18365
2024-02-12,181.22894
2024-02-13,185.7944
2024-02-14,182.64038
2024-02-15,181.04898
2024-02-16,180.31606
2024-02-20,177.77994
2024-02-21,176.05602
2024-02-22,173.4627
2024-02-23,168.80692
2024-02-26,174.97026
2024-02-27,176.1866
2024-02-28,176.5491
2024-02-29,176.06058
2024-03-01,172.92209
2024-03-04,171.21967
2024-03-05,168.7906
2024-03-06,171.62955
2024-03-07,177.90611
2024-03-08,174.55312
2024-03-11,174.6555
2024-03-12,171.95695
2024-03-13,170.0597
2024-03-14,171.47823
2024-03-15,171.69788
2024-03-18,172.60225
2024-03-19,173.09311
2024-03-20,174.98978
2024-03-21,171.36327
2024-03-22,170.92499
2024-03-25,168.70003
2024-03-26,172.62314
2024-03-27,171.77707
2024-03-28,181.8991
2024-04-01,181.06943
2024-04-02,177.42892
2024-04-03,175.18434
2024-04-04,171.79204
2024-04-05,170.79338
2024-04-08,170.68419
2024-04-09,169.9065
2024-04-10,172.92606
2024-04-11,173.8241
2024-04-12,174.18266
2024-04-15,174.02939
2024-04-16,180.76982
2024-04-17,176.34071
2024-04-18,175.62326
2024-04-19,181.6218
2024-04-22,180.82047
2024-04-23,182.79462
2024-04-24,183.75508
2024-04-25,185.38188
2024-04-26,186.42737
2024-04-29,188.08717
2024-04-30,188.79271
2024-05-01,188.97282
2024-05-02,188.82645
2024-05-03,189.35117
2024-05-06,189.95795
2024-05-07,189.85367
2024-05-08,190.0357
2024-05-09,189.60146
2024-05-10,184.5149
2024-05-13,190.47447
2024-05-14,191.69154
2024-05-15,191.99962
2024-05-16,191.77196
