Date,predicted
2023-11-17,21889.71
2023-11-20,22057.445
2023-11-21,22265.799
2023-11-22,22384.06
2023-11-23,22514.348
2023-11-24,22493.426
2023-11-27,22519.486
2023-11-28,22474.635
2023-11-29,22424.314
2023-11-30,22487.697
2023-12-01,22650.535
2023-12-04,22735.822
2023-12-05,22900.31
2023-12-06,22899.422
2023-12-07,23026.596
2023-12-08,23178.46
2023-12-11,23320.342
2023-12-12,23427.65
2023-12-13,23565.816
2023-12-14,23567.088
2023-12-15,23695.129
2023-12-18,23818.027
2023-12-19,23940.629
2023-12-20,24098.363
2023-12-21,24335.049
2023-12-22,24657.162
2023-12-25,25084.525
2023-12-26,25627.135
2023-12-27,26039.188
2023-12-28,26300.436
2023-12-29,26513.154
2024-01-02,26599.975
2024-01-03,26711.164
2024-01-04,26732.559
2024-01-05,26734.174
2024-01-08,26705.025
2024-01-09,26692.89
2024-01-10,26741.83
2024-01-11,26799.303
2024-01-12,26972.822
2024-01-15,27411.861
2024-01-16,27422.107
2024-01-17,27559.678
2024-01-18,27111.57
2024-01-19,27400.635
2024-01-22,27670.14
2024-01-23,27864.281
2024-01-24,28049.373
2024-01-25,28152.771
2024-01-26,28203.643
2024-01-29,28317.049
2024-01-30,28364.72
2024-01-31,28339.998
2024-02-01,28250.488
2024-02-02,28207.814
2024-02-05,28159.758
2024-02-06,28259.799
2024-02-07,28314.37
2024-02-15,28374.633
2024-02-16,28369.645
2024-02-19,28349.277
2024-02-20,28323.629
2024-02-21,28318.22
2024-02-22,27715.81
2024-02-23,27399.639
2024-02-26,26833.217
2024-02-27,26467.207
2024-02-28,26375.6
2024-02-29,27046.871
2024-03-01,27224.85
2024-03-04,27406.877
2024-03-05,27158.893
2024-03-06,26920.482
2024-03-07,27165.19
2024-03-08,27561.553
2024-03-11,27812.201
2024-03-12,27744.354
2024-03-13,27924.768
2024-03-14,28071.332
2024-03-15,28182.533
2024-03-18,28293.27
2024-03-19,28322.8
2024-03-20,28217.338
2024-03-21,28032.016
2024-03-22,27696.81
2024-03-25,27148.16
2024-03-26,26600.604
2024-03-27,26603.254
2024-03-28,26388.002
2024-03-29,26450.904
2024-04-01,27015.777
2024-04-02,26727.584
2024-04-03,26759.14
2024-04-04,26540.576
2024-04-05,26359.113
2024-04-08,26323.229
2024-04-09,26248.395
2024-04-10,26505.107
2024-04-11,26585.438
2024-04-12,26693.727
2024-04-15,26907.191
2024-04-16,27069.031
2024-04-17,27268.324
2024-04-19,27498.193
2024-04-22,27647.922
2024-04-23,27730.883
2024-04-24,27736.605
2024-04-25,27778.031
2024-04-26,27732.627
2024-05-02,27693.385
2024-05-03,27625.17
2024-05-06,27732.125
2024-05-07,27776.068
2024-05-08,27838.865
2024-05-09,27652.436
2024-05-10,27761.111
2024-05-13,27797.139
2024-05-14,27837.738
2024-05-15,27896.184
2024-05-16,27924.36
2024-05-17,24838.764
