,Date,predicted
0,2023-05-12,[19699.88]
1,2023-05-15,[19700.566]
2,2023-05-16,[19687.418]
3,2023-05-17,[19680.43]
4,2023-05-18,[19679.582]
5,2023-05-19,[19679.143]
6,2023-05-22,[19685.111]
7,2023-05-23,[19684.258]
8,2023-05-24,[19676.676]
9,2023-05-25,[19683.418]
10,2023-05-26,[19698.812]
11,2023-05-29,[19720.488]
12,2023-05-30,[19722.46]
13,2023-05-31,[19709.426]
14,2023-06-01,[19696.547]
15,2023-06-02,[19689.592]
16,2023-06-05,[19678.113]
17,2023-06-06,[19685.557]
18,2023-06-07,[19687.72]
19,2023-06-08,[19671.916]
20,2023-06-09,[19682.371]
21,2023-06-12,[19660.227]
22,2023-06-13,[19665.553]
23,2023-06-14,[19678.672]
24,2023-06-15,[19680.553]
25,2023-06-16,[19690.904]
26,2023-06-19,[19699.674]
27,2023-06-20,[19693.623]
28,2023-06-21,[19708.906]
29,2023-06-22,[19703.133]
30,2023-06-23,[19703.518]
31,2023-06-26,[19700.275]
32,2023-06-27,[19669.09]
33,2023-06-28,[19656.383]
34,2023-06-29,[19663.96]
35,2023-06-30,[19665.658]
36,2023-07-03,[19655.863]
37,2023-07-04,[19659.426]
38,2023-07-05,[19657.604]
39,2023-07-06,[19669.064]
40,2023-07-07,[19680.512]
41,2023-07-10,[19694.299]
42,2023-07-11,[19690.758]
43,2023-07-12,[19686.043]
44,2023-07-13,[19690.832]
45,2023-07-14,[19700.22]
46,2023-07-17,[19703.758]
47,2023-07-18,[19688.928]
48,2023-07-19,[19692.959]
49,2023-07-20,[19696.93]
50,2023-07-21,[19701.322]
51,2023-07-24,[19705.14]
52,2023-07-25,[19712.041]
53,2023-07-26,[19724.633]
54,2023-07-27,[19732.236]
55,2023-07-28,[19730.932]
56,2023-07-31,[19729.]
57,2023-08-01,[19710.523]
58,2023-08-02,[19702.965]
59,2023-08-03,[19689.416]
60,2023-08-04,[19681.316]
61,2023-08-07,[19659.88]
62,2023-08-08,[19646.564]
63,2023-08-09,[19636.494]
64,2023-08-10,[19635.94]
65,2023-08-11,[19625.035]
66,2023-08-14,[19616.889]
67,2023-08-15,[19597.715]
68,2023-08-16,[19623.154]
69,2023-08-17,[19625.146]
70,2023-08-18,[19635.441]
71,2023-08-21,[19645.254]
72,2023-08-22,[19645.904]
73,2023-08-23,[19655.082]
74,2023-08-24,[19668.623]
75,2023-08-25,[19691.746]
76,2023-08-28,[19686.146]
77,2023-08-29,[19687.242]
78,2023-08-30,[19693.672]
79,2023-08-31,[19679.492]
80,2023-09-05,[19679.436]
81,2023-09-06,[19685.725]
82,2023-09-07,[19667.713]
83,2023-09-08,[19661.379]
84,2023-09-11,[19671.064]
85,2023-09-12,[19665.45]
86,2023-09-13,[19648.264]
87,2023-09-14,[19641.947]
88,2023-09-15,[19640.992]
89,2023-09-18,[19633.54]
90,2023-09-19,[19630.8]
91,2023-09-20,[19629.002]
92,2023-09-21,[19617.627]
93,2023-09-22,[19603.48]
94,2023-09-25,[19590.938]
95,2023-09-26,[19601.307]
96,2023-09-27,[19605.895]
97,2023-09-28,[19609.057]
98,2023-09-29,[19625.094]
99,2023-10-02,[19624.11]
100,2023-10-03,[19642.92]
101,2023-10-04,[19676.697]
