,Date,predicted
0,2023-11-17,[21931.285]
1,2023-11-20,[22067.389]
2,2023-11-21,[22359.273]
3,2023-11-22,[22613.303]
4,2023-11-23,[22996.43]
5,2023-11-24,[22870.916]
6,2023-11-27,[22805.008]
7,2023-11-28,[22839.225]
8,2023-11-29,[23174.105]
9,2023-11-30,[22994.506]
10,2023-12-01,[23617.932]
11,2023-12-04,[23089.773]
12,2023-12-05,[22870.092]
13,2023-12-06,[22910.578]
14,2023-12-07,[22938.088]
15,2023-12-08,[22978.25]
16,2023-12-11,[23163.475]
17,2023-12-12,[23211.324]
18,2023-12-13,[23299.75]
19,2023-12-14,[23352.666]
20,2023-12-15,[23355.652]
21,2023-12-18,[23552.986]
22,2023-12-19,[23905.71]
23,2023-12-20,[24445.318]
24,2023-12-21,[25030.648]
25,2023-12-22,[25519.068]
26,2023-12-25,[25834.57]
27,2023-12-26,[25938.043]
28,2023-12-27,[26177.273]
29,2023-12-28,[25621.021]
30,2023-12-29,[26042.512]
31,2024-01-02,[25589.912]
32,2024-01-03,[25674.99]
33,2024-01-04,[25777.94]
34,2024-01-05,[26265.186]
35,2024-01-08,[26648.582]
36,2024-01-09,[26942.428]
37,2024-01-10,[27177.361]
38,2024-01-11,[27123.443]
39,2024-01-12,[27184.076]
40,2024-01-15,[27579.715]
41,2024-01-16,[27073.56]
42,2024-01-17,[26932.934]
43,2024-01-18,[26295.58]
44,2024-01-19,[27209.842]
45,2024-01-22,[27661.396]
46,2024-01-23,[27883.46]
47,2024-01-24,[27914.07]
48,2024-01-25,[27899.404]
49,2024-01-26,[27934.82]
50,2024-01-29,[28075.182]
51,2024-01-30,[28202.543]
52,2024-01-31,[28154.312]
53,2024-02-01,[28183.494]
54,2024-02-02,[28169.557]
55,2024-02-05,[27871.348]
56,2024-02-06,[28160.4]
57,2024-02-07,[28263.305]
58,2024-02-15,[28353.896]
59,2024-02-16,[28333.836]
60,2024-02-19,[28285.746]
61,2024-02-20,[28288.85]
62,2024-02-21,[28341.62]
63,2024-02-22,[27635.05]
64,2024-02-23,[27416.857]
65,2024-02-26,[27190.523]
66,2024-02-27,[26709.94]
67,2024-02-28,[26519.316]
68,2024-02-29,[27602.008]
69,2024-03-01,[27465.41]
70,2024-03-04,[27560.695]
71,2024-03-05,[26907.719]
72,2024-03-06,[26648.309]
73,2024-03-07,[27432.484]
74,2024-03-08,[27808.713]
75,2024-03-11,[27918.4]
76,2024-03-12,[27733.703]
77,2024-03-13,[28121.957]
78,2024-03-14,[28201.936]
79,2024-03-15,[28193.348]
80,2024-03-18,[28193.107]
81,2024-03-19,[28232.191]
82,2024-03-20,[28303.084]
83,2024-03-21,[27621.285]
84,2024-03-22,[27332.695]
85,2024-03-25,[27116.414]
86,2024-03-26,[27042.01]
87,2024-03-27,[27098.855]
88,2024-03-28,[26713.111]
89,2024-03-29,[26666.537]
90,2024-04-01,[27451.43]
91,2024-04-02,[26687.66]
92,2024-04-03,[26703.578]
93,2024-04-04,[26448.656]
94,2024-04-05,[26343.996]
95,2024-04-08,[26382.385]
96,2024-04-09,[26297.531]
97,2024-04-10,[26597.598]
98,2024-04-11,[26606.145]
99,2024-04-12,[26732.197]
100,2024-04-15,[26782.16]
101,2024-04-16,[27360.795]
102,2024-04-17,[27575.613]
103,2024-04-19,[27647.756]
104,2024-04-22,[27830.621]
105,2024-04-23,[27826.604]
106,2024-04-24,[27877.13]
107,2024-04-25,[27804.635]
108,2024-04-26,[27758.25]
109,2024-05-02,[27670.508]
110,2024-05-03,[27880.992]
111,2024-05-06,[27798.895]
112,2024-05-07,[27670.078]
113,2024-05-08,[27733.674]
114,2024-05-09,[27378.855]
115,2024-05-10,[27758.686]
116,2024-05-13,[27839.93]
117,2024-05-14,[27866.713]
118,2024-05-15,[27927.488]
119,2024-05-16,[27804.393]
120,2024-05-17,[26947.406]
