Date,predicted
2023-11-17,21928.344
2023-11-20,21772.66
2023-11-21,22025.115
2023-11-22,22408.59
2023-11-23,22871.543
2023-11-24,23020.256
2023-11-27,23271.36
2023-11-28,23063.35
2023-11-29,22786.691
2023-11-30,22714.215
2023-12-01,22717.752
2023-12-04,22522.291
2023-12-05,22714.09
2023-12-06,22773.746
2023-12-07,23015.09
2023-12-08,23267.115
2023-12-11,23315.879
2023-12-12,23533.332
2023-12-13,23384.807
2023-12-14,23466.008
2023-12-15,23659.229
2023-12-18,24012.463
2023-12-19,24245.635
2023-12-20,24768.68
2023-12-21,25320.506
2023-12-22,25710.115
2023-12-25,26034.764
2023-12-26,26173.32
2023-12-27,26503.844
2023-12-28,26166.627
2023-12-29,26685.004
2024-01-02,25803.295
2024-01-03,26039.62
2024-01-04,26028.35
2024-01-05,26455.762
2024-01-08,26897.432
2024-01-09,26968.13
2024-01-10,26661.879
2024-01-11,26429.557
2024-01-12,26402.604
2024-01-15,27145.242
2024-01-16,26248.191
2024-01-17,26156.26
2024-01-18,25947.207
2024-01-19,26759.066
2024-01-22,27604.672
2024-01-23,27449.879
2024-01-24,27814.986
2024-01-25,27743.596
2024-01-26,28060.559
2024-01-29,28140.16
2024-01-30,28172.398
2024-01-31,28100.812
2024-02-01,27892.512
2024-02-02,27932.342
2024-02-05,27531.273
2024-02-06,28218.691
2024-02-07,28264.686
2024-02-15,28356.152
2024-02-16,28349.23
2024-02-19,28244.258
2024-02-20,28236.297
2024-02-21,28348.805
2024-02-22,27250.562
2024-02-23,27072.082
2024-02-26,26924.178
2024-02-27,26023.139
2024-02-28,26278.309
2024-02-29,27892.318
2024-03-01,27684.121
2024-03-04,27726.94
2024-03-05,26987.707
2024-03-06,26749.799
2024-03-07,27937.826
2024-03-08,28375.807
2024-03-11,28623.096
2024-03-12,27988.865
2024-03-13,28285.822
2024-03-14,28522.867
2024-03-15,28376.928
2024-03-18,28418.646
2024-03-19,28393.398
2024-03-20,28229.8
2024-03-21,27518.387
2024-03-22,27173.86
2024-03-25,27057.97
2024-03-26,26213.516
2024-03-27,26475.3
2024-03-28,26410.416
2024-03-29,26424.762
2024-04-01,27980.016
2024-04-02,26455.531
2024-04-03,26748.607
2024-04-04,26507.271
2024-04-05,26429.521
2024-04-08,26587.412
2024-04-09,26577.627
2024-04-10,27053.143
2024-04-11,26563.611
2024-04-12,26824.078
2024-04-15,26930.135
2024-04-16,27479.312
2024-04-17,27839.482
2024-04-19,28277.988
2024-04-22,28254.998
2024-04-23,28272.209
2024-04-24,28122.543
2024-04-25,27902.736
2024-04-26,27733.262
2024-05-02,27491.332
2024-05-03,27543.375
2024-05-06,27536.55
2024-05-07,27244.701
2024-05-08,27295.375
2024-05-09,26963.207
2024-05-10,27625.234
2024-05-13,27622.867
2024-05-14,27653.451
2024-05-15,27740.176
2024-05-16,27868.898
2024-05-17,25636.887
