,Date,predicted
0,2023-11-16,[38054.688]
1,2023-11-17,[37272.61]
2,2023-11-20,[38034.336]
3,2023-11-21,[38219.566]
4,2023-11-22,[38066.71]
5,2023-11-23,[38814.656]
6,2023-11-24,[38932.625]
7,2023-11-27,[39589.625]
8,2023-11-28,[39681.664]
9,2023-11-29,[40334.88]
10,2023-11-30,[40351.465]
11,2023-12-01,[40618.39]
12,2023-12-04,[40647.68]
13,2023-12-05,[38849.09]
14,2023-12-06,[39195.445]
15,2023-12-07,[39454.184]
16,2023-12-08,[40912.902]
17,2023-12-11,[41298.273]
18,2023-12-12,[41425.03]
19,2023-12-13,[41389.676]
20,2023-12-14,[41515.1]
21,2023-12-15,[40940.73]
22,2023-12-18,[41798.82]
23,2023-12-19,[41284.516]
24,2023-12-20,[42128.098]
25,2023-12-21,[41891.21]
26,2023-12-22,[42598.344]
27,2023-12-25,[43198.812]
28,2023-12-26,[44173.74]
29,2023-12-27,[45614.934]
30,2023-12-28,[46399.78]
31,2023-12-29,[46929.242]
32,2024-01-02,[47527.133]
33,2024-01-03,[47566.55]
34,2024-01-04,[47781.41]
35,2024-01-05,[48255.797]
36,2024-01-08,[48498.566]
37,2024-01-09,[48827.133]
38,2024-01-10,[48972.082]
39,2024-01-11,[48926.67]
40,2024-01-12,[48832.516]
41,2024-01-15,[48872.145]
42,2024-01-16,[48592.84]
43,2024-01-17,[48565.082]
44,2024-01-18,[48513.156]
45,2024-01-19,[48385.992]
46,2024-01-22,[48225.99]
47,2024-01-23,[48349.46]
48,2024-01-24,[48110.137]
49,2024-01-25,[47859.656]
50,2024-01-26,[47659.547]
51,2024-01-29,[47398.574]
52,2024-01-30,[47336.54]
53,2024-01-31,[47211.61]
54,2024-02-01,[47208.33]
55,2024-02-02,[47359.137]
56,2024-02-05,[47869.305]
57,2024-02-06,[47941.324]
58,2024-02-07,[48019.855]
59,2024-02-15,[48286.496]
60,2024-02-16,[48351.36]
61,2024-02-19,[48500.06]
62,2024-02-20,[48553.31]
63,2024-02-21,[48699.855]
64,2024-02-22,[48725.14]
65,2024-02-23,[48621.34]
66,2024-02-26,[48858.863]
67,2024-02-27,[48918.22]
68,2024-02-28,[48927.33]
69,2024-02-29,[48800.64]
70,2024-03-01,[48733.227]
71,2024-03-04,[48678.445]
72,2024-03-05,[48611.953]
73,2024-03-06,[48521.98]
74,2024-03-07,[48362.402]
75,2024-03-08,[48349.473]
76,2024-03-11,[48334.74]
77,2024-03-12,[48252.23]
78,2024-03-13,[48248.98]
79,2024-03-14,[48270.383]
80,2024-03-15,[48209.49]
81,2024-03-18,[48283.492]
82,2024-03-19,[48353.69]
83,2024-03-20,[48457.37]
84,2024-03-21,[48414.508]
85,2024-03-22,[48348.934]
86,2024-03-25,[48158.84]
87,2024-03-26,[48056.49]
88,2024-03-27,[47920.336]
89,2024-03-28,[47928.938]
90,2024-03-29,[47823.07]
91,2024-04-01,[47716.22]
92,2024-04-02,[47592.72]
93,2024-04-03,[47726.684]
94,2024-04-04,[47667.03]
95,2024-04-05,[47724.742]
96,2024-04-08,[47903.53]
97,2024-04-09,[47924.465]
98,2024-04-10,[47961.71]
99,2024-04-11,[47996.953]
100,2024-04-12,[47985.52]
101,2024-04-15,[47810.94]
102,2024-04-16,[47718.355]
103,2024-04-17,[47677.79]
104,2024-04-19,[47704.273]
105,2024-04-22,[47763.094]
106,2024-04-23,[47793.047]
107,2024-04-24,[47693.516]
108,2024-04-25,[47676.46]
109,2024-04-26,[47670.945]
110,2024-05-02,[47715.43]
111,2024-05-03,[47590.098]
112,2024-05-06,[47611.88]
113,2024-05-07,[47699.53]
114,2024-05-08,[47720.94]
115,2024-05-09,[47723.57]
116,2024-05-10,[47628.684]
117,2024-05-13,[47516.156]
118,2024-05-14,[47671.16]
119,2024-05-15,[47736.633]
120,2024-05-16,[47877.027]
121,2024-05-17,[47796.145]
