Date,predicted
2023-11-16,39823.383
2023-11-17,38546.914
2023-11-20,39250.36
2023-11-21,40319.387
2023-11-22,39943.92
2023-11-23,40396.027
2023-11-24,41016.863
2023-11-27,42025.71
2023-11-28,41354.383
2023-11-29,42014.914
2023-11-30,42038.79
2023-12-01,41980.01
2023-12-04,41731.973
2023-12-05,40653.668
2023-12-06,40999.742
2023-12-07,40887.066
2023-12-08,41084.93
2023-12-11,42059.965
2023-12-12,42230.355
2023-12-13,41939.47
2023-12-14,41694.402
2023-12-15,41787.53
2023-12-18,42519.37
2023-12-19,42570.79
2023-12-20,43526.594
2023-12-21,43559.227
2023-12-22,43918.97
2023-12-25,44652.5
2023-12-26,44826.703
2023-12-27,45908.152
2023-12-28,45934.69
2023-12-29,46016.715
2024-01-02,46632.65
2024-01-03,46600.8
2024-01-04,46539.45
2024-01-05,47297.504
2024-01-08,47917.258
2024-01-09,47771.992
2024-01-10,47537.508
2024-01-11,47027.434
2024-01-12,46686.473
2024-01-15,47410.797
2024-01-16,47128.742
2024-01-17,47211.32
2024-01-18,46317.848
2024-01-19,46381.125
2024-01-22,46443.84
2024-01-23,46440.48
2024-01-24,46389.867
2024-01-25,46089.812
2024-01-26,45767.836
2024-01-29,45658.457
2024-01-30,45844.023
2024-01-31,45848.027
2024-02-01,45918.2
2024-02-02,45910.832
2024-02-05,46641.137
2024-02-06,47316.008
2024-02-07,47273.074
2024-02-15,47597.55
2024-02-16,46954.926
2024-02-19,47151.645
2024-02-20,46994.973
2024-02-21,47352.887
2024-02-22,46991.727
2024-02-23,48262.918
2024-02-26,47642.375
2024-02-27,47528.426
2024-02-28,47740.445
2024-02-29,47538.664
2024-03-01,47940.48
2024-03-04,47971.19
2024-03-05,46680.75
2024-03-06,47433.42
2024-03-07,46591.133
2024-03-08,46254.1
2024-03-11,45933.48
2024-03-12,46327.83
2024-03-13,46893.477
2024-03-14,47108.62
2024-03-15,46936.27
2024-03-18,46589.812
2024-03-19,46659.945
2024-03-20,46477.867
2024-03-21,46423.805
2024-03-22,46016.39
2024-03-25,45922.207
2024-03-26,46081.016
2024-03-27,46043.36
2024-03-28,45765.133
2024-03-29,45701.66
2024-04-01,45831.887
2024-04-02,45924.836
2024-04-03,46233.215
2024-04-04,46145.445
2024-04-05,45426.66
2024-04-08,45522.54
2024-04-09,45605.734
2024-04-10,45918.64
2024-04-11,46383.223
2024-04-12,46062.742
2024-04-15,46056.86
2024-04-16,45395.79
2024-04-17,46006.355
2024-04-19,46356.332
2024-04-22,46236.79
2024-04-23,46465.938
2024-04-24,46108.684
2024-04-25,45803.844
2024-04-26,45470.94
2024-05-02,45609.44
2024-05-03,45930.594
2024-05-06,46147.12
2024-05-07,46332.336
2024-05-08,46155.85
2024-05-09,45995.883
2024-05-10,45653.805
2024-05-13,45942.438
2024-05-14,46173.676
2024-05-15,46268.66
2024-05-16,46062.953
2024-05-17,45976.19
