,Date,predicted
0,2023-11-10,[43930.906]
1,2023-11-13,[44147.453]
2,2023-11-14,[44397.32]
3,2023-11-15,[44630.574]
4,2023-11-16,[44822.137]
5,2023-11-17,[45135.434]
6,2023-11-20,[45250.945]
7,2023-11-21,[45280.44]
8,2023-11-22,[45514.863]
9,2023-11-23,[45804.977]
10,2023-11-24,[46065.242]
11,2023-11-27,[44696.9]
12,2023-11-28,[44517.734]
13,2023-11-29,[44529.9]
14,2023-11-30,[43296.457]
15,2023-12-01,[43452.168]
16,2023-12-04,[43308.953]
17,2023-12-05,[42704.47]
18,2023-12-06,[42540.49]
19,2023-12-07,[42353.703]
20,2023-12-08,[42188.246]
21,2023-12-11,[41962.74]
22,2023-12-12,[41825.04]
23,2023-12-13,[41949.164]
24,2023-12-14,[42105.59]
25,2023-12-15,[42195.566]
26,2023-12-18,[42543.902]
27,2023-12-19,[41509.312]
28,2023-12-20,[42313.715]
29,2023-12-21,[41508.055]
30,2023-12-22,[41680.785]
31,2023-12-25,[41546.926]
32,2023-12-26,[41365.414]
33,2023-12-27,[40835.164]
34,2023-12-28,[40948.535]
35,2023-12-29,[41164.266]
36,2024-01-02,[41017.89]
37,2024-01-03,[40995.457]
38,2024-01-04,[41036.645]
39,2024-01-05,[41184.176]
40,2024-01-08,[41887.734]
41,2024-01-09,[43082.605]
42,2024-01-10,[44724.21]
43,2024-01-11,[45547.965]
44,2024-01-12,[46008.746]
45,2024-01-15,[46216.793]
46,2024-01-16,[46113.406]
47,2024-01-17,[46187.47]
48,2024-01-18,[46192.36]
49,2024-01-19,[46186.277]
50,2024-01-22,[46201.652]
51,2024-01-23,[46271.543]
52,2024-01-24,[46291.17]
53,2024-01-25,[45025.64]
54,2024-01-26,[44502.062]
55,2024-01-29,[44536.344]
56,2024-01-30,[44679.28]
57,2024-01-31,[44736.11]
58,2024-02-01,[44801.223]
59,2024-02-02,[44467.63]
60,2024-02-05,[43742.133]
61,2024-02-06,[43731.86]
62,2024-02-07,[43477.54]
63,2024-02-15,[43183.066]
64,2024-02-16,[43178.887]
65,2024-02-19,[43222.305]
66,2024-02-20,[43722.17]
67,2024-02-21,[44796.637]
68,2024-02-22,[45715.17]
69,2024-02-23,[46273.715]
70,2024-02-26,[46466.977]
71,2024-02-27,[46557.89]
72,2024-02-28,[46826.168]
73,2024-02-29,[46950.98]
74,2024-03-01,[47133.69]
75,2024-03-04,[47236.062]
76,2024-03-05,[46406.676]
77,2024-03-06,[45673.824]
78,2024-03-07,[45638.4]
79,2024-03-08,[45326.4]
80,2024-03-11,[45164.65]
81,2024-03-12,[45054.473]
82,2024-03-13,[45073.336]
83,2024-03-14,[45110.52]
84,2024-03-15,[45214.805]
85,2024-03-18,[45778.562]
86,2024-03-19,[46164.414]
87,2024-03-20,[46277.32]
88,2024-03-21,[46292.87]
89,2024-03-22,[46258.07]
90,2024-03-25,[45875.58]
91,2024-03-26,[43705.29]
92,2024-03-27,[44004.57]
93,2024-03-28,[43585.508]
94,2024-03-29,[43431.42]
95,2024-04-01,[43385.48]
96,2024-04-02,[42670.543]
97,2024-04-03,[42586.65]
98,2024-04-04,[42284.375]
99,2024-04-05,[41955.117]
100,2024-04-08,[41826.14]
101,2024-04-09,[41680.496]
102,2024-04-10,[41828.785]
103,2024-04-11,[41815.957]
104,2024-04-12,[41955.195]
105,2024-04-15,[41894.414]
106,2024-04-16,[41775.19]
107,2024-04-17,[41809.4]
108,2024-04-19,[41900.285]
109,2024-04-22,[42075.05]
110,2024-04-23,[42468.27]
111,2024-04-24,[43149.67]
112,2024-04-25,[43585.61]
113,2024-04-26,[43719.152]
114,2024-05-02,[43866.76]
115,2024-05-03,[43838.73]
116,2024-05-06,[43738.53]
117,2024-05-07,[43727.9]
118,2024-05-08,[43775.508]
119,2024-05-09,[44135.438]
120,2024-05-10,[44842.223]
121,2024-05-13,[43180.57]
122,2024-05-14,[43862.754]
123,2024-05-15,[44382.773]
124,2024-05-16,[44475.277]
125,2024-05-17,[44140.38]
126,2024-05-20,[43715.105]
127,2024-05-21,[43432.574]
128,2024-05-22,[43282.598]
129,2024-05-23,[43195.906]
130,2024-05-24,[42879.14]
131,2024-05-27,[42654.242]
132,2024-05-28,[42527.77]
133,2024-05-29,[42597.547]
134,2024-05-30,[42754.418]
135,2024-05-31,[43273.027]
136,2024-06-03,[42821.2]
137,2024-06-04,[42330.918]
138,2024-06-05,[41869.54]
139,2024-06-06,[41725.74]
140,2024-06-07,[41948.25]
141,2024-06-10,[42092.562]
142,2024-06-11,[41939.14]
143,2024-06-12,[42111.64]
144,2024-06-13,[42141.695]
145,2024-06-14,[42035.3]
146,2024-06-17,[41832.895]
147,2024-06-18,[42191.74]
148,2024-06-19,[42283.582]
149,2024-06-20,[42288.477]
