,Date,predicted
0,2023-11-17,[46317.605]
1,2023-11-20,[46175.676]
2,2023-11-21,[46352.215]
3,2023-11-22,[46440.84]
4,2023-11-23,[46504.64]
5,2023-11-24,[46153.793]
6,2023-11-27,[44804.906]
7,2023-11-28,[44299.98]
8,2023-11-29,[44063.477]
9,2023-11-30,[42296.24]
10,2023-12-01,[42287.15]
11,2023-12-04,[42588.023]
12,2023-12-05,[41611.406]
13,2023-12-06,[42980.31]
14,2023-12-07,[43082.676]
15,2023-12-08,[43544.8]
16,2023-12-11,[42917.434]
17,2023-12-12,[43145.105]
18,2023-12-13,[43725.207]
19,2023-12-14,[44002.867]
20,2023-12-15,[44366.094]
21,2023-12-18,[44684.83]
22,2023-12-19,[42429.688]
23,2023-12-20,[42241.69]
24,2023-12-21,[41564.7]
25,2023-12-22,[42090.156]
26,2023-12-25,[42141.48]
27,2023-12-26,[42162.13]
28,2023-12-27,[40849.12]
29,2023-12-28,[40768.1]
30,2023-12-29,[41547.242]
31,2024-01-02,[40652.836]
32,2024-01-03,[42705.637]
33,2024-01-04,[43213.754]
34,2024-01-05,[44201.004]
35,2024-01-08,[44660.84]
36,2024-01-09,[45433.19]
37,2024-01-10,[45874.17]
38,2024-01-11,[46163.793]
39,2024-01-12,[46297.89]
40,2024-01-15,[46253.227]
41,2024-01-16,[46557.71]
42,2024-01-17,[46695.1]
43,2024-01-18,[46747.246]
44,2024-01-19,[46781.113]
45,2024-01-22,[46717.7]
46,2024-01-23,[46639.844]
47,2024-01-24,[46583.29]
48,2024-01-25,[44797.582]
49,2024-01-26,[43922.98]
50,2024-01-29,[45138.49]
51,2024-01-30,[45650.16]
52,2024-01-31,[45833.15]
53,2024-02-01,[45845.168]
54,2024-02-02,[43894.24]
55,2024-02-05,[42759.617]
56,2024-02-06,[44762.336]
57,2024-02-07,[45165.008]
58,2024-02-15,[45313.71]
59,2024-02-16,[45384.105]
60,2024-02-19,[45470.81]
61,2024-02-20,[45752.656]
62,2024-02-21,[46063.168]
63,2024-02-22,[46181.47]
64,2024-02-23,[46317.027]
65,2024-02-26,[46532.46]
66,2024-02-27,[45568.92]
67,2024-02-28,[46072.637]
68,2024-02-29,[46442.332]
69,2024-03-01,[46436.6]
70,2024-03-04,[46541.15]
71,2024-03-05,[45177.383]
72,2024-03-06,[44910.824]
73,2024-03-07,[45009.457]
74,2024-03-08,[44998.504]
75,2024-03-11,[45800.94]
76,2024-03-12,[45921.297]
77,2024-03-13,[45913.24]
78,2024-03-14,[45939.13]
79,2024-03-15,[45958.895]
80,2024-03-18,[45920.6]
81,2024-03-19,[45974.]
82,2024-03-20,[46099.1]
83,2024-03-21,[46174.594]
84,2024-03-22,[46194.37]
85,2024-03-25,[45043.75]
86,2024-03-26,[43726.727]
87,2024-03-27,[43925.453]
88,2024-03-28,[43482.39]
89,2024-03-29,[43644.832]
90,2024-04-01,[44449.223]
91,2024-04-02,[42666.555]
92,2024-04-03,[43037.586]
93,2024-04-04,[42087.527]
94,2024-04-05,[41643.29]
95,2024-04-08,[42039.45]
96,2024-04-09,[41293.75]
97,2024-04-10,[42057.918]
98,2024-04-11,[41920.17]
99,2024-04-12,[42296.652]
100,2024-04-15,[42102.46]
101,2024-04-16,[41914.496]
102,2024-04-17,[43107.37]
103,2024-04-19,[43394.367]
104,2024-04-22,[43583.95]
105,2024-04-23,[43749.777]
106,2024-04-24,[43800.04]
107,2024-04-25,[43896.332]
108,2024-04-26,[43937.688]
109,2024-05-02,[44050.195]
110,2024-05-03,[44093.99]
111,2024-05-06,[44453.11]
112,2024-05-07,[44856.64]
113,2024-05-08,[45221.074]
114,2024-05-09,[45546.918]
115,2024-05-10,[45888.062]
116,2024-05-13,[43580.543]
117,2024-05-14,[43599.035]
118,2024-05-15,[44240.305]
119,2024-05-16,[44041.906]
120,2024-05-17,[43546.613]
