,Date,predicted
0,2023-11-10,[45581.69]
1,2023-11-13,[46226.65]
2,2023-11-14,[47063.977]
3,2023-11-15,[47799.543]
4,2023-11-16,[47750.52]
5,2023-11-17,[47613.29]
6,2023-11-20,[46571.746]
7,2023-11-21,[46882.145]
8,2023-11-22,[47506.285]
9,2023-11-23,[47547.92]
10,2023-11-24,[47379.73]
11,2023-11-27,[45940.543]
12,2023-11-28,[45586.617]
13,2023-11-29,[45899.645]
14,2023-11-30,[43030.68]
15,2023-12-01,[44692.207]
16,2023-12-04,[45490.58]
17,2023-12-05,[43876.062]
18,2023-12-06,[43628.418]
19,2023-12-07,[43158.797]
20,2023-12-08,[43630.633]
21,2023-12-11,[42844.758]
22,2023-12-12,[42498.574]
23,2023-12-13,[43310.51]
24,2023-12-14,[43646.133]
25,2023-12-15,[44211.008]
26,2023-12-18,[44567.188]
27,2023-12-19,[42004.082]
28,2023-12-20,[42336.125]
29,2023-12-21,[42470.926]
30,2023-12-22,[43654.04]
31,2023-12-25,[43870.383]
32,2023-12-26,[43666.49]
33,2023-12-27,[41684.082]
34,2023-12-28,[44144.023]
35,2023-12-29,[43628.12]
36,2024-01-02,[42702.8]
37,2024-01-03,[43423.188]
38,2024-01-04,[43791.754]
39,2024-01-05,[44663.14]
40,2024-01-08,[45281.7]
41,2024-01-09,[45916.07]
42,2024-01-10,[46486.676]
43,2024-01-11,[47163.168]
44,2024-01-12,[47736.258]
45,2024-01-15,[48432.156]
46,2024-01-16,[47595.156]
47,2024-01-17,[47616.047]
48,2024-01-18,[47575.72]
49,2024-01-19,[47567.18]
50,2024-01-22,[47731.023]
51,2024-01-23,[47619.586]
52,2024-01-24,[47846.67]
53,2024-01-25,[47276.71]
54,2024-01-26,[47402.305]
55,2024-01-29,[48300.24]
56,2024-01-30,[48337.836]
57,2024-01-31,[48147.586]
58,2024-02-01,[47851.027]
59,2024-02-02,[45473.36]
60,2024-02-05,[44539.953]
61,2024-02-06,[45457.918]
62,2024-02-07,[46385.402]
63,2024-02-15,[46312.168]
64,2024-02-16,[46544.242]
65,2024-02-19,[46961.457]
66,2024-02-20,[47513.137]
67,2024-02-21,[48150.465]
68,2024-02-22,[48546.03]
69,2024-02-23,[49099.938]
70,2024-02-26,[48277.918]
71,2024-02-27,[48534.797]
72,2024-02-28,[48453.477]
73,2024-02-29,[48760.03]
74,2024-03-01,[48762.59]
75,2024-03-04,[48888.766]
76,2024-03-05,[48198.895]
77,2024-03-06,[47667.69]
78,2024-03-07,[47473.152]
79,2024-03-08,[48048.49]
80,2024-03-11,[47506.523]
81,2024-03-12,[47396.95]
82,2024-03-13,[47745.383]
83,2024-03-14,[48100.04]
84,2024-03-15,[48405.062]
85,2024-03-18,[48429.145]
86,2024-03-19,[48384.305]
87,2024-03-20,[48468.906]
88,2024-03-21,[48708.312]
89,2024-03-22,[48572.434]
90,2024-03-25,[48601.902]
91,2024-03-26,[46540.44]
92,2024-03-27,[47526.508]
93,2024-03-28,[46118.5]
94,2024-03-29,[47302.363]
95,2024-04-01,[46965.]
96,2024-04-02,[44691.32]
97,2024-04-03,[45118.97]
98,2024-04-04,[44438.94]
99,2024-04-05,[43355.453]
100,2024-04-08,[44699.227]
101,2024-04-09,[43864.73]
102,2024-04-10,[44094.285]
103,2024-04-11,[44065.133]
104,2024-04-12,[43854.69]
105,2024-04-15,[43725.906]
106,2024-04-16,[43676.28]
107,2024-04-17,[44000.28]
108,2024-04-19,[43978.547]
109,2024-04-22,[44224.33]
110,2024-04-23,[44492.492]
111,2024-04-24,[43613.105]
112,2024-04-25,[43352.547]
113,2024-04-26,[43600.91]
114,2024-05-02,[43774.316]
115,2024-05-03,[43451.32]
116,2024-05-06,[43430.996]
117,2024-05-07,[44759.777]
118,2024-05-08,[45564.234]
119,2024-05-09,[46460.87]
120,2024-05-10,[47272.97]
121,2024-05-13,[44360.85]
122,2024-05-14,[45120.5]
123,2024-05-15,[46523.36]
124,2024-05-16,[46636.594]
125,2024-05-17,[46214.617]
126,2024-05-20,[46302.113]
127,2024-05-21,[46221.01]
128,2024-05-22,[46166.31]
129,2024-05-23,[46076.004]
130,2024-05-24,[47027.1]
131,2024-05-27,[46806.83]
132,2024-05-28,[46796.59]
133,2024-05-29,[46283.223]
134,2024-05-30,[46585.31]
135,2024-05-31,[46126.535]
136,2024-06-03,[44303.715]
137,2024-06-04,[45044.105]
138,2024-06-05,[45055.4]
139,2024-06-06,[45094.1]
140,2024-06-07,[45084.465]
141,2024-06-10,[45298.574]
142,2024-06-11,[44289.465]
143,2024-06-12,[44776.26]
144,2024-06-13,[44183.24]
145,2024-06-14,[43777.656]
146,2024-06-17,[43700.18]
147,2024-06-18,[44287.793]
148,2024-06-19,[43825.92]
149,2024-06-20,[44480.21]
