Date,Close,Open,High,Low
2019-01-28,147.47,148.05,148.96,146.21
2019-01-29,144.19,148.09,148.1,143.43
2019-01-30,150.42,146.22,150.95,145.7
2019-01-31,166.69,165.6,171.68,165.0
2019-02-01,165.71,165.84,169.1,165.66
2019-02-04,169.25,165.7,169.3,163.62
2019-02-05,171.16,169.15,171.98,168.69
2019-02-06,170.49,171.2,172.47,169.27
2019-02-07,166.38,168.2,169.24,165.25
2019-02-08,167.33,164.47,167.37,164.21
2019-02-11,165.79,167.9,168.3,165.08
2019-02-12,165.04,166.86,168.34,164.5
2019-02-13,164.07,165.38,166.22,163.73
2019-02-14,163.95,163.19,164.87,162.25
2019-02-15,162.5,164.51,164.7,160.86
2019-02-19,162.29,160.5,164.15,160.33
2019-02-20,162.56,162.25,163.72,161.25
2019-02-21,160.04,161.93,162.24,159.59
2019-02-22,161.89,160.58,162.41,160.31
2019-02-25,164.62,163.07,166.07,162.9
2019-02-26,164.13,164.34,166.24,163.8
2019-02-27,162.81,162.9,163.93,160.41
2019-02-28,161.45,162.37,163.5,160.86
2019-03-01,162.28,162.6,163.13,161.69
2019-03-04,167.37,163.9,167.5,163.83
2019-03-05,171.26,167.37,171.88,166.55
2019-03-06,172.51,172.9,173.57,171.27
2019-03-07,169.13,171.5,171.74,167.61
2019-03-08,169.6,166.2,169.62,165.97
2019-03-11,172.07,171.6,174.3,171.58
2019-03-12,171.92,172.09,173.8,171.22
2019-03-13,173.37,172.32,174.03,172.12
2019-03-14,170.17,169.76,171.15,168.16
2019-03-15,165.98,167.16,167.58,162.51
2019-03-18,160.47,163.57,163.9,159.28
2019-03-19,161.57,161.48,163.82,160.82
2019-03-20,165.44,161.5,166.12,161.24
2019-03-21,166.08,164.89,166.39,163.75
2019-03-22,164.34,165.65,167.42,164.09
2019-03-25,166.29,163.0,166.54,162.0
2019-03-26,167.68,167.35,169.45,166.35
2019-03-27,165.87,167.85,168.94,164.79
2019-03-28,165.55,164.57,166.72,163.33
2019-03-29,166.69,166.39,167.19,164.81
2019-04-01,168.7,167.83,168.9,167.28
2019-04-02,174.2,170.14,174.9,169.55
2019-04-03,173.54,174.5,177.96,172.95
2019-04-04,176.02,176.02,178.0,175.53
2019-04-05,175.72,176.88,177.0,175.1
2019-04-08,174.93,175.21,175.5,174.23
2019-04-09,177.58,175.62,179.19,175.55
2019-04-10,177.82,178.18,178.79,176.54
2019-04-11,177.51,178.24,178.4,177.0
2019-04-12,179.1,178.0,179.63,177.95
2019-04-15,179.65,178.5,180.5,176.87
2019-04-16,178.87,179.0,180.17,178.3
2019-04-17,178.78,179.6,180.74,178.36
2019-04-18,178.28,178.8,178.88,177.34
2019-04-22,181.44,178.25,181.66,178.25
2019-04-23,183.78,182.74,184.22,181.48
2019-04-24,182.58,184.49,185.14,181.65
2019-04-25,193.26,196.98,198.48,192.12
2019-04-26,191.49,192.5,192.9,189.09
2019-04-29,194.78,190.95,195.41,190.65
2019-04-30,193.4,194.19,197.39,192.28
2019-05-01,193.03,194.78,196.18,193.01
2019-05-02,192.53,193.0,194.0,189.75
2019-05-03,195.47,194.38,196.16,193.71
2019-05-06,193.88,191.24,194.28,190.55
2019-05-07,189.77,192.54,192.9,187.85
2019-05-08,189.54,189.39,190.72,188.55
2019-05-09,188.65,187.2,189.77,186.26
2019-05-10,188.34,188.25,190.0,184.59
2019-05-13,181.54,183.5,185.43,180.84
2019-05-14,180.73,182.52,183.49,178.1
2019-05-15,186.27,180.42,187.28,180.02
2019-05-16,186.99,185.05,188.57,185.05
2019-05-17,185.3,184.84,187.58,184.28
2019-05-20,182.72,181.88,184.23,181.37
2019-05-21,184.82,184.57,185.7,183.88
2019-05-22,185.32,184.73,186.74,183.61
2019-05-23,180.87,182.42,183.9,179.67
2019-05-24,181.06,182.33,183.63,180.83
2019-05-28,184.31,181.54,184.71,181.45
2019-05-29,182.19,183.5,184.56,181.35
2019-05-30,183.01,183.08,183.48,180.89
2019-05-31,177.47,180.28,180.54,177.16
2019-06-03,164.15,175.0,175.05,161.01
2019-06-04,167.5,163.71,168.28,160.84
2019-06-05,168.17,167.48,168.72,164.63
2019-06-06,168.33,168.3,169.7,167.23
2019-06-07,173.35,170.17,173.87,168.84
2019-06-10,174.82,174.75,177.86,173.8
2019-06-11,178.1,178.48,179.98,176.79
2019-06-12,175.04,178.38,179.27,172.88
2019-06-13,177.47,175.53,178.03,174.61
2019-06-14,181.33,180.51,181.84,180.0
2019-06-17,189.01,185.01,189.5,184.41
2019-06-18,188.47,194.0,194.53,187.28
2019-06-19,187.48,187.0,188.1,184.55
2019-06-20,189.53,190.95,191.16,187.64
2019-06-21,191.14,188.75,192.0,188.75
2019-06-24,192.6,192.42,193.98,191.57
2019-06-25,188.84,192.88,193.14,188.13
2019-06-26,187.66,189.54,190.76,187.31
2019-06-27,189.5,189.88,189.95,188.27
2019-06-28,193.0,190.55,193.2,189.94
2019-07-01,193.0,195.21,195.28,191.93
2019-07-02,195.0,193.0,195.0,192.71
2019-07-03,197.2,194.16,197.4,194.16
2019-07-05,196.4,196.18,197.07,194.17
2019-07-08,195.76,195.19,196.68,193.64
2019-07-09,199.21,194.97,199.46,194.89
2019-07-10,202.73,200.0,202.96,199.67
2019-07-11,201.23,203.26,203.8,200.21
2019-07-12,204.87,199.68,205.3,199.16
2019-07-15,203.91,204.25,205.33,201.82
2019-07-16,203.84,203.89,205.47,203.1
2019-07-17,201.8,204.18,204.36,201.59
2019-07-18,200.78,200.15,202.47,199.38
2019-07-19,198.36,202.18,202.33,198.07
2019-07-22,202.32,199.91,202.57,198.81
2019-07-23,202.36,202.84,204.24,200.96
2019-07-24,204.66,197.63,204.81,197.22
2019-07-25,200.71,206.7,208.66,198.26
2019-07-26,199.75,200.19,202.88,196.25
2019-07-29,195.94,199.0,199.63,195.3
2019-07-30,197.04,195.39,198.71,193.5
2019-07-31,194.23,196.95,198.76,192.68
2019-08-01,192.73,194.17,198.47,190.88
2019-08-02,189.02,191.1,192.62,188.07
2019-08-05,181.73,184.69,185.67,179.34
2019-08-06,184.51,183.69,185.79,183.09
2019-08-07,185.15,183.6,186.37,181.22
2019-08-08,190.16,186.62,190.34,184.05
2019-08-09,187.85,190.0,190.98,187.12
2019-08-12,185.37,186.85,187.59,184.46
2019-08-13,188.45,185.52,191.38,185.37
2019-08-14,179.71,185.8,185.99,179.31
2019-08-15,182.59,180.95,183.2,180.03
2019-08-16,183.7,183.75,185.1,182.36
2019-08-19,186.17,186.01,187.5,184.85
2019-08-20,183.81,185.45,186.0,182.39
2019-08-21,183.55,185.0,185.9,183.14
2019-08-22,182.04,183.43,184.11,179.91
2019-08-23,177.75,180.84,183.13,176.66
2019-08-26,180.36,179.4,180.5,178.24
2019-08-27,181.3,181.93,184.04,181.01
2019-08-28,181.76,180.53,181.95,178.92
2019-08-29,185.57,183.77,186.08,183.47
2019-08-30,185.67,186.78,186.8,183.46
2019-09-03,182.39,184.0,185.67,182.11
2019-09-04,187.14,184.65,187.75,183.89
2019-09-05,190.9,188.53,191.36,187.94
2019-09-06,187.49,190.21,190.21,186.35
2019-09-09,188.76,187.73,188.98,185.85
2019-09-10,186.17,187.44,188.1,184.55
2019-09-11,188.49,186.46,189.44,186.08
2019-09-12,187.47,189.86,190.93,187.23
2019-09-13,187.19,187.32,187.97,186.54
2019-09-16,186.22,186.93,187.79,185.76
2019-09-17,188.08,186.66,188.32,185.54
2019-09-18,188.14,188.09,189.08,186.01
2019-09-19,190.14,188.66,191.1,188.15
2019-09-20,189.93,190.66,193.1,188.12
2019-09-23,186.82,189.34,190.1,185.21
2019-09-24,181.28,187.98,188.04,180.39
2019-09-25,182.8,181.45,183.42,177.87
2019-09-26,180.11,181.33,181.4,177.67
2019-09-27,177.1,180.49,180.75,175.66
2019-09-30,178.08,177.87,178.67,176.85
2019-10-01,175.81,179.15,179.84,174.88
2019-10-02,174.6,174.84,176.53,173.09
2019-10-03,179.38,175.57,179.84,173.63
2019-10-04,180.45,179.55,180.98,178.1
2019-10-07,179.68,180.0,181.18,178.09
2019-10-08,177.75,178.26,180.37,177.72
2019-10-09,179.85,179.16,180.72,177.94
2019-10-10,180.03,180.32,181.61,179.17
2019-10-11,184.19,182.15,186.49,182.14
2019-10-14,183.28,184.2,184.62,182.57
2019-10-15,188.89,183.8,190.38,183.66
2019-10-16,189.55,188.32,189.7,186.9
2019-10-17,190.39,190.3,190.84,188.76
2019-10-18,185.85,190.23,191.49,183.92
2019-10-21,189.76,187.04,189.91,186.75
2019-10-22,182.34,190.0,190.65,181.5
2019-10-23,186.15,182.01,186.38,182.0
2019-10-24,186.38,184.62,186.73,182.8
2019-10-25,187.89,185.83,189.0,185.09
2019-10-28,189.4,187.2,189.53,185.08
2019-10-29,189.31,191.69,192.53,188.47
2019-10-30,188.25,189.56,190.45,185.98
2019-10-31,191.65,196.7,198.09,188.25
2019-11-01,193.62,192.85,194.11,189.91
2019-11-04,194.72,194.55,197.37,193.81
2019-11-05,194.32,195.37,195.75,193.6
2019-11-06,191.55,194.03,194.37,191.35
2019-11-07,190.42,191.91,193.44,189.47
2019-11-08,190.84,190.0,192.34,189.7
2019-11-11,189.61,189.93,190.08,188.54
2019-11-12,194.47,190.0,195.06,189.74
2019-11-13,193.19,194.7,195.7,192.74
2019-11-14,193.15,192.93,194.03,191.45
2019-11-15,195.1,194.26,195.3,193.38
2019-11-18,197.4,194.56,198.63,193.05
2019-11-19,199.32,197.4,200.0,196.86
2019-11-20,197.51,198.58,199.59,195.43
2019-11-21,197.93,197.42,199.09,196.86
2019-11-22,198.82,198.38,199.3,197.62
2019-11-25,199.79,199.51,200.97,199.25
2019-11-26,198.97,200.0,200.15,198.04
2019-11-27,202.0,199.9,203.14,199.42
2019-11-29,201.64,201.6,203.8,201.21
2019-12-02,199.7,202.13,202.18,198.05
2019-12-03,198.82,197.6,198.93,195.08
2019-12-04,198.71,200.0,200.03,198.05
2019-12-05,199.36,199.86,201.29,198.21
2019-12-06,201.05,200.5,201.57,200.06
2019-12-09,201.34,200.65,203.14,200.21
2019-12-10,200.87,201.66,202.05,200.15
2019-12-11,202.26,200.28,202.63,200.28
2019-12-12,196.75,202.35,203.66,194.1
2019-12-13,194.11,196.4,196.8,193.17
2019-12-16,197.92,195.27,199.12,194.81
2019-12-17,198.39,198.84,199.0,196.13
2019-12-18,202.5,200.09,204.3,200.09
2019-12-19,206.06,202.78,206.3,202.51
2019-12-20,206.3,207.48,207.71,203.43
2019-12-23,206.18,206.7,208.59,205.68
2019-12-24,205.12,206.3,206.79,205.0
2019-12-26,207.79,205.57,207.82,205.31
2019-12-27,208.1,208.67,208.93,206.59
2019-12-30,204.41,207.86,207.9,203.9
2019-12-31,205.25,204.0,205.56,203.6
2020-01-02,209.78,206.75,209.79,206.27
2020-01-03,208.67,207.21,210.4,206.95
2020-01-06,212.6,206.7,212.78,206.52
2020-01-07,213.06,212.82,214.58,211.75
