Date,Close,Open,High,Low
2019-01-28,105.08,106.26,106.48,104.66
2019-01-29,102.94,104.88,104.97,102.17
2019-01-30,106.38,104.62,106.38,104.33
2019-01-31,104.43,103.8,105.22,103.18
2019-02-01,102.78,103.78,104.1,102.35
2019-02-04,105.74,102.87,105.8,102.77
2019-02-05,107.22,106.06,107.27,105.96
2019-02-06,106.03,107.0,107.0,105.53
2019-02-07,105.27,105.19,105.59,104.29
2019-02-08,105.67,104.39,105.78,104.26
2019-02-11,105.25,106.2,106.58,104.97
2019-02-12,106.89,106.14,107.14,105.48
2019-02-13,106.81,107.5,107.78,106.71
2019-02-14,106.9,106.31,107.29,105.66
2019-02-15,108.22,107.91,108.3,107.36
2019-02-19,108.17,107.79,108.66,107.78
2019-02-20,107.15,107.86,107.94,106.29
2019-02-21,109.41,106.9,109.48,106.87
2019-02-22,110.97,110.05,111.2,109.82
2019-02-25,111.59,111.76,112.18,111.26
2019-02-26,112.36,111.26,113.24,111.17
2019-02-27,112.17,111.69,112.36,110.88
2019-02-28,112.03,112.04,112.88,111.73
2019-03-01,112.53,112.89,113.02,111.67
2019-03-04,112.26,113.02,113.25,110.8
2019-03-05,111.7,112.25,112.39,111.23
2019-03-06,111.75,111.87,112.66,111.43
2019-03-07,110.39,111.4,111.55,109.86
2019-03-08,110.51,109.16,110.71,108.8
2019-03-11,112.83,110.99,112.95,110.98
2019-03-12,113.62,112.82,113.99,112.65
2019-03-13,114.5,114.13,115.0,113.78
2019-03-14,114.59,114.54,115.2,114.33
2019-03-15,115.91,115.34,117.25,114.59
2019-03-18,117.57,116.17,117.61,116.05
2019-03-19,117.65,118.09,118.44,116.99
2019-03-20,117.52,117.39,118.75,116.71
2019-03-21,120.22,117.14,120.82,117.09
2019-03-22,117.05,119.5,119.59,117.04
2019-03-25,117.66,116.56,118.01,116.32
2019-03-26,117.91,118.62,118.7,116.85
2019-03-27,116.77,117.88,118.21,115.52
2019-03-28,116.93,117.44,117.58,116.13
2019-03-29,117.94,118.07,118.32,116.96
2019-04-01,119.02,118.95,119.11,118.1
2019-04-02,119.19,119.06,119.48,118.52
2019-04-03,119.97,119.86,120.43,119.15
2019-04-04,119.36,120.1,120.23,118.38
2019-04-05,119.89,119.39,120.23,119.37
2019-04-08,119.93,119.81,120.02,118.64
2019-04-09,119.28,118.63,119.54,118.58
2019-04-10,120.19,119.76,120.35,119.54
2019-04-11,120.33,120.54,120.85,119.92
2019-04-12,120.95,120.64,120.98,120.37
2019-04-15,121.05,120.94,121.58,120.57
2019-04-16,120.77,121.64,121.65,120.1
2019-04-17,121.77,121.24,121.85,120.54
2019-04-18,123.37,122.19,123.52,121.3
2019-04-22,123.76,122.62,124.0,122.57
2019-04-23,125.44,124.1,125.58,123.83
