Date,Close,Open,High,Low
2019-01-28,3.45,3.41,3.54,3.27
2019-01-29,3.29,3.4,3.45,3.28
2019-01-30,3.43,3.37,3.45,3.29
2019-01-31,3.59,3.43,3.63,3.41
2019-02-01,3.62,3.61,3.67,3.56
2019-02-04,3.73,3.63,3.77,3.61
2019-02-05,3.75,3.74,3.79,3.71
2019-02-06,3.83,3.78,3.89,3.78
2019-02-07,3.69,3.78,3.78,3.64
2019-02-08,3.7,3.62,3.71,3.6
2019-02-11,3.66,3.66,3.71,3.61
2019-02-12,3.78,3.7,3.79,3.69
2019-02-13,3.82,3.81,3.9,3.8
2019-02-14,3.86,3.82,3.89,3.78
2019-02-15,3.93,4.07,4.1,3.91
2019-02-19,3.92,3.92,4.0,3.9
2019-02-20,3.96,3.95,4.03,3.93
2019-02-21,3.89,3.98,4.0,3.88
2019-02-22,3.98,3.95,4.0,3.93
2019-02-25,3.97,4.06,4.13,3.96
2019-02-26,3.93,3.96,4.02,3.89
2019-02-27,3.89,3.91,3.94,3.83
2019-02-28,3.86,3.88,3.9,3.83
2019-03-01,3.91,3.91,3.95,3.85
2019-03-04,3.92,3.95,3.97,3.86
2019-03-05,3.91,3.9,3.95,3.85
2019-03-06,3.8,3.9,3.91,3.8
2019-03-07,3.73,3.78,3.79,3.69
2019-03-08,3.77,3.64,3.78,3.62
2019-03-11,4.03,3.79,4.05,3.74
2019-03-12,4.06,4.06,4.11,3.98
2019-03-13,4.22,4.1,4.25,4.09
2019-03-14,4.14,4.22,4.24,4.13
2019-03-15,4.25,4.18,4.29,4.18
2019-03-18,4.22,4.28,4.33,4.2
2019-03-19,4.39,4.32,4.44,4.3
2019-03-20,4.36,4.42,4.48,4.33
2019-03-21,4.6,4.38,4.62,4.38
2019-03-22,4.44,4.57,4.62,4.42
2019-03-25,4.34,4.4,4.46,4.28
2019-03-26,4.42,4.49,4.54,4.36
2019-03-27,4.41,4.45,4.49,4.34
2019-03-28,4.43,4.44,4.5,4.38
2019-03-29,4.49,4.5,4.51,4.45
2019-04-01,4.56,4.58,4.59,4.51
2019-04-02,4.58,4.58,4.62,4.54
2019-04-03,4.72,4.62,4.78,4.62
2019-04-04,4.71,4.7,4.75,4.64
2019-04-05,4.77,4.75,4.79,4.71
2019-04-08,4.79,4.74,4.82,4.72
2019-04-09,4.73,4.76,4.77,4.69
2019-04-10,4.8,4.73,4.83,4.73
2019-04-11,4.79,4.8,4.84,4.74
2019-04-12,4.75,4.83,4.83,4.74
2019-04-15,4.62,4.74,4.75,4.58
2019-04-16,4.71,4.66,4.72,4.62
2019-04-17,4.68,4.74,4.76,4.66
2019-04-18,4.66,4.69,4.72,4.63
2019-04-22,4.71,4.63,4.73,4.6
2019-04-23,4.77,4.72,4.8,4.72
2019-04-24,4.78,4.78,4.82,4.72
2019-04-25,4.67,4.74,4.76,4.59
2019-04-26,4.45,4.52,4.52,4.33
2019-04-29,4.48,4.46,4.51,4.39
2019-04-30,4.53,4.45,4.55,4.43
2019-05-01,4.51,4.58,4.62,4.51
2019-05-02,4.58,4.52,4.62,4.48
2019-05-03,4.58,4.59,4.6,4.51
2019-05-06,4.5,4.39,4.51,4.35
2019-05-07,4.33,4.45,4.45,4.28
2019-05-08,4.35,4.3,4.43,4.29
2019-05-09,4.25,4.28,4.29,4.13
2019-05-10,4.22,4.22,4.29,4.1
2019-05-13,3.96,4.09,4.11,3.95
2019-05-14,4.05,4.0,4.09,3.96
2019-05-15,3.99,4.0,4.03,3.94
2019-05-16,4.0,3.98,4.05,3.94
2019-05-17,3.91,3.96,4.09,3.87
2019-05-20,3.79,3.81,3.87,3.77
2019-05-21,3.88,3.85,3.89,3.82
2019-05-22,3.81,3.84,3.86,3.79
2019-05-23,3.68,3.74,3.74,3.62
2019-05-24,3.63,3.7,3.74,3.62
2019-05-28,3.58,3.65,3.68,3.58
2019-05-29,3.51,3.54,3.57,3.47
2019-05-30,3.48,3.51,3.54,3.44
2019-05-31,3.39,3.43,3.46,3.38
2019-06-03,3.34,3.4,3.44,3.31
2019-06-04,3.58,3.41,3.58,3.39
2019-06-05,3.53,3.65,3.65,3.5
2019-06-06,3.59,3.54,3.62,3.53
2019-06-07,3.64,3.6,3.67,3.58
2019-06-10,3.71,3.69,3.78,3.69
2019-06-11,3.77,3.77,3.81,3.73
2019-06-12,3.65,3.73,3.73,3.64
2019-06-13,3.71,3.68,3.73,3.66
2019-06-14,3.62,3.61,3.64,3.57
2019-06-17,3.63,3.61,3.66,3.59
2019-06-18,3.82,3.69,3.88,3.68
2019-06-19,3.83,3.86,3.87,3.8
2019-06-20,3.85,3.92,3.93,3.84
2019-06-21,3.79,3.84,3.89,3.79
2019-06-24,3.82,3.82,3.85,3.77
2019-06-25,3.79,3.82,3.9,3.78
2019-06-26,3.98,3.92,4.04,3.9
2019-06-27,4.08,4.07,4.1,4.03
2019-06-28,4.11,4.12,4.13,4.06
2019-07-01,4.15,4.31,4.35,4.12
2019-07-02,4.06,4.14,4.16,4.04
2019-07-03,4.07,4.08,4.08,4.01
2019-07-05,4.01,4.01,4.01,3.94
2019-07-08,3.93,3.95,3.96,3.9
2019-07-09,3.93,3.89,3.96,3.88
2019-07-10,4.0,3.98,4.06,3.96
2019-07-11,4.16,4.08,4.2,4.04
2019-07-12,4.19,4.18,4.26,4.18
2019-07-15,4.18,4.21,4.23,4.15
