Date,Close,Open,High,Low
2019-01-28,49111.1,48485.4,49215.3,48224.8
2019-01-29,49006.8,49319.6,49319.6,48746.1
2019-01-30,48902.5,49006.8,49111.1,48798.2
2019-01-31,49528.1,49006.8,49788.8,49006.8
2019-02-01,49319.6,49788.8,49788.8,49006.8
2019-02-11,50831.5,49893.1,50831.5,49840.9
2019-02-12,50466.6,50831.5,50831.5,50049.5
2019-02-13,50883.6,50466.6,51352.9,50101.6
2019-02-14,50675.1,50935.8,51300.7,50623.0
2019-02-15,50414.4,50727.2,50727.2,50414.4
2019-02-18,50727.2,50727.2,50727.2,50049.5
2019-02-19,51040.0,50727.2,52082.7,50727.2
2019-02-20,51561.4,51196.4,51665.7,51040.0
2019-02-21,51613.5,51769.9,51874.2,51196.4
2019-02-22,51665.7,51144.3,51978.5,51144.3
2019-02-25,52134.9,51874.2,52916.9,51874.2
2019-02-26,51196.4,52395.6,52395.6,50935.8
2019-02-27,51405.0,51248.6,51822.1,50987.9
2019-02-28,50258.0,51352.9,51352.9,50258.0
2019-03-01,51352.9,50258.0,51352.9,50258.0
2019-03-04,52604.1,51509.3,52760.5,51509.3
2019-03-05,52187.0,52552.0,52760.5,51874.2
2019-03-06,52082.7,51822.1,52604.1,51822.1
2019-03-07,52030.6,52082.7,52395.6,51874.2
2019-03-08,51509.3,51613.5,51874.2,51405.0
2019-03-11,51874.2,51613.5,51874.2,51405.0
2019-03-12,52082.7,52395.6,52760.5,51926.3
2019-03-13,53177.6,52082.7,53177.6,52082.7
2019-03-14,54324.5,53438.2,54324.5,53281.8
2019-03-15,54220.3,54324.5,54689.5,53751.1
2019-03-18,54220.3,54220.3,54324.5,53751.1
2019-03-19,53334.0,54741.6,54741.6,53177.6
2019-03-20,52916.9,53334.0,53698.9,52656.2
2019-03-21,52395.6,52916.9,53490.4,52395.6
2019-03-22,53281.8,52395.6,53438.2,51717.8
2019-03-25,51978.5,52134.9,52656.2,51613.5
2019-03-26,51978.5,51978.5,52604.1,51665.7
2019-03-27,52082.7,52030.6,52395.6,51874.2
2019-03-28,51926.3,51665.7,52082.7,51665.7
2019-03-29,51874.2,51926.3,52239.1,51561.4
2019-04-01,52291.3,51874.2,52395.6,51717.8
2019-04-02,51978.5,52604.1,52604.1,51717.8
2019-04-03,51613.5,52134.9,52134.9,51561.4
2019-04-04,52656.2,51769.9,52656.2,51352.9
2019-04-05,52395.6,53125.4,53125.4,52395.6
2019-04-08,52812.6,52656.2,52864.8,52239.1
2019-04-09,52969.0,53125.4,54063.9,52969.0
2019-04-10,52082.7,52656.2,52864.8,52030.6
2019-04-11,52239.1,52604.1,52604.1,52082.7
2019-04-12,51926.3,51822.1,52134.9,51822.1
2019-04-16,51457.1,51717.8,51822.1,51352.9
2019-04-17,51717.8,51509.3,52239.1,51457.1
2019-04-18,50727.2,51717.8,51717.8,50727.2
2019-04-19,50935.8,50727.2,51352.9,50727.2
2019-04-22,51352.9,51092.2,51352.9,50623.0
2019-04-23,52030.6,51352.9,52134.9,51352.9
2019-04-24,52134.9,52239.1,52239.1,51926.3
2019-04-25,51769.9,52030.6,52134.9,51665.7
2019-04-26,52187.0,51769.9,52239.1,51613.5
2019-05-02,53698.9,52291.3,53698.9,52239.1
2019-05-03,53542.5,53698.9,54324.5,53490.4
2019-05-06,53125.4,52812.6,53177.6,52134.9
2019-05-07,52969.0,53177.6,53229.7,52604.1
2019-05-08,52656.2,52239.1,52969.0,52239.1
2019-05-09,52030.6,52447.7,52812.6,51874.2
2019-05-10,52395.6,52395.6,52656.2,51926.3
2019-05-13,52552.0,52395.6,52552.0,52291.3
2019-05-14,52604.1,52604.1,52916.9,52395.6
2019-05-15,53438.2,52656.2,53594.7,52604.1
2019-05-16,53646.8,53751.1,54011.7,53646.8
2019-05-17,53438.2,53698.9,53698.9,53334.0
2019-05-20,56305.7,53646.8,56305.7,53334.0
2019-05-21,55574.4,56410.1,56462.4,55365.5
2019-05-22,56096.7,55574.4,56932.5,55574.4
2019-05-23,57193.6,56149.0,57193.6,55522.2
2019-05-24,56149.0,56723.5,57611.5,56149.0
2019-05-27,55365.5,55626.7,56357.9,55365.5
2019-05-28,56566.8,55626.7,56880.2,55626.7
2019-05-29,55731.1,56723.5,56723.5,55365.5
2019-05-30,55470.0,55731.1,56149.0,55470.0
2019-05-31,53850.8,55365.5,55470.0,53850.8
2019-06-03,52649.5,53589.6,53798.6,52492.8
2019-06-04,52701.7,52649.5,53432.9,52649.5
2019-06-05,53624.5,53972.7,54599.4,53624.5
2019-06-06,53624.5,54111.9,54111.9,53067.3
2019-06-07,54878.0,53903.0,54878.0,53694.1
2019-06-10,54878.0,55295.9,55435.1,54738.7
2019-06-11,54947.7,54878.0,55226.2,54529.8
2019-06-12,53415.5,54320.9,54669.1,53415.5
2019-06-13,52022.7,53067.3,53137.0,52022.7
2019-06-14,51674.5,52022.7,52649.5,51604.8
2019-06-17,50281.6,51674.5,51883.4,50281.6
2019-06-18,49794.1,50281.6,50838.8,49445.9
2019-06-19,50003.1,50142.3,50490.6,49863.8
2019-06-20,51326.3,50142.3,51604.8,50142.3
2019-06-21,51674.5,51674.5,52231.6,51465.5
2019-06-24,51256.6,51535.2,51883.4,51256.6
2019-06-25,50629.8,51326.3,51395.9,50560.2
2019-06-26,50699.5,50490.6,50978.1,50490.6
2019-06-27,50142.3,50769.1,50978.1,50142.3
2019-06-28,50838.8,50142.3,50838.8,50003.1
2019-07-01,51744.1,50978.1,51813.8,50908.4
2019-07-02,52092.3,51744.1,52162.0,51535.2
2019-07-03,51326.3,52092.3,52092.3,51326.3
2019-07-04,51883.4,51535.2,52092.3,51465.5
2019-07-05,51883.4,52162.0,52231.6,51674.5
2019-07-08,51326.3,51883.4,51883.4,51047.7
2019-07-09,51256.6,51187.0,51535.2,51187.0
2019-07-10,50838.8,51256.6,51535.2,50838.8
2019-07-11,50838.8,50978.1,51256.6,50838.8
2019-07-12,51256.6,50838.8,51535.2,50769.1
2019-07-15,51813.8,51256.6,51953.0,51256.6
2019-07-16,52022.7,52022.7,52719.1,52022.7
2019-07-17,51674.5,51953.0,52162.0,51674.5
2019-07-18,51047.7,51535.2,51535.2,50978.1
2019-07-19,51535.2,51117.3,52092.3,50838.8
2019-07-22,53624.5,51187.0,53624.5,51047.7
2019-07-23,54539.3,53624.5,54750.4,53554.1
2019-07-24,53976.3,54328.2,54609.7,53835.6
2019-07-25,55031.9,53976.3,55313.4,53554.1
2019-07-26,55031.9,54891.2,55172.7,54539.3
2019-07-29,54750.4,55031.9,55031.9,53906.0
2019-07-30,53694.8,54680.1,54750.4,53694.8
2019-07-31,54046.7,53694.8,54187.5,53624.5
2019-08-01,55031.9,53835.6,55454.2,53483.7
2019-08-02,56580.2,54539.3,56580.2,54328.2
2019-08-05,56791.3,56650.5,57354.3,56298.7
2019-08-06,58972.8,55946.8,59395.1,55946.8
2019-08-07,60943.3,58972.8,60943.3,58761.7
2019-08-08,59676.6,61506.3,61717.4,59676.6
2019-08-09,59254.3,59606.2,60450.7,58972.8
2019-08-12,60309.9,59395.1,60732.2,59395.1
2019-08-13,61224.8,60661.8,61858.2,60450.7
2019-08-14,60309.9,60872.9,61154.4,59676.6
2019-08-15,60943.3,59887.7,61506.3,59747.0
2019-08-16,60521.1,61435.9,62843.4,60521.1
2019-08-19,59747.0,60591.4,61154.4,59113.6
2019-08-20,60380.3,59817.3,60450.7,59043.2
2019-08-21,60239.6,60802.6,61365.5,60169.2
2019-08-22,58761.7,60239.6,60239.6,58761.7
2019-08-23,58269.1,58621.0,58832.1,57987.6
2019-08-26,58972.8,59676.6,60309.9,58761.7
2019-08-27,58550.6,58972.8,59676.6,58269.1
2019-08-28,57283.9,58691.4,58691.4,57283.9
2019-08-29,57635.8,57002.4,57987.6,56650.5
2019-08-30,57846.9,57706.1,58128.4,57354.3
2019-09-03,57987.6,57846.9,58621.0,57776.5
2019-09-04,58058.0,57987.6,58198.7,57354.3
2019-09-05,57283.9,58058.0,58409.9,57213.5
2019-09-06,57002.4,57424.6,57424.6,56650.5
2019-09-09,56580.2,57002.4,57002.4,56017.2
2019-09-10,54961.6,56439.4,56439.4,54961.6
2019-09-11,56228.3,55102.3,56228.3,54891.2
2019-09-12,56580.2,56650.5,56720.9,55946.8
2019-09-13,57706.1,56650.5,58269.1,56298.7
2019-09-16,57917.2,58198.7,58409.9,57776.5
2019-09-17,57706.1,58058.0,58058.0,57424.6
