Date,predicted
2023-11-16,83495.35
2023-11-17,84008.15
2023-11-20,84431.88
2023-11-21,85116.39
2023-11-22,85787.945
2023-11-23,86806.13
2023-11-24,88554.0
2023-11-27,90327.48
2023-11-28,91944.13
2023-11-29,93933.82
2023-11-30,94536.98
2023-12-01,94462.22
2023-12-04,94456.445
2023-12-05,93348.59
2023-12-06,92484.38
2023-12-07,91953.85
2023-12-08,91893.97
2023-12-11,91307.664
2023-12-12,91831.41
2023-12-13,92488.65
2023-12-14,92800.805
2023-12-15,93047.586
2023-12-18,92996.69
2023-12-19,93335.04
2023-12-20,93324.06
2023-12-21,93870.51
2023-12-22,93771.766
2023-12-25,94094.93
2023-12-26,93849.34
2023-12-27,92560.1
2023-12-28,92370.87
2023-12-29,92269.88
2024-01-02,92719.26
2024-01-03,92604.0
2024-01-04,93046.61
2024-01-05,93230.41
2024-01-08,93364.8
2024-01-09,93837.65
2024-01-10,94049.56
2024-01-11,94086.45
2024-01-12,94139.125
2024-01-15,95399.26
2024-01-16,95335.43
2024-01-17,94686.305
2024-01-18,93826.49
2024-01-19,93378.81
2024-01-22,93581.53
2024-01-23,94803.49
2024-01-24,96569.83
2024-01-25,97146.12
2024-01-26,96802.695
2024-01-29,96758.445
2024-01-30,97036.24
2024-01-31,97091.71
2024-02-01,97065.87
2024-02-02,97052.01
2024-02-05,96713.82
2024-02-06,96914.09
2024-02-07,97011.8
2024-02-15,97134.52
2024-02-16,97238.17
2024-02-19,97309.31
2024-02-20,97336.27
2024-02-21,97387.78
2024-02-22,97220.08
2024-02-23,97075.17
2024-02-26,97634.945
2024-02-27,97616.29
2024-02-28,97529.62
2024-02-29,97430.09
2024-03-01,97288.27
2024-03-04,97183.78
2024-03-05,97008.5
2024-03-06,96777.12
2024-03-07,96858.46
2024-03-08,96969.26
2024-03-11,96958.16
2024-03-12,97000.37
2024-03-13,97136.445
2024-03-14,97213.72
2024-03-15,97342.984
2024-03-18,97419.516
2024-03-19,97484.96
2024-03-20,97451.34
2024-03-21,97189.695
2024-03-22,96971.45
2024-03-25,96753.93
2024-03-26,96233.92
2024-03-27,96164.41
2024-03-28,96321.89
2024-03-29,96827.17
2024-04-01,97194.2
2024-04-02,96877.62
2024-04-03,97197.12
2024-04-04,97082.33
2024-04-05,96976.07
2024-04-08,97341.42
2024-04-09,97651.48
2024-04-10,97582.76
2024-04-11,97422.016
2024-04-12,98019.37
2024-04-15,98525.58
2024-04-16,98707.42
2024-04-17,98873.39
2024-04-19,98888.24
2024-04-22,98906.62
2024-04-23,98622.95
2024-04-24,98294.34
2024-04-25,97926.14
2024-04-26,97925.01
2024-05-02,97907.11
2024-05-03,97901.84
2024-05-06,97789.09
2024-05-07,97359.16
2024-05-08,97024.484
2024-05-09,96813.55
2024-05-10,96690.945
2024-05-13,95908.18
2024-05-14,95812.21
2024-05-15,95978.29
2024-05-16,96054.32
2024-05-17,96223.19
