,Date,predicted
0,2023-11-16,[88477.914]
1,2023-11-17,[88252.2]
2,2023-11-20,[89322.97]
3,2023-11-21,[91063.02]
4,2023-11-22,[92185.23]
5,2023-11-23,[93072.56]
6,2023-11-24,[93651.]
7,2023-11-27,[94457.39]
8,2023-11-28,[95261.32]
9,2023-11-29,[95543.22]
10,2023-11-30,[95350.43]
11,2023-12-01,[95789.5]
12,2023-12-04,[95875.5]
13,2023-12-05,[94313.09]
14,2023-12-06,[93960.27]
15,2023-12-07,[93353.91]
16,2023-12-08,[93725.34]
17,2023-12-11,[91467.34]
18,2023-12-12,[93755.625]
19,2023-12-13,[94039.79]
20,2023-12-14,[94250.24]
21,2023-12-15,[94419.805]
22,2023-12-18,[94521.86]
23,2023-12-19,[94136.88]
24,2023-12-20,[93932.13]
25,2023-12-21,[94803.664]
26,2023-12-22,[95001.3]
27,2023-12-25,[95370.99]
28,2023-12-26,[95138.375]
29,2023-12-27,[93209.695]
30,2023-12-28,[93407.13]
31,2023-12-29,[91900.125]
32,2024-01-02,[93124.586]
33,2024-01-03,[94331.93]
34,2024-01-04,[93955.086]
35,2024-01-05,[94462.73]
36,2024-01-08,[94688.7]
37,2024-01-09,[94806.71]
38,2024-01-10,[92901.734]
39,2024-01-11,[91711.37]
40,2024-01-12,[93093.11]
41,2024-01-15,[94744.82]
42,2024-01-16,[94686.14]
43,2024-01-17,[94296.95]
44,2024-01-18,[94808.33]
45,2024-01-19,[95693.29]
46,2024-01-22,[95916.266]
47,2024-01-23,[96087.3]
48,2024-01-24,[96237.29]
49,2024-01-25,[96358.52]
50,2024-01-26,[96443.68]
51,2024-01-29,[96474.1]
52,2024-01-30,[96454.664]
53,2024-01-31,[96388.79]
54,2024-02-01,[96551.87]
55,2024-02-02,[96480.74]
56,2024-02-05,[96362.91]
57,2024-02-06,[96690.43]
58,2024-02-07,[96736.39]
59,2024-02-15,[96741.984]
60,2024-02-16,[96745.06]
61,2024-02-19,[96748.45]
62,2024-02-20,[96725.13]
63,2024-02-21,[96720.25]
64,2024-02-22,[96708.53]
65,2024-02-23,[96749.36]
66,2024-02-26,[96672.87]
67,2024-02-27,[96616.555]
68,2024-02-28,[96704.53]
69,2024-02-29,[96720.49]
70,2024-03-01,[96720.12]
71,2024-03-04,[96732.6]
72,2024-03-05,[96787.64]
73,2024-03-06,[96715.59]
74,2024-03-07,[96721.664]
75,2024-03-08,[96717.05]
76,2024-03-11,[96744.91]
77,2024-03-12,[96713.01]
78,2024-03-13,[96732.51]
79,2024-03-14,[96742.27]
80,2024-03-15,[96686.84]
81,2024-03-18,[96694.945]
82,2024-03-19,[96713.96]
83,2024-03-20,[96695.69]
84,2024-03-21,[96536.93]
85,2024-03-22,[96285.89]
86,2024-03-25,[96077.56]
87,2024-03-26,[95438.9]
88,2024-03-27,[95551.35]
89,2024-03-28,[96068.14]
90,2024-03-29,[96570.945]
91,2024-04-01,[96691.63]
92,2024-04-02,[95310.83]
93,2024-04-03,[96205.35]
94,2024-04-04,[95445.414]
95,2024-04-05,[93894.66]
96,2024-04-08,[95469.62]
97,2024-04-09,[96190.99]
98,2024-04-10,[96444.71]
99,2024-04-11,[96540.32]
100,2024-04-12,[96527.414]
101,2024-04-15,[96440.11]
102,2024-04-16,[96497.57]
103,2024-04-17,[96500.97]
104,2024-04-19,[96540.26]
105,2024-04-22,[96600.46]
106,2024-04-23,[96637.59]
107,2024-04-24,[96679.18]
108,2024-04-25,[96735.15]
109,2024-04-26,[96739.95]
110,2024-05-02,[96721.984]
111,2024-05-03,[96764.91]
112,2024-05-06,[96783.66]
113,2024-05-07,[96803.93]
114,2024-05-08,[96804.61]
115,2024-05-09,[96801.7]
116,2024-05-10,[96802.64]
117,2024-05-13,[96563.43]
118,2024-05-14,[96512.46]
119,2024-05-15,[96601.92]
120,2024-05-16,[96587.85]
121,2024-05-17,[96561.18]
