Date,predicted
2023-11-16,84434.836
2023-11-17,84998.28
2023-11-20,86390.0
2023-11-21,88282.195
2023-11-22,89464.41
2023-11-23,91517.92
2023-11-24,90837.09
2023-11-27,90871.26
2023-11-28,92137.55
2023-11-29,92983.26
2023-11-30,90912.22
2023-12-01,93499.62
2023-12-04,93433.53
2023-12-05,89068.055
2023-12-06,87914.79
2023-12-07,88573.64
2023-12-08,90598.17
2023-12-11,89641.63
2023-12-12,91720.2
2023-12-13,93365.87
2023-12-14,93680.79
2023-12-15,93509.69
2023-12-18,92056.59
2023-12-19,90996.27
2023-12-20,88030.05
2023-12-21,93766.27
2023-12-22,94159.82
2023-12-25,94178.836
2023-12-26,92285.516
2023-12-27,92358.05
2023-12-28,92231.47
2023-12-29,91997.76
2024-01-02,91135.42
2024-01-03,90641.625
2024-01-04,91068.34
2024-01-05,90590.73
2024-01-08,92081.875
2024-01-09,92561.58
2024-01-10,89792.914
2024-01-11,91767.13
2024-01-12,92658.01
2024-01-15,91747.49
2024-01-16,92718.484
2024-01-17,91469.89
2024-01-18,92080.15
2024-01-19,93620.88
2024-01-22,94169.58
2024-01-23,95759.49
2024-01-24,96959.414
2024-01-25,97387.305
2024-01-26,97667.18
2024-01-29,98211.086
2024-01-30,99366.94
2024-01-31,98191.125
2024-02-01,98704.875
2024-02-02,97543.13
2024-02-05,96626.53
2024-02-06,97989.21
2024-02-07,98437.77
2024-02-15,98543.3
2024-02-16,98607.59
2024-02-19,98595.36
2024-02-20,98680.33
2024-02-21,98699.63
2024-02-22,99220.49
2024-02-23,99650.46
2024-02-26,99383.93
2024-02-27,99081.1
2024-02-28,99262.74
2024-02-29,98675.29
2024-03-01,99322.43
2024-03-04,99669.305
2024-03-05,100668.445
2024-03-06,98877.97
2024-03-07,98249.07
2024-03-08,100006.22
2024-03-11,101290.99
2024-03-12,101140.4
2024-03-13,101006.6
2024-03-14,101156.03
2024-03-15,101265.21
2024-03-18,101707.97
2024-03-19,101696.21
2024-03-20,101717.54
2024-03-21,97365.266
2024-03-22,97496.63
2024-03-25,97582.04
2024-03-26,96848.49
2024-03-27,96228.27
2024-03-28,96039.31
2024-03-29,96915.04
2024-04-01,97374.05
2024-04-02,95800.945
2024-04-03,97206.08
2024-04-04,97322.555
2024-04-05,96763.11
2024-04-08,96828.04
2024-04-09,95506.914
2024-04-10,98420.76
2024-04-11,98898.62
2024-04-12,100202.62
2024-04-15,101363.93
2024-04-16,101396.305
2024-04-17,102215.04
2024-04-19,102200.65
2024-04-22,102332.66
2024-04-23,101290.31
2024-04-24,101334.86
2024-04-25,99072.96
2024-04-26,97968.7
2024-05-02,98383.12
2024-05-03,98894.65
2024-05-06,98733.836
2024-05-07,98268.94
2024-05-08,98077.125
2024-05-09,98254.53
2024-05-10,98742.72
2024-05-13,96544.74
2024-05-14,95996.76
2024-05-15,98159.13
2024-05-16,99135.3
2024-05-17,99368.734
