Date,predicted
2023-11-20,129.24397
2023-11-21,130.53891
2023-11-22,129.28868
2023-11-24,132.2746
2023-11-27,134.14394
2023-11-28,137.27757
2023-11-29,139.9397
2023-11-30,140.53062
2023-12-01,138.64893
2023-12-04,137.34789
2023-12-05,139.02504
2023-12-06,139.76468
2023-12-07,140.49767
2023-12-08,141.78236
2023-12-11,142.97157
2023-12-12,143.7258
2023-12-13,144.53506
2023-12-14,145.29808
2023-12-15,145.3101
2023-12-18,144.02428
2023-12-19,144.08875
2023-12-20,142.51408
2023-12-21,140.16206
2023-12-22,141.50096
2023-12-26,142.70361
2023-12-27,143.93591
2023-12-28,144.72675
2023-12-29,146.0086
2024-01-02,146.29825
2024-01-03,146.41103
2024-01-04,146.44261
2024-01-05,146.24759
2024-01-08,145.90004
2024-01-09,145.71602
2024-01-10,145.67958
2024-01-11,145.40224
2024-01-12,145.08699
2024-01-16,144.7441
2024-01-17,144.75832
2024-01-18,142.30452
2024-01-19,141.5759
2024-01-22,141.86404
2024-01-23,142.18938
2024-01-24,142.56175
2024-01-25,143.48543
2024-01-26,144.92065
2024-01-29,145.76622
2024-01-30,146.59012
2024-01-31,145.79353
2024-02-01,146.26695
2024-02-02,144.02945
2024-02-05,142.21382
2024-02-06,141.5487
2024-02-07,141.33746
2024-02-08,141.50713
2024-02-09,142.07271
2024-02-12,142.28767
2024-02-13,144.27277
2024-02-14,142.08379
2024-02-15,143.2293
2024-02-16,137.47176
2024-02-20,136.16296
2024-02-21,134.61787
2024-02-22,134.55597
2024-02-23,136.10924
2024-02-26,138.22794
2024-02-27,139.24284
2024-02-28,142.25063
2024-02-29,141.59048
2024-03-01,143.81082
2024-03-04,144.11458
2024-03-05,143.75182
2024-03-06,143.7894
2024-03-07,143.92285
2024-03-08,144.55397
2024-03-11,144.96693
2024-03-12,145.62492
2024-03-13,145.96962
2024-03-14,146.19145
2024-03-15,146.02264
2024-03-18,145.51907
2024-03-19,145.34814
2024-03-20,145.08311
2024-03-21,144.69672
2024-03-22,144.75847
2024-03-25,145.2753
2024-03-26,145.70451
2024-03-27,146.35126
2024-03-28,146.8727
2024-04-01,147.28543
2024-04-02,147.3903
2024-04-03,146.71945
2024-04-04,146.84119
2024-04-05,146.86424
2024-04-08,146.74991
2024-04-09,147.2008
2024-04-10,147.63866
2024-04-11,147.76538
2024-04-12,147.50974
2024-04-15,147.9331
2024-04-16,148.16869
2024-04-17,148.14609
2024-04-18,148.18552
2024-04-19,148.2348
2024-04-22,148.2085
2024-04-23,148.25958
2024-04-24,148.44376
2024-04-25,148.54811
2024-04-26,148.57658
2024-04-29,148.63515
2024-04-30,148.6724
2024-05-01,148.68219
2024-05-02,148.71304
2024-05-03,148.77025
2024-05-06,148.74007
2024-05-07,148.66582
2024-05-08,148.55898
2024-05-09,148.52077
2024-05-10,148.3945
2024-05-13,148.39754
2024-05-14,148.52032
2024-05-15,148.53708
2024-05-16,147.66801
