Date,predicted
2023-11-20,131.2844
2023-11-21,131.46729
2023-11-22,127.3697
2023-11-24,135.29616
2023-11-27,138.99915
2023-11-28,139.16806
2023-11-29,139.7789
2023-11-30,138.74007
2023-12-01,134.075
2023-12-04,133.68753
2023-12-05,140.71683
2023-12-06,143.5745
2023-12-07,144.46318
2023-12-08,145.19672
2023-12-11,145.68
2023-12-12,146.02472
2023-12-13,146.38548
2023-12-14,146.63406
2023-12-15,146.5584
2023-12-18,146.03839
2023-12-19,145.5668
2023-12-20,144.38158
2023-12-21,143.79224
2023-12-22,145.24571
2023-12-26,145.6519
2023-12-27,146.31038
2023-12-28,146.47906
2023-12-29,146.60442
2024-01-02,146.63783
2024-01-03,146.54308
2024-01-04,146.74521
2024-01-05,146.70285
2024-01-08,146.65819
2024-01-09,146.73372
2024-01-10,146.74663
2024-01-11,146.72606
2024-01-12,146.70078
2024-01-16,146.69124
2024-01-17,146.76842
2024-01-18,145.85873
2024-01-19,146.2655
2024-01-22,146.15892
2024-01-23,146.11203
2024-01-24,145.85794
2024-01-25,146.16055
2024-01-26,146.33752
2024-01-29,146.1323
2024-01-30,146.66563
2024-01-31,146.47722
2024-02-01,146.30595
2024-02-02,143.05585
2024-02-05,142.72307
2024-02-06,143.24413
2024-02-07,144.84856
2024-02-08,146.45387
2024-02-09,146.62157
2024-02-12,142.06602
2024-02-13,144.79662
2024-02-14,140.02377
2024-02-15,143.9764
2024-02-16,138.33025
2024-02-20,136.72876
2024-02-21,134.47125
2024-02-22,132.50136
2024-02-23,135.91762
2024-02-26,136.30505
2024-02-27,141.7983
2024-02-28,143.60078
2024-02-29,143.94365
2024-03-01,144.2076
2024-03-04,145.17035
2024-03-05,145.33452
2024-03-06,146.0979
2024-03-07,146.34851
2024-03-08,146.56613
2024-03-11,146.52692
2024-03-12,146.60051
2024-03-13,146.61519
2024-03-14,146.56532
2024-03-15,146.68106
2024-03-18,146.33418
2024-03-19,146.54752
2024-03-20,146.4432
2024-03-21,146.3234
2024-03-22,145.98166
2024-03-25,146.27553
2024-03-26,146.15376
2024-03-27,146.31857
2024-03-28,146.37677
2024-04-01,146.31543
2024-04-02,146.4889
2024-04-03,146.22383
2024-04-04,146.72801
2024-04-05,146.7746
2024-04-08,146.70622
2024-04-09,146.89952
2024-04-10,146.9749
2024-04-11,146.97311
2024-04-12,146.96523
2024-04-15,146.92259
2024-04-16,147.03964
2024-04-17,147.05658
2024-04-18,147.07677
2024-04-19,147.09966
2024-04-22,147.07602
2024-04-23,147.0239
2024-04-24,147.0401
2024-04-25,147.03242
2024-04-26,146.94624
2024-04-29,146.98958
2024-04-30,147.0114
2024-05-01,147.06361
2024-05-02,147.08307
2024-05-03,147.09949
2024-05-06,147.11655
2024-05-07,147.11119
2024-05-08,147.12215
2024-05-09,147.12022
2024-05-10,147.01999
2024-05-13,147.00237
2024-05-14,147.0529
2024-05-15,147.03523
2024-05-16,146.99602
