Date,predicted
2023-11-20,136.52602
2023-11-21,137.72482
2023-11-22,137.2696
2023-11-24,139.52074
2023-11-27,142.2525
2023-11-28,141.60674
2023-11-29,142.874
2023-11-30,141.14421
2023-12-01,140.38658
2023-12-04,138.26541
2023-12-05,142.06696
2023-12-06,142.96806
2023-12-07,142.64185
2023-12-08,143.48267
2023-12-11,143.44772
2023-12-12,144.8694
2023-12-13,144.6209
2023-12-14,146.03911
2023-12-15,145.65927
2023-12-18,143.59393
2023-12-19,144.84
2023-12-20,143.82668
2023-12-21,143.25664
2023-12-22,145.8804
2023-12-26,147.0338
2023-12-27,146.8951
2023-12-28,146.81781
2023-12-29,147.57591
2024-01-02,147.94107
2024-01-03,148.45045
2024-01-04,147.78745
2024-01-05,145.89581
2024-01-08,144.26263
2024-01-09,143.93669
2024-01-10,143.6578
2024-01-11,143.40738
2024-01-12,143.18808
2024-01-16,143.3467
2024-01-17,144.13614
2024-01-18,140.80185
2024-01-19,145.65643
2024-01-22,146.53644
2024-01-23,147.22691
2024-01-24,147.47067
2024-01-25,146.99098
2024-01-26,145.46472
2024-01-29,147.99338
2024-01-30,147.71635
2024-01-31,146.6667
2024-02-01,146.05333
2024-02-02,145.92648
2024-02-05,145.80827
2024-02-06,146.57808
2024-02-07,147.43286
2024-02-08,147.18945
2024-02-09,148.15123
2024-02-12,144.54568
2024-02-13,147.14206
2024-02-14,144.04202
2024-02-15,145.97874
2024-02-16,142.23587
2024-02-20,141.26529
2024-02-21,139.712
2024-02-22,138.53409
2024-02-23,140.00703
2024-02-26,139.42072
2024-02-27,140.80963
2024-02-28,143.69116
2024-02-29,143.01633
2024-03-01,143.55928
2024-03-04,145.41422
2024-03-05,146.9865
2024-03-06,147.18266
2024-03-07,146.81851
2024-03-08,146.36734
2024-03-11,146.34375
2024-03-12,146.26831
2024-03-13,146.03676
2024-03-14,146.23581
2024-03-15,146.60605
2024-03-18,145.5209
2024-03-19,145.86101
2024-03-20,145.51938
2024-03-21,145.52713
2024-03-22,146.42375
2024-03-25,147.47047
2024-03-26,147.35493
2024-03-27,148.4086
2024-03-28,148.15048
2024-04-01,148.57298
2024-04-02,148.50456
2024-04-03,148.59958
2024-04-04,149.88673
2024-04-05,150.40446
2024-04-08,150.31042
2024-04-09,149.88716
2024-04-10,149.83476
2024-04-11,149.01888
2024-04-12,149.94556
2024-04-15,146.68971
2024-04-16,148.54395
2024-04-17,148.59114
2024-04-18,149.42638
2024-04-19,149.70601
2024-04-22,149.66768
2024-04-23,149.63058
2024-04-24,150.05441
2024-04-25,149.99011
2024-04-26,149.5879
2024-04-29,149.19319
2024-04-30,149.87537
2024-05-01,150.15471
2024-05-02,149.75853
2024-05-03,149.66304
2024-05-06,149.24905
2024-05-07,149.23816
2024-05-08,149.376
2024-05-09,149.21568
2024-05-10,149.85805
2024-05-13,150.59581
2024-05-14,150.72849
2024-05-15,150.62685
2024-05-16,150.92206
