,Date,predicted
0,2023-11-20,[339.09677]
1,2023-11-21,[342.65555]
2,2023-11-22,[340.26578]
3,2023-11-24,[351.9443]
4,2023-11-27,[362.1148]
5,2023-11-28,[363.40137]
6,2023-11-29,[366.57382]
7,2023-11-30,[367.3926]
8,2023-12-01,[366.85764]
9,2023-12-04,[368.0685]
10,2023-12-05,[369.10056]
11,2023-12-06,[373.7772]
12,2023-12-07,[378.98615]
13,2023-12-08,[380.1167]
14,2023-12-11,[380.26843]
15,2023-12-12,[378.12473]
16,2023-12-13,[372.3224]
17,2023-12-14,[362.61365]
18,2023-12-15,[353.5189]
19,2023-12-18,[349.24197]
20,2023-12-19,[347.5279]
21,2023-12-20,[346.5388]
22,2023-12-21,[350.44348]
23,2023-12-22,[358.34036]
24,2023-12-26,[365.76382]
25,2023-12-27,[370.1802]
26,2023-12-28,[371.22403]
27,2023-12-29,[369.84442]
28,2024-01-02,[371.15186]
29,2024-01-03,[370.06448]
30,2024-01-04,[368.9451]
31,2024-01-05,[367.32404]
32,2024-01-08,[369.31418]
33,2024-01-09,[381.68033]
34,2024-01-10,[384.85828]
35,2024-01-11,[385.56894]
36,2024-01-12,[385.64072]
37,2024-01-16,[385.3397]
38,2024-01-17,[385.27988]
39,2024-01-18,[385.3821]
40,2024-01-19,[385.61392]
41,2024-01-22,[382.5144]
42,2024-01-23,[383.32312]
43,2024-01-24,[384.14984]
44,2024-01-25,[384.35138]
45,2024-01-26,[385.02414]
46,2024-01-29,[385.5413]
47,2024-01-30,[385.5182]
48,2024-01-31,[384.79056]
49,2024-02-01,[383.02744]
50,2024-02-02,[380.99927]
51,2024-02-05,[380.6108]
52,2024-02-06,[379.02246]
53,2024-02-07,[379.78284]
54,2024-02-08,[381.7037]
55,2024-02-09,[382.54688]
56,2024-02-12,[382.85782]
57,2024-02-13,[382.9998]
58,2024-02-14,[383.02255]
59,2024-02-15,[383.32227]
60,2024-02-16,[383.807]
61,2024-02-20,[384.0777]
62,2024-02-21,[383.80566]
63,2024-02-22,[383.61157]
64,2024-02-23,[383.641]
65,2024-02-26,[383.79184]
66,2024-02-27,[382.86877]
67,2024-02-28,[382.8392]
68,2024-02-29,[382.29224]
69,2024-03-01,[381.51712]
70,2024-03-04,[380.8716]
71,2024-03-05,[382.26285]
72,2024-03-06,[384.8015]
73,2024-03-07,[388.0191]
74,2024-03-08,[389.47995]
75,2024-03-11,[390.3194]
76,2024-03-12,[390.5313]
77,2024-03-13,[389.2529]
78,2024-03-14,[387.56955]
79,2024-03-15,[385.7319]
80,2024-03-18,[385.40268]
81,2024-03-19,[384.8374]
82,2024-03-20,[386.8259]
83,2024-03-21,[389.47397]
84,2024-03-22,[390.78864]
85,2024-03-25,[390.4029]
86,2024-03-26,[390.449]
87,2024-03-27,[390.56424]
88,2024-03-28,[390.60913]
89,2024-04-01,[389.43597]
90,2024-04-02,[387.71292]
91,2024-04-03,[385.68146]
92,2024-04-04,[382.9058]
93,2024-04-05,[382.02112]
94,2024-04-08,[380.3764]
95,2024-04-09,[378.1847]
96,2024-04-10,[380.1939]
97,2024-04-11,[381.1369]
98,2024-04-12,[377.59882]
99,2024-04-15,[372.41605]
100,2024-04-16,[366.90146]
101,2024-04-17,[362.39966]
102,2024-04-18,[363.1173]
103,2024-04-19,[360.843]
104,2024-04-22,[373.62247]
105,2024-04-23,[380.3083]
106,2024-04-24,[382.7648]
107,2024-04-25,[384.21298]
108,2024-04-26,[385.27243]
109,2024-04-29,[384.57043]
110,2024-04-30,[384.10715]
111,2024-05-01,[384.67084]
112,2024-05-02,[386.21393]
113,2024-05-03,[387.11517]
114,2024-05-06,[387.393]
115,2024-05-07,[385.4344]
116,2024-05-08,[382.97592]
117,2024-05-09,[381.97702]
118,2024-05-10,[379.78296]
119,2024-05-13,[383.6453]
120,2024-05-14,[387.18646]
121,2024-05-15,[387.30957]
122,2024-05-16,[385.22443]
