,Date,predicted
0,2023-11-20,[311.80276]
1,2023-11-21,[309.86453]
2,2023-11-22,[306.41452]
3,2023-11-24,[330.39633]
4,2023-11-27,[344.77588]
5,2023-11-28,[347.358]
6,2023-11-29,[358.82455]
7,2023-11-30,[364.46683]
8,2023-12-01,[367.46738]
9,2023-12-04,[368.3969]
10,2023-12-05,[365.83072]
11,2023-12-06,[364.77823]
12,2023-12-07,[366.76288]
13,2023-12-08,[365.2025]
14,2023-12-11,[365.03183]
15,2023-12-12,[360.93698]
16,2023-12-13,[358.69208]
17,2023-12-14,[358.20004]
18,2023-12-15,[358.9343]
19,2023-12-18,[354.7484]
20,2023-12-19,[354.06055]
21,2023-12-20,[357.55304]
22,2023-12-21,[362.48904]
23,2023-12-22,[367.96823]
24,2023-12-26,[373.14697]
25,2023-12-27,[375.4469]
26,2023-12-28,[378.03677]
27,2023-12-29,[379.28937]
28,2024-01-02,[380.61325]
29,2024-01-03,[381.10513]
30,2024-01-04,[381.1558]
31,2024-01-05,[381.09842]
32,2024-01-08,[381.5794]
33,2024-01-09,[382.17468]
34,2024-01-10,[381.28534]
35,2024-01-11,[381.43524]
36,2024-01-12,[381.5143]
37,2024-01-16,[382.2654]
38,2024-01-17,[382.18033]
39,2024-01-18,[382.09384]
40,2024-01-19,[382.0622]
41,2024-01-22,[378.06116]
42,2024-01-23,[379.7234]
43,2024-01-24,[380.6673]
44,2024-01-25,[381.142]
45,2024-01-26,[381.75308]
46,2024-01-29,[382.119]
47,2024-01-30,[382.61813]
48,2024-01-31,[382.84805]
49,2024-02-01,[382.9901]
50,2024-02-02,[381.9001]
51,2024-02-05,[384.95828]
52,2024-02-06,[384.91187]
53,2024-02-07,[384.80402]
54,2024-02-08,[386.14078]
55,2024-02-09,[386.53702]
56,2024-02-12,[386.8783]
57,2024-02-13,[387.51636]
58,2024-02-14,[386.98315]
59,2024-02-15,[387.18057]
60,2024-02-16,[387.51807]
61,2024-02-20,[387.31406]
62,2024-02-21,[386.51678]
63,2024-02-22,[384.54535]
64,2024-02-23,[385.53738]
65,2024-02-26,[385.51636]
66,2024-02-27,[383.64346]
67,2024-02-28,[384.31186]
68,2024-02-29,[384.1798]
69,2024-03-01,[384.0651]
70,2024-03-04,[381.75644]
71,2024-03-05,[383.78845]
72,2024-03-06,[384.7154]
73,2024-03-07,[385.32516]
74,2024-03-08,[386.00647]
75,2024-03-11,[386.1804]
76,2024-03-12,[386.47092]
77,2024-03-13,[383.7998]
78,2024-03-14,[382.82343]
79,2024-03-15,[380.94284]
80,2024-03-18,[382.67905]
81,2024-03-19,[383.9495]
82,2024-03-20,[385.01117]
83,2024-03-21,[385.9843]
84,2024-03-22,[386.6729]
85,2024-03-25,[386.32648]
86,2024-03-26,[383.22275]
87,2024-03-27,[382.26013]
88,2024-03-28,[380.3867]
89,2024-04-01,[384.97342]
90,2024-04-02,[384.1615]
91,2024-04-03,[384.44266]
92,2024-04-04,[383.94766]
93,2024-04-05,[383.43622]
94,2024-04-08,[381.92343]
95,2024-04-09,[380.68454]
96,2024-04-10,[381.59607]
97,2024-04-11,[381.19254]
98,2024-04-12,[376.13492]
99,2024-04-15,[368.80148]
100,2024-04-16,[364.9388]
101,2024-04-17,[363.4932]
102,2024-04-18,[363.29422]
103,2024-04-19,[360.73846]
104,2024-04-22,[363.8048]
105,2024-04-23,[365.86432]
106,2024-04-24,[367.01517]
107,2024-04-25,[366.0767]
108,2024-04-26,[369.49335]
109,2024-04-29,[369.53677]
110,2024-04-30,[370.7454]
111,2024-05-01,[374.3744]
112,2024-05-02,[379.72308]
113,2024-05-03,[382.71454]
114,2024-05-06,[384.14178]
115,2024-05-07,[383.82758]
116,2024-05-08,[383.39096]
117,2024-05-09,[383.66943]
118,2024-05-10,[383.4321]
119,2024-05-13,[385.84515]
120,2024-05-14,[386.94113]
121,2024-05-15,[387.56445]
122,2024-05-16,[385.51755]
