,Date,predicted
0,2023-11-20,[320.3928]
1,2023-11-21,[318.36407]
2,2023-11-22,[313.82922]
3,2023-11-24,[329.29984]
4,2023-11-27,[342.89883]
5,2023-11-28,[341.0339]
6,2023-11-29,[364.49332]
7,2023-11-30,[361.2304]
8,2023-12-01,[370.71118]
9,2023-12-04,[371.93866]
10,2023-12-05,[369.07208]
11,2023-12-06,[370.86966]
12,2023-12-07,[366.77698]
13,2023-12-08,[365.104]
14,2023-12-11,[365.46]
15,2023-12-12,[360.71585]
16,2023-12-13,[359.75256]
17,2023-12-14,[359.99152]
18,2023-12-15,[356.5024]
19,2023-12-18,[356.48737]
20,2023-12-19,[361.83984]
21,2023-12-20,[362.7576]
22,2023-12-21,[366.53912]
23,2023-12-22,[368.29807]
24,2023-12-26,[370.0258]
25,2023-12-27,[369.82263]
26,2023-12-28,[371.69446]
27,2023-12-29,[373.38727]
28,2024-01-02,[377.09662]
29,2024-01-03,[374.82257]
30,2024-01-04,[373.91135]
31,2024-01-05,[370.78336]
32,2024-01-08,[369.34247]
33,2024-01-09,[369.93237]
34,2024-01-10,[368.5744]
35,2024-01-11,[368.1069]
36,2024-01-12,[367.97443]
37,2024-01-16,[368.96793]
38,2024-01-17,[368.97644]
39,2024-01-18,[372.4577]
40,2024-01-19,[372.46292]
41,2024-01-22,[368.09647]
42,2024-01-23,[365.03506]
43,2024-01-24,[364.66943]
44,2024-01-25,[363.05618]
45,2024-01-26,[359.26294]
46,2024-01-29,[356.25763]
47,2024-01-30,[356.69785]
48,2024-01-31,[367.9732]
49,2024-02-01,[363.00723]
50,2024-02-02,[358.3654]
51,2024-02-05,[365.08575]
52,2024-02-06,[367.81097]
53,2024-02-07,[369.8803]
54,2024-02-08,[368.6838]
55,2024-02-09,[371.11243]
56,2024-02-12,[373.60245]
57,2024-02-13,[373.5704]
58,2024-02-14,[375.05994]
59,2024-02-15,[374.7124]
60,2024-02-16,[372.89005]
61,2024-02-20,[378.88132]
62,2024-02-21,[390.2096]
63,2024-02-22,[390.602]
64,2024-02-23,[388.2338]
65,2024-02-26,[391.06848]
66,2024-02-27,[396.66168]
67,2024-02-28,[393.9213]
68,2024-02-29,[394.79916]
69,2024-03-01,[395.5396]
70,2024-03-04,[397.85867]
71,2024-03-05,[395.92838]
72,2024-03-06,[394.7889]
73,2024-03-07,[391.8393]
74,2024-03-08,[392.10254]
75,2024-03-11,[391.96646]
76,2024-03-12,[393.8149]
77,2024-03-13,[396.90784]
78,2024-03-14,[397.58896]
79,2024-03-15,[394.8943]
80,2024-03-18,[397.2767]
81,2024-03-19,[398.37173]
82,2024-03-20,[394.98816]
83,2024-03-21,[394.46494]
84,2024-03-22,[393.11508]
85,2024-03-25,[395.30328]
86,2024-03-26,[394.9516]
87,2024-03-27,[394.2036]
88,2024-03-28,[394.094]
89,2024-04-01,[396.63565]
90,2024-04-02,[398.06833]
91,2024-04-03,[398.32455]
92,2024-04-04,[398.02417]
93,2024-04-05,[398.2934]
94,2024-04-08,[386.3648]
95,2024-04-09,[387.7006]
96,2024-04-10,[396.37677]
97,2024-04-11,[395.30453]
98,2024-04-12,[371.2875]
99,2024-04-15,[381.14343]
100,2024-04-16,[380.2004]
101,2024-04-17,[379.5571]
102,2024-04-18,[380.30542]
103,2024-04-19,[376.0744]
104,2024-04-22,[369.84982]
105,2024-04-23,[363.39288]
106,2024-04-24,[360.27374]
107,2024-04-25,[360.43442]
108,2024-04-26,[376.00067]
109,2024-04-29,[382.961]
110,2024-04-30,[382.45752]
111,2024-05-01,[377.3785]
112,2024-05-02,[373.63052]
113,2024-05-03,[374.35114]
114,2024-05-06,[380.43478]
115,2024-05-07,[386.20804]
116,2024-05-08,[390.46088]
117,2024-05-09,[394.8501]
118,2024-05-10,[393.95294]
119,2024-05-13,[395.61713]
120,2024-05-14,[395.52625]
121,2024-05-15,[396.7449]
122,2024-05-16,[395.92325]
