,Date,predicted
0,2023-11-20,[341.60104]
1,2023-11-21,[342.4923]
2,2023-11-22,[340.1138]
3,2023-11-24,[341.2104]
4,2023-11-27,[343.386]
5,2023-11-28,[344.466]
6,2023-11-29,[346.9419]
7,2023-11-30,[347.74323]
8,2023-12-01,[345.15286]
9,2023-12-04,[346.23285]
10,2023-12-05,[347.6471]
11,2023-12-06,[348.94827]
12,2023-12-07,[348.26343]
13,2023-12-08,[350.42917]
14,2023-12-11,[350.1008]
15,2023-12-12,[350.51495]
16,2023-12-13,[351.33862]
17,2023-12-14,[352.71814]
18,2023-12-15,[353.77594]
19,2023-12-18,[348.77628]
20,2023-12-19,[346.4242]
21,2023-12-20,[342.33914]
22,2023-12-21,[339.93677]
23,2023-12-22,[345.20016]
24,2023-12-26,[347.36288]
25,2023-12-27,[349.07913]
26,2023-12-28,[350.72098]
27,2023-12-29,[352.01245]
28,2024-01-02,[353.01505]
29,2024-01-03,[353.34055]
30,2024-01-04,[353.78415]
31,2024-01-05,[354.37997]
32,2024-01-08,[354.08078]
33,2024-01-09,[354.2964]
34,2024-01-10,[354.4607]
35,2024-01-11,[354.64868]
36,2024-01-12,[354.7655]
37,2024-01-16,[354.87582]
38,2024-01-17,[354.92047]
39,2024-01-18,[349.0907]
40,2024-01-19,[350.86096]
41,2024-01-22,[353.26843]
42,2024-01-23,[353.2189]
43,2024-01-24,[353.09433]
44,2024-01-25,[354.20853]
45,2024-01-26,[354.4172]
46,2024-01-29,[354.71375]
47,2024-01-30,[354.33005]
48,2024-01-31,[350.28122]
49,2024-02-01,[350.11185]
50,2024-02-02,[348.61157]
51,2024-02-05,[347.85294]
52,2024-02-06,[347.20163]
53,2024-02-07,[346.0158]
54,2024-02-08,[349.6745]
55,2024-02-09,[350.46436]
56,2024-02-12,[350.9235]
57,2024-02-13,[351.11517]
58,2024-02-14,[350.75845]
59,2024-02-15,[351.40118]
60,2024-02-16,[352.29095]
61,2024-02-20,[352.77216]
62,2024-02-21,[347.9491]
63,2024-02-22,[345.9818]
64,2024-02-23,[347.38217]
65,2024-02-26,[346.66638]
66,2024-02-27,[345.92743]
67,2024-02-28,[349.66165]
68,2024-02-29,[351.15332]
69,2024-03-01,[352.58243]
70,2024-03-04,[352.9131]
71,2024-03-05,[352.55603]
72,2024-03-06,[353.73975]
73,2024-03-07,[354.38922]
74,2024-03-08,[354.62387]
75,2024-03-11,[354.92615]
76,2024-03-12,[354.49384]
77,2024-03-13,[353.49]
78,2024-03-14,[350.77933]
79,2024-03-15,[349.13263]
80,2024-03-18,[350.48538]
81,2024-03-19,[347.80228]
82,2024-03-20,[346.37494]
83,2024-03-21,[344.99817]
84,2024-03-22,[349.30725]
85,2024-03-25,[351.06122]
86,2024-03-26,[352.41516]
87,2024-03-27,[351.8957]
88,2024-03-28,[352.82376]
89,2024-04-01,[351.8327]
90,2024-04-02,[348.42896]
91,2024-04-03,[346.0445]
92,2024-04-04,[343.51736]
93,2024-04-05,[341.99615]
94,2024-04-08,[341.0085]
95,2024-04-09,[339.82083]
96,2024-04-10,[341.0466]
97,2024-04-11,[342.15582]
98,2024-04-12,[339.36737]
99,2024-04-15,[340.03128]
100,2024-04-16,[338.7118]
101,2024-04-17,[336.68787]
102,2024-04-18,[335.9452]
103,2024-04-19,[336.4908]
104,2024-04-22,[340.54276]
105,2024-04-23,[345.45242]
106,2024-04-24,[347.7217]
107,2024-04-25,[350.2386]
108,2024-04-26,[352.6609]
109,2024-04-29,[354.09683]
110,2024-04-30,[354.12854]
111,2024-05-01,[354.25662]
112,2024-05-02,[354.5664]
113,2024-05-03,[354.4136]
114,2024-05-06,[353.88873]
115,2024-05-07,[354.32]
116,2024-05-08,[354.37042]
117,2024-05-09,[354.42688]
118,2024-05-10,[353.8439]
119,2024-05-13,[354.3509]
120,2024-05-14,[354.58493]
121,2024-05-15,[354.26233]
122,2024-05-16,[347.10165]
