,Date,predicted
0,2023-11-10,[40042.156]
1,2023-11-13,[39994.74]
2,2023-11-14,[39829.43]
3,2023-11-15,[39725.527]
4,2023-11-16,[39719.5]
5,2023-11-17,[39867.195]
6,2023-11-20,[40307.22]
7,2023-11-21,[39876.11]
8,2023-11-22,[39519.25]
9,2023-11-23,[39332.227]
10,2023-11-24,[39490.03]
11,2023-11-27,[39774.734]
12,2023-11-28,[40046.87]
13,2023-11-29,[40356.773]
14,2023-11-30,[41173.227]
15,2023-12-01,[41993.855]
16,2023-12-04,[42058.13]
17,2023-12-05,[41467.387]
18,2023-12-06,[42054.95]
19,2023-12-07,[42326.41]
20,2023-12-08,[42624.62]
21,2023-12-11,[43091.758]
22,2023-12-12,[43904.46]
23,2023-12-13,[44437.297]
24,2023-12-14,[44470.535]
25,2023-12-15,[44356.84]
26,2023-12-18,[44319.582]
27,2023-12-19,[43679.973]
28,2023-12-20,[44010.895]
29,2023-12-21,[44307.7]
30,2023-12-22,[44312.87]
31,2023-12-25,[44562.547]
32,2023-12-26,[43871.34]
33,2023-12-27,[43105.97]
34,2023-12-28,[43152.832]
35,2023-12-29,[42568.1]
36,2024-01-02,[42760.7]
37,2024-01-03,[43089.4]
38,2024-01-04,[43416.395]
39,2024-01-05,[43837.938]
40,2024-01-08,[44492.992]
41,2024-01-09,[45399.363]
42,2024-01-10,[46048.54]
43,2024-01-11,[45388.363]
44,2024-01-12,[46009.13]
45,2024-01-15,[46667.227]
46,2024-01-16,[46580.312]
47,2024-01-17,[46930.47]
48,2024-01-18,[47113.45]
49,2024-01-19,[47243.98]
50,2024-01-22,[47321.504]
51,2024-01-23,[47600.395]
52,2024-01-24,[48045.418]
53,2024-01-25,[48290.918]
54,2024-01-26,[47627.145]
55,2024-01-29,[47251.11]
56,2024-01-30,[47500.11]
57,2024-01-31,[47818.97]
58,2024-02-01,[47312.43]
59,2024-02-02,[46185.21]
60,2024-02-05,[44949.906]
61,2024-02-06,[44770.91]
62,2024-02-07,[44642.52]
63,2024-02-15,[44664.383]
64,2024-02-16,[45041.06]
65,2024-02-19,[45756.727]
66,2024-02-20,[47316.37]
67,2024-02-21,[48481.234]
68,2024-02-22,[49671.09]
69,2024-02-23,[50266.316]
70,2024-02-26,[50010.062]
71,2024-02-27,[47656.023]
72,2024-02-28,[47190.055]
73,2024-02-29,[47578.465]
74,2024-03-01,[47625.848]
75,2024-03-04,[47399.76]
76,2024-03-05,[46440.797]
77,2024-03-06,[45896.715]
78,2024-03-07,[46244.89]
79,2024-03-08,[47379.617]
80,2024-03-11,[48872.54]
81,2024-03-12,[49153.77]
82,2024-03-13,[49679.617]
83,2024-03-14,[50441.645]
84,2024-03-15,[51183.137]
85,2024-03-18,[52087.27]
86,2024-03-19,[52602.992]
87,2024-03-20,[53183.582]
88,2024-03-21,[53685.777]
89,2024-03-22,[53026.285]
90,2024-03-25,[53473.45]
91,2024-03-26,[50273.473]
92,2024-03-27,[50702.957]
93,2024-03-28,[51358.566]
94,2024-03-29,[51694.207]
95,2024-04-01,[51918.297]
96,2024-04-02,[49770.363]
97,2024-04-03,[48888.24]
98,2024-04-04,[47776.586]
99,2024-04-05,[46814.074]
100,2024-04-08,[47049.]
101,2024-04-09,[47651.934]
102,2024-04-10,[48689.312]
103,2024-04-11,[49937.8]
104,2024-04-12,[51453.465]
105,2024-04-15,[53545.832]
106,2024-04-16,[54259.305]
107,2024-04-17,[54977.184]
108,2024-04-19,[55964.844]
109,2024-04-22,[57220.58]
110,2024-04-23,[58562.33]
111,2024-04-24,[59394.16]
112,2024-04-25,[60698.914]
113,2024-04-26,[61123.953]
114,2024-05-02,[61339.17]
115,2024-05-03,[61593.05]
116,2024-05-06,[62284.215]
117,2024-05-07,[62988.06]
118,2024-05-08,[63394.953]
119,2024-05-09,[63245.38]
120,2024-05-10,[63120.863]
121,2024-05-13,[61934.723]
122,2024-05-14,[60516.87]
123,2024-05-15,[61270.035]
124,2024-05-16,[61166.31]
125,2024-05-17,[61435.234]
126,2024-05-20,[61529.613]
127,2024-05-21,[61808.14]
128,2024-05-22,[62543.594]
129,2024-05-23,[63662.984]
130,2024-05-24,[64794.766]
131,2024-05-27,[65118.516]
132,2024-05-28,[65945.89]
133,2024-05-29,[65897.82]
134,2024-05-30,[66364.125]
135,2024-05-31,[66845.99]
136,2024-06-03,[67302.5]
137,2024-06-04,[66753.02]
138,2024-06-05,[65551.73]
139,2024-06-06,[65638.45]
140,2024-06-07,[65958.53]
141,2024-06-10,[66244.805]
142,2024-06-11,[64463.41]
143,2024-06-12,[63950.234]
144,2024-06-13,[64222.715]
145,2024-06-14,[64452.52]
146,2024-06-17,[63701.09]
147,2024-06-18,[64081.7]
148,2024-06-19,[64428.33]
149,2024-06-20,[65298.953]
