Date,predicted
2023-11-16,39554.227
2023-11-17,39164.48
2023-11-20,38988.57
2023-11-21,38463.156
2023-11-22,38514.74
2023-11-23,39359.773
2023-11-24,38923.96
2023-11-27,40707.074
2023-11-28,41105.996
2023-11-29,41397.266
2023-11-30,41622.785
2023-12-01,41393.11
2023-12-04,40951.113
2023-12-05,40032.793
2023-12-06,41292.688
2023-12-07,42735.023
2023-12-08,42844.426
2023-12-11,42630.004
2023-12-12,42741.83
2023-12-13,42802.99
2023-12-14,42666.03
2023-12-15,42832.965
2023-12-18,43300.375
2023-12-19,42086.445
2023-12-20,43599.555
2023-12-21,43490.36
2023-12-22,43574.387
2023-12-25,43576.16
2023-12-26,41792.86
2023-12-27,40914.715
2023-12-28,41209.555
2023-12-29,40622.03
2024-01-02,41842.605
2024-01-03,43092.625
2024-01-04,43498.434
2024-01-05,43767.023
2024-01-08,44106.652
2024-01-09,44463.395
2024-01-10,44926.242
2024-01-11,43513.12
2024-01-12,44588.58
2024-01-15,44895.914
2024-01-16,44578.453
2024-01-17,45545.04
2024-01-18,45994.875
2024-01-19,46700.12
2024-01-22,47273.73
2024-01-23,47761.43
2024-01-24,47569.09
2024-01-25,47271.336
2024-01-26,45979.402
2024-01-29,45873.688
2024-01-30,46728.32
2024-01-31,47497.246
2024-02-01,46149.863
2024-02-02,44675.734
2024-02-05,43458.363
2024-02-06,43943.1
2024-02-07,44432.332
2024-02-15,45194.785
2024-02-16,45773.613
2024-02-19,46638.34
2024-02-20,47788.35
2024-02-21,48741.664
2024-02-22,48986.977
2024-02-23,49034.92
2024-02-26,47460.344
2024-02-27,46676.156
2024-02-28,47106.75
2024-02-29,48913.824
2024-03-01,48496.15
2024-03-04,47406.027
2024-03-05,45717.95
2024-03-06,46808.965
2024-03-07,47502.023
2024-03-08,50152.062
2024-03-11,50288.84
2024-03-12,49018.926
2024-03-13,49434.55
2024-03-14,50583.082
2024-03-15,50506.49
2024-03-18,50602.87
2024-03-19,51013.58
2024-03-20,52510.457
2024-03-21,53228.77
2024-03-22,52433.113
2024-03-25,53357.16
2024-03-26,51215.93
2024-03-27,53240.848
2024-03-28,53096.402
2024-03-29,52971.754
2024-04-01,52888.797
2024-04-02,50170.848
2024-04-03,49784.04
2024-04-04,48395.297
2024-04-05,48505.902
2024-04-08,48643.617
2024-04-09,49369.75
2024-04-10,51990.438
2024-04-11,53262.58
2024-04-12,53705.15
2024-04-15,53624.79
2024-04-16,53318.52
2024-04-17,54606.934
2024-04-19,55237.74
2024-04-22,56510.56
2024-04-23,58941.89
2024-04-24,59325.44
2024-04-25,59280.438
2024-04-26,60020.52
2024-05-02,60001.574
2024-05-03,59078.844
2024-05-06,59311.38
2024-05-07,60578.94
2024-05-08,61006.92
2024-05-09,61115.41
2024-05-10,61173.56
2024-05-13,60114.27
2024-05-14,59142.523
2024-05-15,61055.605
2024-05-16,61047.91
2024-05-17,62812.273
