,Date,predicted
0,2023-11-10,[40022.973]
1,2023-11-13,[39487.973]
2,2023-11-14,[37919.543]
3,2023-11-15,[38485.188]
4,2023-11-16,[39304.98]
5,2023-11-17,[39550.062]
6,2023-11-20,[39790.664]
7,2023-11-21,[39869.59]
8,2023-11-22,[40013.676]
9,2023-11-23,[40830.82]
10,2023-11-24,[40932.348]
11,2023-11-27,[42431.926]
12,2023-11-28,[41967.004]
13,2023-11-29,[41514.668]
14,2023-11-30,[42163.97]
15,2023-12-01,[43072.168]
16,2023-12-04,[41246.816]
17,2023-12-05,[41842.453]
18,2023-12-06,[42866.918]
19,2023-12-07,[44607.06]
20,2023-12-08,[43818.914]
21,2023-12-11,[42219.676]
22,2023-12-12,[42863.094]
23,2023-12-13,[43420.49]
24,2023-12-14,[44038.535]
25,2023-12-15,[44448.55]
26,2023-12-18,[43470.504]
27,2023-12-19,[42553.934]
28,2023-12-20,[44424.258]
29,2023-12-21,[43412.07]
30,2023-12-22,[44130.168]
31,2023-12-25,[43650.82]
32,2023-12-26,[42322.543]
33,2023-12-27,[40856.484]
34,2023-12-28,[42505.094]
35,2023-12-29,[41276.023]
36,2024-01-02,[42492.695]
37,2024-01-03,[43321.52]
38,2024-01-04,[44030.06]
39,2024-01-05,[44734.258]
40,2024-01-08,[45866.746]
41,2024-01-09,[46109.043]
42,2024-01-10,[45030.027]
43,2024-01-11,[44830.55]
44,2024-01-12,[46097.816]
45,2024-01-15,[45777.72]
46,2024-01-16,[45383.688]
47,2024-01-17,[45642.41]
48,2024-01-18,[45824.035]
49,2024-01-19,[47044.023]
50,2024-01-22,[47622.406]
51,2024-01-23,[46977.684]
52,2024-01-24,[46683.777]
53,2024-01-25,[46397.26]
54,2024-01-26,[46640.25]
55,2024-01-29,[46705.457]
56,2024-01-30,[47264.594]
57,2024-01-31,[46832.094]
58,2024-02-01,[45938.086]
59,2024-02-02,[44154.73]
60,2024-02-05,[43761.3]
61,2024-02-06,[44669.098]
62,2024-02-07,[45366.36]
63,2024-02-15,[45974.344]
64,2024-02-16,[46390.65]
65,2024-02-19,[46119.875]
66,2024-02-20,[46848.625]
67,2024-02-21,[49032.24]
68,2024-02-22,[47675.844]
69,2024-02-23,[48362.973]
70,2024-02-26,[49041.777]
71,2024-02-27,[47504.047]
72,2024-02-28,[46890.2]
73,2024-02-29,[47972.46]
74,2024-03-01,[47732.043]
75,2024-03-04,[46502.02]
76,2024-03-05,[46272.008]
77,2024-03-06,[46731.73]
78,2024-03-07,[48124.832]
79,2024-03-08,[48934.59]
80,2024-03-11,[48546.703]
81,2024-03-12,[47696.777]
82,2024-03-13,[47047.555]
83,2024-03-14,[49026.395]
84,2024-03-15,[49197.01]
85,2024-03-18,[49076.727]
86,2024-03-19,[49724.547]
87,2024-03-20,[51167.49]
88,2024-03-21,[51469.445]
89,2024-03-22,[51220.566]
90,2024-03-25,[52381.43]
91,2024-03-26,[49414.184]
92,2024-03-27,[52445.223]
93,2024-03-28,[51623.117]
94,2024-03-29,[52007.15]
95,2024-04-01,[51623.664]
96,2024-04-02,[47463.02]
97,2024-04-03,[46833.45]
98,2024-04-04,[48571.902]
99,2024-04-05,[48415.723]
100,2024-04-08,[48646.957]
101,2024-04-09,[49531.688]
102,2024-04-10,[50467.72]
103,2024-04-11,[51657.95]
104,2024-04-12,[52566.484]
105,2024-04-15,[54035.41]
106,2024-04-16,[53670.523]
107,2024-04-17,[56393.56]
108,2024-04-19,[58033.434]
109,2024-04-22,[57320.105]
110,2024-04-23,[58289.77]
111,2024-04-24,[59228.977]
112,2024-04-25,[60329.273]
113,2024-04-26,[62292.242]
114,2024-05-02,[62784.074]
115,2024-05-03,[62266.25]
116,2024-05-06,[62601.49]
117,2024-05-07,[63293.348]
118,2024-05-08,[63113.883]
119,2024-05-09,[61478.844]
120,2024-05-10,[60668.035]
121,2024-05-13,[59016.39]
122,2024-05-14,[58905.758]
123,2024-05-15,[61004.547]
124,2024-05-16,[58542.074]
125,2024-05-17,[61462.28]
126,2024-05-20,[60529.418]
127,2024-05-21,[60237.426]
128,2024-05-22,[60885.24]
129,2024-05-23,[62585.508]
130,2024-05-24,[64284.223]
131,2024-05-27,[61623.57]
132,2024-05-28,[62851.324]
133,2024-05-29,[61349.25]
134,2024-05-30,[63592.527]
135,2024-05-31,[63733.1]
136,2024-06-03,[63971.316]
137,2024-06-04,[65241.02]
138,2024-06-05,[63057.215]
139,2024-06-06,[64263.984]
140,2024-06-07,[64154.31]
141,2024-06-10,[64769.508]
142,2024-06-11,[61969.414]
143,2024-06-12,[61961.52]
144,2024-06-13,[62570.676]
145,2024-06-14,[64594.305]
146,2024-06-17,[60935.387]
147,2024-06-18,[65742.23]
148,2024-06-19,[64579.016]
149,2024-06-20,[65785.664]
