Date,predicted
2023-11-20,447.43643
2023-11-21,441.31262
2023-11-22,437.14844
2023-11-24,443.92004
2023-11-27,459.96747
2023-11-28,473.73096
2023-11-29,479.87283
2023-11-30,486.2966
2023-12-01,495.28754
2023-12-04,501.66052
2023-12-05,505.91913
2023-12-06,508.30267
2023-12-07,513.53467
2023-12-08,523.90326
2023-12-11,530.32733
2023-12-12,536.93134
2023-12-13,534.5498
2023-12-14,532.0162
2023-12-15,517.4702
2023-12-18,504.7817
2023-12-19,497.82935
2023-12-20,498.0173
2023-12-21,496.20224
2023-12-22,503.81845
2023-12-26,510.4831
2023-12-27,515.9056
2023-12-28,526.8939
2023-12-29,534.27234
2024-01-02,528.90497
2024-01-03,522.07623
2024-01-04,524.7135
2024-01-05,522.616
2024-01-08,529.6518
2024-01-09,535.7464
2024-01-10,535.30634
2024-01-11,542.1875
2024-01-12,548.1066
2024-01-16,553.41815
2024-01-17,556.9862
2024-01-18,559.13165
2024-01-19,559.83813
2024-01-22,550.53455
2024-01-23,537.5549
2024-01-24,529.79877
2024-01-25,533.3388
2024-01-26,535.2548
2024-01-29,542.7396
2024-01-30,543.80804
2024-01-31,542.0863
2024-02-01,550.7619
2024-02-02,560.919
2024-02-05,576.7344
2024-02-06,591.2932
2024-02-07,590.3033
2024-02-08,594.29724
2024-02-09,599.49316
2024-02-12,599.4989
2024-02-13,596.30237
2024-02-14,605.2765
2024-02-15,613.8
2024-02-16,619.2925
2024-02-20,613.3019
2024-02-21,599.1258
2024-02-22,588.2123
2024-02-23,597.8507
2024-02-26,608.81366
2024-02-27,612.191
2024-02-28,621.60846
2024-02-29,628.25525
2024-03-01,633.571
2024-03-04,631.5226
2024-03-05,633.30774
2024-03-06,634.39954
2024-03-07,635.395
2024-03-08,636.00415
2024-03-11,639.397
2024-03-12,647.8145
2024-03-13,648.4003
2024-03-14,642.00256
2024-03-15,619.62164
2024-03-18,624.7138
2024-03-19,625.90753
2024-03-20,633.4337
2024-03-21,630.06946
2024-03-22,633.50195
2024-03-25,634.7434
2024-03-26,627.7029
2024-03-27,622.0688
2024-03-28,626.2273
2024-04-01,627.8386
2024-04-02,608.89154
2024-04-03,608.6121
2024-04-04,601.48517
2024-04-05,596.38873
2024-04-08,590.76575
2024-04-09,578.992
2024-04-10,578.4686
2024-04-11,565.6679
2024-04-12,561.97705
2024-04-15,556.431
2024-04-16,553.53784
2024-04-17,547.85596
2024-04-18,544.4355
2024-04-19,544.12244
2024-04-22,543.60974
2024-04-23,551.8002
2024-04-24,562.25696
2024-04-25,574.21716
2024-04-26,589.4027
2024-04-29,597.37933
2024-04-30,598.05206
2024-05-01,595.271
2024-05-02,590.51373
2024-05-03,587.1889
2024-05-06,593.8416
2024-05-07,599.1926
2024-05-08,604.86096
2024-05-09,610.72003
2024-05-10,615.0498
2024-05-13,620.259
2024-05-14,623.99677
2024-05-15,627.052
2024-05-16,630.34314
