Date,predicted
2023-11-20,413.94138
2023-11-21,416.8199
2023-11-22,422.619
2023-11-24,430.93964
2023-11-27,435.59985
2023-11-28,449.8477
2023-11-29,452.97116
2023-11-30,462.1413
2023-12-01,464.5529
2023-12-04,467.75735
2023-12-05,473.9175
2023-12-06,488.93503
2023-12-07,495.09787
2023-12-08,497.35703
2023-12-11,494.81216
2023-12-12,500.19043
2023-12-13,500.1776
2023-12-14,497.1598
2023-12-15,483.39178
2023-12-18,458.14774
2023-12-19,454.00797
2023-12-20,459.15778
2023-12-21,456.0395
2023-12-22,480.46017
2023-12-26,483.1677
2023-12-27,475.9895
2023-12-28,495.6178
2023-12-29,494.8864
2024-01-02,482.2885
2024-01-03,479.2822
2024-01-04,496.32538
2024-01-05,488.1349
2024-01-08,494.75998
2024-01-09,494.98215
2024-01-10,506.77597
2024-01-11,535.41156
2024-01-12,548.6814
2024-01-16,561.07043
2024-01-17,569.39355
2024-01-18,573.6992
2024-01-19,569.0552
2024-01-22,539.87177
2024-01-23,524.41437
2024-01-24,514.20355
2024-01-25,521.07196
2024-01-26,527.9391
2024-01-29,542.23987
2024-01-30,530.6832
2024-01-31,518.0196
2024-02-01,578.69446
2024-02-02,593.5977
2024-02-05,595.9258
2024-02-06,592.619
2024-02-07,595.628
2024-02-08,612.5516
2024-02-09,605.8233
2024-02-12,609.49414
2024-02-13,609.0837
2024-02-14,617.339
2024-02-15,621.82227
2024-02-16,626.1999
2024-02-20,629.1772
2024-02-21,620.8551
2024-02-22,605.3635
2024-02-23,622.44147
2024-02-26,619.3722
2024-02-27,612.6356
2024-02-28,623.52356
2024-02-29,625.85535
2024-03-01,635.1045
2024-03-04,633.04785
2024-03-05,637.91614
2024-03-06,638.0855
2024-03-07,640.5674
2024-03-08,636.17377
2024-03-11,636.05835
2024-03-12,632.9287
2024-03-13,635.2242
2024-03-14,617.159
2024-03-15,607.53894
2024-03-18,628.2222
2024-03-19,629.6598
2024-03-20,637.4785
2024-03-21,639.4451
2024-03-22,641.8453
2024-03-25,650.7253
2024-03-26,635.9457
2024-03-27,636.22656
2024-03-28,653.9986
2024-04-01,648.2826
2024-04-02,600.6448
2024-04-03,636.2376
2024-04-04,618.6616
2024-04-05,603.4637
2024-04-08,589.32
2024-04-09,572.98035
2024-04-10,594.5039
2024-04-11,562.7987
2024-04-12,568.2868
2024-04-15,559.11206
2024-04-16,553.9271
2024-04-17,534.73267
2024-04-18,527.6435
2024-04-19,527.6599
2024-04-22,556.18616
2024-04-23,568.99713
2024-04-24,566.07587
2024-04-25,567.30817
2024-04-26,580.7228
2024-04-29,590.8377
2024-04-30,596.8478
2024-05-01,600.2704
2024-05-02,608.69604
2024-05-03,580.0
2024-05-06,610.182
2024-05-07,613.8781
2024-05-08,618.2509
2024-05-09,620.3608
2024-05-10,619.25433
2024-05-13,624.8138
2024-05-14,627.137
2024-05-15,628.26385
2024-05-16,625.58856
