,Date,predicted
0,2023-11-20,[46.61452]
1,2023-11-21,[46.794586]
2,2023-11-22,[46.575737]
3,2023-11-24,[47.838192]
4,2023-11-27,[48.77025]
5,2023-11-28,[48.859768]
6,2023-11-29,[49.16372]
7,2023-11-30,[49.6422]
8,2023-12-01,[49.93817]
9,2023-12-04,[50.245323]
10,2023-12-05,[50.67055]
11,2023-12-06,[51.06462]
12,2023-12-07,[50.620335]
13,2023-12-08,[50.523483]
14,2023-12-11,[50.52624]
15,2023-12-12,[50.620213]
16,2023-12-13,[50.742626]
17,2023-12-14,[50.870193]
18,2023-12-15,[50.969566]
19,2023-12-18,[49.96201]
20,2023-12-19,[48.75537]
21,2023-12-20,[48.610085]
22,2023-12-21,[49.31556]
23,2023-12-22,[50.137512]
24,2023-12-26,[50.723755]
25,2023-12-27,[51.096233]
26,2023-12-28,[51.368504]
27,2023-12-29,[51.59853]
28,2024-01-02,[51.712303]
29,2024-01-03,[51.74303]
30,2024-01-04,[51.683674]
31,2024-01-05,[51.565884]
32,2024-01-08,[51.489532]
33,2024-01-09,[51.42024]
34,2024-01-10,[51.392418]
35,2024-01-11,[51.33062]
36,2024-01-12,[51.132156]
37,2024-01-16,[50.844326]
38,2024-01-17,[50.51643]
39,2024-01-18,[50.026768]
40,2024-01-19,[49.933647]
41,2024-01-22,[49.91648]
42,2024-01-23,[49.8563]
43,2024-01-24,[49.713943]
44,2024-01-25,[49.65443]
45,2024-01-26,[49.611767]
46,2024-01-29,[49.532993]
47,2024-01-30,[49.438145]
48,2024-01-31,[49.420025]
49,2024-02-01,[49.105267]
50,2024-02-02,[48.91567]
51,2024-02-05,[48.815353]
52,2024-02-06,[48.5286]
53,2024-02-07,[48.290688]
54,2024-02-08,[48.771633]
55,2024-02-09,[48.92262]
56,2024-02-12,[48.978565]
57,2024-02-13,[48.95733]
58,2024-02-14,[48.81826]
59,2024-02-15,[48.765366]
60,2024-02-16,[48.754097]
61,2024-02-20,[48.771603]
62,2024-02-21,[48.66588]
63,2024-02-22,[48.375782]
64,2024-02-23,[48.39528]
65,2024-02-26,[48.167572]
66,2024-02-27,[47.93157]
67,2024-02-28,[47.93945]
68,2024-02-29,[47.993553]
69,2024-03-01,[47.91935]
70,2024-03-04,[47.799156]
71,2024-03-05,[47.53048]
72,2024-03-06,[47.416954]
73,2024-03-07,[47.52854]
74,2024-03-08,[47.61005]
75,2024-03-11,[47.785297]
76,2024-03-12,[48.178112]
77,2024-03-13,[48.211845]
78,2024-03-14,[47.9697]
79,2024-03-15,[47.740307]
80,2024-03-18,[47.548717]
81,2024-03-19,[47.41382]
82,2024-03-20,[47.38781]
83,2024-03-21,[47.39334]
84,2024-03-22,[47.425438]
85,2024-03-25,[47.197983]
86,2024-03-26,[46.899483]
87,2024-03-27,[47.06012]
88,2024-03-28,[47.167503]
89,2024-04-01,[47.003044]
90,2024-04-02,[46.642776]
91,2024-04-03,[46.72646]
92,2024-04-04,[46.75195]
93,2024-04-05,[46.737434]
94,2024-04-08,[46.50265]
95,2024-04-09,[46.536114]
96,2024-04-10,[46.907795]
97,2024-04-11,[46.967148]
98,2024-04-12,[47.172977]
99,2024-04-15,[47.691406]
100,2024-04-16,[48.189987]
101,2024-04-17,[48.280544]
102,2024-04-18,[48.052433]
103,2024-04-19,[48.189323]
104,2024-04-22,[48.5175]
105,2024-04-23,[48.751907]
106,2024-04-24,[48.856514]
107,2024-04-25,[48.94803]
108,2024-04-26,[48.91434]
109,2024-04-29,[48.80497]
110,2024-04-30,[48.733437]
111,2024-05-01,[48.824936]
112,2024-05-02,[49.160378]
113,2024-05-03,[49.25412]
114,2024-05-06,[49.11321]
115,2024-05-07,[48.995804]
116,2024-05-08,[48.971333]
117,2024-05-09,[48.957832]
118,2024-05-10,[48.970467]
119,2024-05-13,[48.908215]
120,2024-05-14,[48.648838]
121,2024-05-15,[48.374092]
122,2024-05-16,[47.99641]
