,Date,predicted
0,2023-11-20,[45.18085]
1,2023-11-21,[46.51789]
2,2023-11-22,[45.994495]
3,2023-11-24,[46.75839]
4,2023-11-27,[47.562588]
5,2023-11-28,[47.344925]
6,2023-11-29,[48.11209]
7,2023-11-30,[48.803814]
8,2023-12-01,[49.05194]
9,2023-12-04,[49.38852]
10,2023-12-05,[49.481773]
11,2023-12-06,[49.462513]
12,2023-12-07,[48.51345]
13,2023-12-08,[48.93168]
14,2023-12-11,[48.682167]
15,2023-12-12,[49.152718]
16,2023-12-13,[49.211056]
17,2023-12-14,[49.191998]
18,2023-12-15,[49.205853]
19,2023-12-18,[47.711357]
20,2023-12-19,[47.02182]
21,2023-12-20,[47.10619]
22,2023-12-21,[48.530838]
23,2023-12-22,[49.23551]
24,2023-12-26,[49.435146]
25,2023-12-27,[49.543713]
26,2023-12-28,[49.57679]
27,2023-12-29,[49.542233]
28,2024-01-02,[49.52951]
29,2024-01-03,[49.479015]
30,2024-01-04,[49.460552]
31,2024-01-05,[49.441265]
32,2024-01-08,[49.37177]
33,2024-01-09,[49.34942]
34,2024-01-10,[49.3]
35,2024-01-11,[49.11457]
36,2024-01-12,[48.742535]
37,2024-01-16,[48.538292]
38,2024-01-17,[48.546993]
39,2024-01-18,[48.30999]
40,2024-01-19,[48.466198]
41,2024-01-22,[48.45753]
42,2024-01-23,[48.455692]
43,2024-01-24,[48.445427]
44,2024-01-25,[48.51866]
45,2024-01-26,[48.58105]
46,2024-01-29,[48.59245]
47,2024-01-30,[48.630905]
48,2024-01-31,[48.817886]
49,2024-02-01,[48.77507]
50,2024-02-02,[48.526054]
51,2024-02-05,[48.458324]
52,2024-02-06,[48.090786]
53,2024-02-07,[47.927864]
54,2024-02-08,[48.80826]
55,2024-02-09,[48.90363]
56,2024-02-12,[49.020885]
57,2024-02-13,[49.09423]
58,2024-02-14,[49.062645]
59,2024-02-15,[49.148468]
60,2024-02-16,[49.147694]
61,2024-02-20,[49.189983]
62,2024-02-21,[49.20782]
63,2024-02-22,[49.19238]
64,2024-02-23,[49.220127]
65,2024-02-26,[49.077274]
66,2024-02-27,[48.834286]
67,2024-02-28,[49.07868]
68,2024-02-29,[49.032562]
69,2024-03-01,[48.726936]
70,2024-03-04,[48.715572]
71,2024-03-05,[48.772705]
72,2024-03-06,[48.77766]
73,2024-03-07,[48.776287]
74,2024-03-08,[49.015736]
75,2024-03-11,[49.13126]
76,2024-03-12,[49.026337]
77,2024-03-13,[48.89249]
78,2024-03-14,[48.64316]
79,2024-03-15,[48.404716]
80,2024-03-18,[48.36271]
81,2024-03-19,[48.3547]
82,2024-03-20,[48.337006]
83,2024-03-21,[48.36558]
84,2024-03-22,[48.259895]
85,2024-03-25,[48.278988]
86,2024-03-26,[48.153564]
87,2024-03-27,[48.169693]
88,2024-03-28,[48.44978]
89,2024-04-01,[48.266735]
90,2024-04-02,[48.16267]
91,2024-04-03,[48.155735]
92,2024-04-04,[48.031364]
93,2024-04-05,[48.152416]
94,2024-04-08,[48.081104]
95,2024-04-09,[48.221157]
96,2024-04-10,[48.27186]
97,2024-04-11,[48.228546]
98,2024-04-12,[48.355133]
99,2024-04-15,[48.731796]
100,2024-04-16,[48.82073]
101,2024-04-17,[48.80703]
102,2024-04-18,[48.53238]
103,2024-04-19,[48.94475]
104,2024-04-22,[49.11821]
105,2024-04-23,[49.197197]
106,2024-04-24,[49.20047]
107,2024-04-25,[49.230415]
108,2024-04-26,[49.12609]
109,2024-04-29,[48.948334]
110,2024-04-30,[48.804897]
111,2024-05-01,[49.009693]
112,2024-05-02,[49.12438]
113,2024-05-03,[49.216965]
114,2024-05-06,[48.889423]
115,2024-05-07,[49.268986]
116,2024-05-08,[49.26705]
117,2024-05-09,[49.100956]
118,2024-05-10,[49.31359]
119,2024-05-13,[49.35182]
120,2024-05-14,[49.356216]
121,2024-05-15,[49.329597]
122,2024-05-16,[49.336975]
