,Date,predicted
0,2023-11-20,[44.15105]
1,2023-11-21,[45.166473]
2,2023-11-22,[44.214035]
3,2023-11-24,[45.084652]
4,2023-11-27,[46.181824]
5,2023-11-28,[45.38636]
6,2023-11-29,[46.48801]
7,2023-11-30,[46.560513]
8,2023-12-01,[47.024387]
9,2023-12-04,[47.279552]
10,2023-12-05,[47.65794]
11,2023-12-06,[47.90573]
12,2023-12-07,[46.55666]
13,2023-12-08,[47.155216]
14,2023-12-11,[47.174236]
15,2023-12-12,[47.470238]
16,2023-12-13,[47.408356]
17,2023-12-14,[47.861397]
18,2023-12-15,[47.9451]
19,2023-12-18,[46.045956]
20,2023-12-19,[45.859097]
21,2023-12-20,[46.147026]
22,2023-12-21,[46.946957]
23,2023-12-22,[48.45962]
24,2023-12-26,[48.796722]
25,2023-12-27,[49.240387]
26,2023-12-28,[49.674324]
27,2023-12-29,[49.595085]
28,2024-01-02,[49.638523]
29,2024-01-03,[49.835514]
30,2024-01-04,[50.121525]
31,2024-01-05,[50.164078]
32,2024-01-08,[50.087887]
33,2024-01-09,[49.971195]
34,2024-01-10,[49.788998]
35,2024-01-11,[49.609894]
36,2024-01-12,[49.305733]
37,2024-01-16,[49.2536]
38,2024-01-17,[49.0473]
39,2024-01-18,[48.154015]
40,2024-01-19,[48.643925]
41,2024-01-22,[48.550495]
42,2024-01-23,[48.239166]
43,2024-01-24,[47.952183]
44,2024-01-25,[47.782955]
45,2024-01-26,[47.502514]
46,2024-01-29,[47.246227]
47,2024-01-30,[46.980453]
48,2024-01-31,[46.79409]
49,2024-02-01,[46.508774]
50,2024-02-02,[45.851997]
51,2024-02-05,[45.66376]
52,2024-02-06,[43.94694]
53,2024-02-07,[43.620876]
54,2024-02-08,[45.218147]
55,2024-02-09,[45.02869]
56,2024-02-12,[44.712914]
57,2024-02-13,[44.394676]
58,2024-02-14,[43.847336]
59,2024-02-15,[44.362392]
60,2024-02-16,[44.623608]
61,2024-02-20,[44.881096]
62,2024-02-21,[44.368633]
63,2024-02-22,[44.402943]
64,2024-02-23,[44.238983]
65,2024-02-26,[42.100853]
66,2024-02-27,[41.238377]
67,2024-02-28,[42.400383]
68,2024-02-29,[40.72693]
69,2024-03-01,[40.45688]
70,2024-03-04,[40.747334]
71,2024-03-05,[41.210243]
72,2024-03-06,[40.7975]
73,2024-03-07,[40.867004]
74,2024-03-08,[41.58863]
75,2024-03-11,[41.39757]
76,2024-03-12,[41.222294]
77,2024-03-13,[40.808174]
78,2024-03-14,[40.25336]
79,2024-03-15,[40.264133]
80,2024-03-18,[40.579834]
81,2024-03-19,[40.53688]
82,2024-03-20,[40.659504]
83,2024-03-21,[40.43829]
84,2024-03-22,[41.448887]
85,2024-03-25,[41.159737]
86,2024-03-26,[41.0723]
87,2024-03-27,[41.51277]
88,2024-03-28,[42.138958]
89,2024-04-01,[42.759808]
90,2024-04-02,[41.374813]
91,2024-04-03,[41.605907]
92,2024-04-04,[41.48678]
93,2024-04-05,[41.66114]
94,2024-04-08,[41.64071]
95,2024-04-09,[41.58745]
96,2024-04-10,[41.782078]
97,2024-04-11,[41.826263]
98,2024-04-12,[41.795334]
99,2024-04-15,[42.616833]
100,2024-04-16,[44.066605]
101,2024-04-17,[44.985275]
102,2024-04-18,[45.02514]
103,2024-04-19,[45.65186]
104,2024-04-22,[46.67244]
105,2024-04-23,[46.916412]
106,2024-04-24,[46.834816]
107,2024-04-25,[47.043453]
108,2024-04-26,[46.783024]
109,2024-04-29,[46.500584]
110,2024-04-30,[46.12066]
111,2024-05-01,[46.185383]
112,2024-05-02,[46.75274]
113,2024-05-03,[46.5076]
114,2024-05-06,[45.880863]
115,2024-05-07,[46.369396]
116,2024-05-08,[46.074917]
117,2024-05-09,[45.654488]
118,2024-05-10,[47.108456]
119,2024-05-13,[46.092987]
120,2024-05-14,[45.942844]
121,2024-05-15,[43.695972]
122,2024-05-16,[42.757877]
