,Date,predicted
0,2023-11-10,[81681.]
1,2023-11-13,[82171.28]
2,2023-11-14,[81525.26]
3,2023-11-15,[79940.6]
4,2023-11-16,[80184.35]
5,2023-11-17,[80155.13]
6,2023-11-20,[79950.93]
7,2023-11-21,[80175.586]
8,2023-11-22,[80665.95]
9,2023-11-23,[81315.41]
10,2023-11-24,[77470.72]
11,2023-11-27,[78677.29]
12,2023-11-28,[79867.54]
13,2023-11-29,[80221.94]
14,2023-11-30,[81109.05]
15,2023-12-01,[82450.22]
16,2023-12-04,[83159.24]
17,2023-12-05,[83904.984]
18,2023-12-06,[82856.7]
19,2023-12-07,[84085.24]
20,2023-12-08,[84575.22]
21,2023-12-11,[84968.75]
22,2023-12-12,[85454.49]
23,2023-12-13,[85829.266]
24,2023-12-14,[85954.03]
25,2023-12-15,[86064.59]
26,2023-12-18,[86131.1]
27,2023-12-19,[86040.33]
28,2023-12-20,[85436.9]
29,2023-12-21,[83018.766]
30,2023-12-22,[83121.766]
31,2023-12-25,[83969.19]
32,2023-12-26,[84944.29]
33,2023-12-27,[85523.92]
34,2023-12-28,[86164.664]
35,2023-12-29,[86413.305]
36,2024-01-02,[86442.086]
37,2024-01-03,[87283.75]
38,2024-01-04,[87775.79]
39,2024-01-05,[88055.19]
40,2024-01-08,[88174.47]
41,2024-01-09,[88366.5]
42,2024-01-10,[88647.555]
43,2024-01-11,[88845.]
44,2024-01-12,[88909.81]
45,2024-01-15,[88894.33]
46,2024-01-16,[88960.6]
47,2024-01-17,[89057.2]
48,2024-01-18,[89105.47]
49,2024-01-19,[89122.62]
50,2024-01-22,[89070.08]
51,2024-01-23,[88862.234]
52,2024-01-24,[87636.71]
53,2024-01-25,[87334.055]
54,2024-01-26,[86624.59]
55,2024-01-29,[86290.04]
56,2024-01-30,[86757.41]
57,2024-01-31,[86572.77]
58,2024-02-01,[86026.43]
59,2024-02-02,[87408.32]
60,2024-02-05,[86613.73]
61,2024-02-06,[86956.25]
62,2024-02-07,[88237.42]
63,2024-02-15,[88608.305]
64,2024-02-16,[88656.66]
65,2024-02-19,[88601.52]
66,2024-02-20,[88869.914]
67,2024-02-21,[89146.516]
68,2024-02-22,[89107.086]
69,2024-02-23,[89204.836]
70,2024-02-26,[89153.5]
71,2024-02-27,[89192.16]
72,2024-02-28,[89247.37]
73,2024-02-29,[89270.62]
74,2024-03-01,[89271.7]
75,2024-03-04,[89182.305]
76,2024-03-05,[88702.65]
77,2024-03-06,[88053.53]
78,2024-03-07,[88100.8]
79,2024-03-08,[88646.45]
80,2024-03-11,[88968.92]
81,2024-03-12,[88580.18]
82,2024-03-13,[88770.63]
83,2024-03-14,[88943.6]
84,2024-03-15,[89086.35]
85,2024-03-18,[89397.66]
86,2024-03-19,[89578.79]
87,2024-03-20,[89710.03]
88,2024-03-21,[89176.42]
89,2024-03-22,[88913.734]
90,2024-03-25,[88429.266]
91,2024-03-26,[87765.24]
92,2024-03-27,[88581.61]
93,2024-03-28,[89714.04]
94,2024-03-29,[89757.73]
95,2024-04-01,[89844.77]
96,2024-04-02,[89329.625]
97,2024-04-03,[88826.15]
98,2024-04-04,[88207.375]
99,2024-04-05,[87527.32]
100,2024-04-08,[87513.65]
101,2024-04-09,[87497.79]
102,2024-04-10,[87833.16]
103,2024-04-11,[87982.97]
104,2024-04-12,[87632.59]
105,2024-04-15,[87287.65]
106,2024-04-16,[87361.6]
107,2024-04-17,[87394.93]
108,2024-04-19,[87757.37]
109,2024-04-22,[87871.445]
110,2024-04-23,[87852.25]
111,2024-04-24,[88029.055]
112,2024-04-25,[88054.23]
113,2024-04-26,[87536.664]
114,2024-05-02,[87253.164]
115,2024-05-03,[87732.06]
116,2024-05-06,[88316.63]
117,2024-05-07,[87883.66]
118,2024-05-08,[88130.805]
119,2024-05-09,[88564.21]
120,2024-05-10,[88563.74]
121,2024-05-13,[88493.94]
122,2024-05-14,[88174.875]
123,2024-05-15,[87879.414]
124,2024-05-16,[87411.99]
125,2024-05-17,[87107.78]
126,2024-05-20,[87265.695]
127,2024-05-21,[87353.98]
128,2024-05-22,[88123.76]
129,2024-05-23,[87973.73]
130,2024-05-24,[87597.68]
131,2024-05-27,[87715.62]
132,2024-05-28,[87772.86]
133,2024-05-29,[87652.49]
134,2024-05-30,[87854.72]
135,2024-05-31,[88195.48]
136,2024-06-03,[88050.75]
137,2024-06-04,[88050.81]
138,2024-06-05,[88219.87]
139,2024-06-06,[88319.14]
140,2024-06-07,[88522.02]
141,2024-06-10,[88605.11]
142,2024-06-11,[88509.78]
143,2024-06-12,[87905.69]
144,2024-06-13,[87316.66]
145,2024-06-14,[87215.914]
146,2024-06-17,[87169.125]
147,2024-06-18,[86969.03]
148,2024-06-19,[87508.5]
149,2024-06-20,[87764.055]
