,Date,predicted
0,2023-11-16,[79861.27]
1,2023-11-17,[80665.93]
2,2023-11-20,[81095.64]
3,2023-11-21,[83534.51]
4,2023-11-22,[83965.75]
5,2023-11-23,[85145.586]
6,2023-11-24,[80731.87]
7,2023-11-27,[82690.336]
8,2023-11-28,[85949.]
9,2023-11-29,[87337.77]
10,2023-11-30,[87672.88]
11,2023-12-01,[85842.37]
12,2023-12-04,[83632.516]
13,2023-12-05,[85076.695]
14,2023-12-06,[82963.16]
15,2023-12-07,[85697.97]
16,2023-12-08,[86010.65]
17,2023-12-11,[86704.73]
18,2023-12-12,[87410.75]
19,2023-12-13,[87939.484]
20,2023-12-14,[88331.78]
21,2023-12-15,[88533.19]
22,2023-12-18,[88487.72]
23,2023-12-19,[88693.2]
24,2023-12-20,[88679.625]
25,2023-12-21,[87796.445]
26,2023-12-22,[87981.39]
27,2023-12-25,[88476.36]
28,2023-12-26,[88791.49]
29,2023-12-27,[88773.805]
30,2023-12-28,[89025.41]
31,2023-12-29,[88667.64]
32,2024-01-02,[88260.086]
33,2024-01-03,[88976.66]
34,2024-01-04,[89307.13]
35,2024-01-05,[89443.1]
36,2024-01-08,[89454.39]
37,2024-01-09,[89459.42]
38,2024-01-10,[89509.016]
39,2024-01-11,[89579.49]
40,2024-01-12,[89596.93]
41,2024-01-15,[89564.14]
42,2024-01-16,[89510.375]
43,2024-01-17,[89504.836]
44,2024-01-18,[89518.37]
45,2024-01-19,[89550.92]
46,2024-01-22,[89544.02]
47,2024-01-23,[89472.04]
48,2024-01-24,[89198.7]
49,2024-01-25,[89362.305]
50,2024-01-26,[89275.97]
51,2024-01-29,[88691.625]
52,2024-01-30,[87643.32]
53,2024-01-31,[86970.58]
54,2024-02-01,[86482.84]
55,2024-02-02,[88479.64]
56,2024-02-05,[87171.81]
57,2024-02-06,[87896.88]
58,2024-02-07,[88965.49]
59,2024-02-15,[89381.414]
60,2024-02-16,[89566.18]
61,2024-02-19,[89671.2]
62,2024-02-20,[89714.79]
63,2024-02-21,[89735.]
64,2024-02-22,[89749.055]
65,2024-02-23,[89769.67]
66,2024-02-26,[89785.47]
67,2024-02-27,[89736.1]
68,2024-02-28,[89731.164]
69,2024-02-29,[89730.17]
70,2024-03-01,[89689.33]
71,2024-03-04,[89678.36]
72,2024-03-05,[89643.39]
73,2024-03-06,[89597.16]
74,2024-03-07,[89629.93]
75,2024-03-08,[89672.22]
76,2024-03-11,[89681.63]
77,2024-03-12,[89113.06]
78,2024-03-13,[89461.77]
79,2024-03-14,[89488.03]
80,2024-03-15,[89529.91]
81,2024-03-18,[89625.91]
82,2024-03-19,[89610.8]
83,2024-03-20,[89554.734]
84,2024-03-21,[88998.06]
85,2024-03-22,[89018.27]
86,2024-03-25,[88770.914]
87,2024-03-26,[88317.69]
88,2024-03-27,[88833.02]
89,2024-03-28,[89421.13]
90,2024-03-29,[89528.984]
91,2024-04-01,[89659.59]
92,2024-04-02,[88779.46]
93,2024-04-03,[88825.23]
94,2024-04-04,[88451.84]
95,2024-04-05,[88355.41]
96,2024-04-08,[88750.67]
97,2024-04-09,[88574.016]
98,2024-04-10,[88937.43]
99,2024-04-11,[88908.875]
100,2024-04-12,[88949.58]
101,2024-04-15,[88854.95]
102,2024-04-16,[88883.734]
103,2024-04-17,[88734.56]
104,2024-04-19,[89096.32]
105,2024-04-22,[89222.55]
106,2024-04-23,[89170.33]
107,2024-04-24,[89397.91]
108,2024-04-25,[89465.43]
109,2024-04-26,[89334.48]
110,2024-05-02,[89306.17]
111,2024-05-03,[89379.55]
112,2024-05-06,[89549.86]
113,2024-05-07,[89428.68]
114,2024-05-08,[89565.21]
115,2024-05-09,[89618.81]
116,2024-05-10,[89658.58]
117,2024-05-13,[88599.18]
118,2024-05-14,[88231.164]
119,2024-05-15,[88511.51]
120,2024-05-16,[88067.13]
121,2024-05-17,[87779.84]
