Date,Close,Open,High,Low
2019-01-28,39.08,38.95,39.08,38.41
2019-01-29,38.67,39.06,39.53,38.53
2019-01-30,41.31,40.81,41.54,40.06
2019-01-31,41.61,41.53,42.25,41.14
2019-02-01,41.63,41.74,42.24,41.48
2019-02-04,42.81,41.85,42.91,41.82
2019-02-05,43.55,43.22,43.77,43.09
2019-02-06,43.56,43.66,43.89,43.21
2019-02-07,42.73,43.1,43.48,42.59
2019-02-08,42.6,42.25,42.66,42.1
2019-02-11,42.36,42.76,42.8,42.31
2019-02-12,42.72,42.52,42.75,42.42
2019-02-13,42.55,42.85,43.12,42.48
2019-02-14,42.7,42.43,42.82,42.34
2019-02-15,42.6,42.81,42.92,42.44
2019-02-19,42.73,42.43,42.86,42.37
2019-02-20,43.01,42.8,43.33,42.75
2019-02-21,42.77,42.95,43.09,42.58
2019-02-22,43.24,42.9,43.25,42.84
2019-02-25,43.56,43.54,43.97,43.49
2019-02-26,43.58,43.43,43.83,43.29
2019-02-27,43.72,43.3,43.75,43.18
2019-02-28,43.29,43.58,43.73,43.23
2019-03-01,43.74,43.57,43.79,43.22
2019-03-04,43.96,43.92,44.44,43.49
2019-03-05,43.88,43.98,44.0,43.63
2019-03-06,43.63,43.67,43.87,43.48
2019-03-07,43.12,43.47,43.61,43.01
2019-03-08,43.23,42.58,43.27,42.38
2019-03-11,44.73,43.87,44.78,43.84
2019-03-12,45.23,45.0,45.67,44.84
2019-03-13,45.43,45.56,45.83,45.23
2019-03-14,45.93,45.98,46.02,45.64
2019-03-15,46.53,46.21,46.83,45.94
2019-03-18,47.01,46.45,47.1,46.45
2019-03-19,46.63,47.09,47.25,46.48
2019-03-20,47.04,46.56,47.37,46.18
2019-03-21,48.77,47.51,49.08,47.45
2019-03-22,47.76,48.84,49.42,47.7
2019-03-25,47.19,47.88,47.99,46.65
2019-03-26,46.7,47.92,48.22,46.15
2019-03-27,47.12,47.19,47.44,46.64
2019-03-28,47.18,47.24,47.39,46.88
2019-03-29,47.49,47.46,47.52,47.13
2019-04-01,47.81,47.91,47.92,47.09
2019-04-02,48.51,47.77,48.62,47.76
2019-04-03,48.84,48.31,49.12,48.29
2019-04-04,48.92,48.7,49.09,48.28
2019-04-05,49.25,49.11,49.27,48.98
2019-04-08,50.02,49.1,50.06,49.09
2019-04-09,49.88,50.08,50.71,49.81
2019-04-10,50.16,49.67,50.19,49.55
2019-04-11,49.74,50.21,50.25,49.61
2019-04-12,49.72,49.8,50.03,49.05
2019-04-15,49.81,49.65,49.96,49.5
2019-04-16,49.81,49.87,50.34,49.64
2019-04-17,50.78,49.88,50.84,49.65
2019-04-18,50.97,50.78,51.04,50.63
2019-04-22,51.13,50.71,51.23,50.59
2019-04-23,51.87,51.11,51.94,50.98
2019-04-24,51.79,51.84,52.12,51.76
2019-04-25,51.32,51.71,51.94,51.28
2019-04-26,51.08,51.23,51.25,50.53
2019-04-29,51.15,51.1,51.49,50.97
2019-04-30,50.17,50.77,50.85,49.78
2019-05-01,52.63,52.47,53.83,52.31
2019-05-02,52.29,52.46,53.16,52.03
2019-05-03,52.94,52.72,52.96,52.56
2019-05-06,52.12,51.07,52.21,50.88
2019-05-07,50.72,51.47,51.85,50.21
2019-05-08,50.73,50.48,51.34,50.44
2019-05-09,50.18,50.1,50.42,49.16
2019-05-10,49.3,49.35,49.71,48.19
2019-05-13,46.43,46.93,47.37,45.71
2019-05-14,47.16,46.6,47.42,46.35
2019-05-15,47.73,46.57,47.94,46.51
2019-05-16,47.52,47.48,48.12,47.21
2019-05-17,47.25,46.73,47.73,46.69
2019-05-20,45.77,45.88,46.09,45.07
2019-05-21,46.65,46.3,47.0,46.17
2019-05-22,45.7,46.16,46.43,45.64
2019-05-23,44.91,44.95,45.13,44.45
2019-05-24,44.74,45.05,45.53,44.66
2019-05-28,44.56,44.73,45.15,44.48
2019-05-29,44.34,44.1,44.84,44.0
2019-05-30,44.58,44.49,44.81,44.17
2019-05-31,43.77,44.06,44.5,43.75
2019-06-03,43.33,43.9,44.48,42.57
2019-06-04,44.91,43.86,44.96,43.63
2019-06-05,45.63,46.07,46.25,45.28
2019-06-06,46.3,45.77,46.37,45.54
2019-06-07,47.54,46.63,47.98,46.44
2019-06-10,48.15,47.95,48.84,47.91
2019-06-11,48.7,48.72,49.0,48.4
2019-06-12,48.55,48.49,48.99,48.35
2019-06-13,48.54,48.67,49.2,48.4
2019-06-14,48.19,47.89,48.4,47.58
2019-06-17,48.47,48.23,48.74,48.04
2019-06-18,49.61,49.01,50.07,48.8
2019-06-19,49.47,49.92,49.97,49.33
2019-06-20,49.87,50.09,50.15,49.51
2019-06-21,49.7,49.7,50.21,49.54
2019-06-24,49.65,49.63,50.04,49.54
2019-06-25,48.89,49.61,49.81,48.82
2019-06-26,49.95,49.44,50.25,49.34
2019-06-27,49.94,50.07,50.39,49.89
2019-06-28,49.48,49.67,49.87,49.26
2019-07-01,50.39,50.79,51.12,50.16
2019-07-02,50.68,50.35,50.78,50.34
2019-07-03,51.1,50.82,51.11,50.67
2019-07-05,51.06,50.84,51.27,50.73
2019-07-08,50.01,50.2,50.35,49.6
2019-07-09,50.31,49.8,50.38,49.7
2019-07-10,50.81,50.46,50.93,50.39
2019-07-11,50.44,50.83,51.1,50.43
2019-07-12,50.83,50.61,51.0,50.55
2019-07-15,51.3,51.02,51.47,51.0
2019-07-16,51.12,51.15,51.53,50.88
2019-07-17,50.84,51.01,51.27,50.82
2019-07-18,51.41,51.0,51.47,50.92
2019-07-19,50.65,51.45,51.62,50.59
2019-07-22,51.8,50.91,51.81,50.9
2019-07-23,52.21,52.12,52.23,51.82
2019-07-24,52.17,51.92,52.29,51.79
2019-07-25,51.76,52.22,52.31,51.68
2019-07-26,51.94,51.87,52.43,51.78
2019-07-29,52.42,52.12,52.66,52.11
2019-07-30,52.2,52.19,52.54,51.83
2019-07-31,53.26,54.1,55.34,52.83
2019-08-01,52.11,53.48,54.51,51.69
2019-08-02,51.01,51.38,51.61,50.41
2019-08-05,48.34,49.5,49.66,48.15
2019-08-06,49.25,49.08,49.52,48.51
2019-08-07,49.76,48.85,49.89,48.45
2019-08-08,50.86,50.05,50.88,49.85
2019-08-09,50.25,50.33,50.69,49.82
2019-08-12,50.12,49.91,50.51,49.79
2019-08-13,52.24,50.26,53.03,50.21
2019-08-14,50.69,50.79,51.61,50.65
2019-08-15,50.44,50.87,51.28,49.92
2019-08-16,51.62,51.07,51.79,50.96
2019-08-19,52.59,52.66,53.18,52.51
2019-08-20,52.59,52.72,53.34,52.58
2019-08-21,53.16,53.25,53.41,52.9
2019-08-22,53.12,53.3,53.61,52.69
2019-08-23,50.66,52.36,53.01,50.25
2019-08-26,51.62,51.47,51.8,51.26
2019-08-27,51.04,51.97,52.14,50.88
2019-08-28,51.38,51.02,51.43,50.83
2019-08-29,52.25,52.12,52.33,51.66
2019-08-30,52.19,52.54,52.61,51.8
2019-09-03,51.42,51.61,51.74,51.05
2019-09-04,52.3,52.1,52.37,51.83
2019-09-05,53.32,53.0,53.49,52.88
2019-09-06,53.31,53.51,53.6,53.13
2019-09-09,53.54,53.71,54.11,52.77
2019-09-10,54.17,53.47,54.2,52.93
2019-09-11,55.9,54.52,55.93,54.43
2019-09-12,55.77,56.2,56.6,55.72
2019-09-13,54.69,55.0,55.2,54.26
2019-09-16,54.98,54.43,55.03,54.39
2019-09-17,55.17,54.99,55.2,54.78
2019-09-18,55.69,55.27,55.71,54.86
2019-09-19,55.24,55.5,55.94,55.09
2019-09-20,54.43,55.34,55.64,54.37
2019-09-23,54.68,54.74,54.96,54.41
2019-09-24,54.42,55.26,55.62,54.3
2019-09-25,55.26,54.64,55.38,54.29
2019-09-26,54.97,55.0,55.23,54.71
2019-09-27,54.7,55.13,55.24,54.32
2019-09-30,55.99,55.23,56.15,55.2
2019-10-01,56.15,56.27,57.05,56.05
2019-10-02,54.74,55.77,55.9,54.48
2019-10-03,55.2,54.61,55.24,53.78
2019-10-04,56.75,56.41,56.87,55.97
2019-10-07,56.77,56.57,57.48,56.46
2019-10-08,56.1,56.45,57.02,56.08
2019-10-09,56.76,56.76,56.95,56.41
2019-10-10,57.52,56.98,57.61,56.83
2019-10-11,59.05,58.24,59.41,58.08
2019-10-14,58.97,58.73,59.53,58.67
2019-10-15,58.83,59.1,59.41,58.72
2019-10-16,58.59,58.34,58.81,58.3
2019-10-17,58.82,58.77,59.04,58.38
2019-10-18,59.1,58.65,59.4,58.57
2019-10-21,60.13,59.38,60.25,59.33
2019-10-22,59.99,60.29,60.55,59.91
2019-10-23,60.8,60.52,60.81,60.3
2019-10-24,60.9,61.13,61.2,60.45
2019-10-25,61.65,60.79,61.68,60.72
2019-10-28,62.26,61.85,62.31,61.68
2019-10-29,60.82,62.24,62.44,60.64
2019-10-30,60.81,61.19,61.33,60.3
2019-10-31,62.19,61.81,62.29,59.31
2019-11-01,63.95,62.38,63.98,62.29
2019-11-04,64.38,64.33,64.46,63.84
2019-11-05,64.28,64.26,64.55,64.08
2019-11-06,64.31,64.19,64.37,63.84
2019-11-07,64.86,64.69,65.09,64.53
2019-11-08,65.03,64.67,65.11,64.21
2019-11-11,65.55,64.58,65.62,64.57
2019-11-12,65.49,65.39,65.7,65.23
2019-11-13,66.12,65.28,66.19,65.27
2019-11-14,65.66,65.94,66.22,65.53
2019-11-15,66.44,65.92,66.44,65.75
2019-11-18,66.78,66.45,66.86,66.06
2019-11-19,66.57,66.97,67.0,66.35
2019-11-20,65.8,66.39,66.52,65.1
2019-11-21,65.5,65.92,66.0,65.3
2019-11-22,65.44,65.65,65.8,65.21
2019-11-25,66.59,65.68,66.61,65.63
2019-11-26,66.07,66.73,66.79,65.62
2019-11-27,66.96,66.39,67.0,66.33
2019-11-29,66.81,66.65,67.0,66.47
2019-12-02,66.04,66.82,67.06,65.86
2019-12-03,64.86,64.58,64.88,64.07
2019-12-04,65.44,65.27,65.83,65.17
2019-12-05,66.39,65.95,66.47,65.68
2019-12-06,67.68,66.87,67.75,66.83
2019-12-09,66.73,67.5,67.7,66.23
2019-12-10,67.12,67.15,67.52,66.47
2019-12-11,67.69,67.2,67.78,67.12
2019-12-12,67.86,66.94,68.14,66.83
2019-12-13,68.79,67.86,68.83,67.73
2019-12-16,69.97,69.25,70.2,69.25
2019-12-17,70.1,69.89,70.44,69.7
2019-12-18,69.94,69.95,70.47,69.78
2019-12-19,70.0,69.88,70.3,69.74
2019-12-20,69.86,70.56,70.66,69.64
2019-12-23,71.0,70.13,71.06,70.09
2019-12-24,71.07,71.17,71.22,70.73
2019-12-26,72.48,71.2,72.5,71.17
2019-12-27,72.45,72.78,73.49,72.03
2019-12-30,72.88,72.36,73.17,71.31
2019-12-31,73.41,72.48,73.42,72.38
2020-01-02,75.09,74.06,75.15,73.8
2020-01-03,74.36,74.29,75.14,74.12
2020-01-06,74.95,73.45,74.99,73.19
