Date,Close,Open,High,Low
2019-01-28,53.5,54.01,54.15,53.19
2019-01-29,53.03,53.63,53.76,52.79
2019-01-30,54.45,53.42,54.55,53.34
2019-01-31,55.82,55.15,55.87,54.77
2019-02-01,55.54,55.62,56.25,55.24
2019-02-04,56.64,55.63,56.64,55.45
2019-02-05,57.3,56.24,57.34,55.86
2019-02-06,55.76,56.98,57.35,55.64
2019-02-07,54.94,55.21,55.24,54.3
2019-02-08,54.75,54.35,54.95,54.33
2019-02-11,54.75,54.85,55.3,54.64
2019-02-12,56.07,55.34,56.26,55.29
2019-02-13,56.01,56.25,56.74,55.92
2019-02-14,56.08,55.9,56.41,55.52
2019-02-15,55.68,56.5,56.58,55.53
2019-02-19,55.93,55.5,56.09,55.5
2019-02-20,55.69,56.0,56.17,55.26
2019-02-21,54.85,55.54,55.6,54.63
2019-02-22,55.52,55.05,55.56,54.78
2019-02-25,55.47,55.8,55.93,55.36
2019-02-26,55.76,55.29,55.98,55.0
2019-02-27,55.8,55.35,55.9,55.05
2019-02-28,56.0,55.56,56.38,55.55
2019-03-01,57.05,56.24,57.15,56.24
2019-03-04,57.39,57.35,57.91,56.53
2019-03-05,58.1,57.5,58.48,57.31
2019-03-06,57.89,58.12,58.38,57.77
2019-03-07,57.16,57.79,57.84,56.75
2019-03-08,57.12,56.34,57.35,56.16
2019-03-11,58.79,57.22,58.81,57.22
2019-03-12,59.66,58.91,60.0,58.91
2019-03-13,59.67,60.03,60.05,59.6
2019-03-14,59.28,59.73,59.89,59.22
2019-03-15,59.22,59.67,59.83,59.13
2019-03-18,59.21,59.16,59.5,58.87
2019-03-19,59.94,59.44,60.0,59.29
2019-03-20,61.2,59.87,61.36,59.81
2019-03-21,61.58,60.8,61.59,60.66
2019-03-22,60.27,61.32,61.5,60.14
2019-03-25,59.65,59.85,60.32,59.35
2019-03-26,59.23,59.93,60.14,58.84
2019-03-27,58.65,59.27,59.38,57.97
2019-03-28,58.42,58.58,58.58,57.97
2019-03-29,58.67,58.74,58.95,58.14
2019-04-01,59.72,59.2,59.83,59.1
2019-04-02,60.02,59.77,60.07,59.29
2019-04-03,60.3,60.37,60.81,60.02
2019-04-04,60.75,60.3,60.78,60.21
2019-04-05,60.36,60.75,60.81,60.25
2019-04-08,60.19,60.39,60.43,59.99
2019-04-09,59.86,59.8,60.11,59.65
2019-04-10,60.11,60.03,60.19,59.82
2019-04-11,60.23,60.2,60.4,60.01
2019-04-12,60.89,60.5,60.92,60.41
2019-04-15,61.05,60.9,61.21,60.46
2019-04-16,61.36,61.25,61.54,61.01
2019-04-17,61.82,61.65,62.03,61.39
2019-04-18,61.82,61.96,62.1,61.73
2019-04-22,62.44,61.8,62.45,61.42
2019-04-23,63.23,62.53,63.45,62.32
2019-04-24,62.8,63.21,63.4,62.75
2019-04-25,63.17,63.24,63.37,62.6
2019-04-26,63.61,63.45,63.65,63.02
2019-04-29,64.38,63.7,64.46,63.31
2019-04-30,59.42,59.25,59.64,58.75
2019-05-01,58.4,59.4,59.4,58.36
2019-05-02,58.13,58.39,58.71,57.75
2019-05-03,59.27,58.68,59.34,58.45
2019-05-06,59.47,58.31,59.54,58.31
2019-05-07,58.7,59.02,59.52,58.05
2019-05-08,58.31,58.6,59.02,58.29
2019-05-09,58.12,57.95,58.48,57.54
2019-05-10,58.21,58.18,58.63,57.12
2019-05-13,56.6,57.1,57.4,56.11
2019-05-14,56.02,56.86,57.02,55.98
2019-05-15,58.21,55.89,58.57,55.83
2019-05-16,58.95,58.23,59.41,58.14
2019-05-17,58.12,58.42,59.01,58.0
2019-05-20,56.94,57.23,57.34,56.57
2019-05-21,57.48,57.42,57.64,56.9
2019-05-22,57.57,57.34,57.93,57.29
2019-05-23,57.04,57.02,57.3,56.46
2019-05-24,56.67,57.37,57.49,56.58
2019-05-28,56.71,56.7,57.58,56.66
2019-05-29,55.82,56.38,56.45,55.41
2019-05-30,55.9,55.78,56.16,55.61
2019-05-31,55.18,55.06,55.48,55.01
2019-06-03,51.81,53.27,53.27,51.25
2019-06-04,52.65,52.15,52.8,51.68
2019-06-05,52.11,52.58,52.68,51.52
2019-06-06,52.22,52.25,52.37,51.69
2019-06-07,53.3,52.53,53.55,52.42
2019-06-10,54.02,53.65,54.63,53.62
2019-06-11,53.94,54.7,55.1,53.88
2019-06-12,53.85,53.9,54.05,53.38
2019-06-13,54.44,54.18,54.71,54.01
2019-06-14,54.27,54.32,54.63,54.01
2019-06-17,54.62,54.31,54.96,54.31
2019-06-18,55.18,55.48,55.82,54.95
2019-06-19,55.12,55.28,55.35,54.67
2019-06-20,55.57,56.0,56.01,55.24
2019-06-21,56.09,55.46,56.21,55.4
2019-06-24,55.78,55.98,56.1,55.55
2019-06-25,54.32,55.63,55.72,54.19
2019-06-26,53.99,54.33,54.65,53.61
2019-06-27,53.8,54.2,54.35,53.76
2019-06-28,54.05,53.82,54.05,53.67
2019-07-01,54.9,54.9,55.38,54.69
2019-07-02,55.56,55.11,55.59,54.91
2019-07-03,56.08,55.87,56.34,55.69
2019-07-05,56.58,55.89,56.64,55.81
2019-07-08,55.82,56.26,56.3,55.56
2019-07-09,56.24,55.59,56.4,55.36
2019-07-10,57.02,56.56,57.1,56.55
2019-07-11,57.21,57.16,57.65,56.98
2019-07-12,57.24,57.2,57.37,56.94
2019-07-15,57.52,57.34,57.54,56.97
2019-07-16,57.68,57.3,57.93,57.25
2019-07-17,57.32,57.55,57.92,57.29
2019-07-18,57.32,57.09,57.38,56.64
2019-07-19,56.51,57.41,57.56,56.48
