Date,Close,Open,High,Low
2019-01-28,335.66,334.7,336.3,328.88
2019-01-29,328.9,335.87,338.22,328.15
2019-01-30,340.66,332.75,341.78,330.8
2019-01-31,339.5,339.68,345.99,338.09
2019-02-01,339.85,337.18,346.84,336.5
2019-02-04,351.34,342.6,352.0,341.3
2019-02-05,355.81,353.2,360.0,352.9
2019-02-06,352.19,357.0,357.04,347.19
2019-02-07,344.71,347.9,348.75,339.02
2019-02-08,347.57,338.0,348.0,338.0
2019-02-11,345.73,350.0,352.87,344.81
2019-02-12,359.97,348.09,360.0,346.52
2019-02-13,351.77,357.3,359.6,350.28
2019-02-14,359.07,351.75,360.45,348.33
2019-02-15,356.87,358.47,364.4,355.5
2019-02-19,361.92,355.8,365.0,355.32
2019-02-20,359.91,364.85,366.71,356.7
2019-02-21,356.97,360.03,362.85,353.88
2019-02-22,363.02,360.34,366.13,360.05
2019-02-25,363.91,367.01,371.49,363.79
2019-02-26,364.97,362.98,365.7,359.33
2019-02-27,362.87,363.5,368.03,359.8
2019-02-28,358.1,362.47,366.39,357.71
2019-03-01,357.32,362.26,362.87,354.69
2019-03-04,351.04,359.72,362.25,348.04
2019-03-05,354.3,351.46,356.17,348.25
2019-03-06,359.61,353.6,359.88,351.7
2019-03-07,352.6,360.16,362.86,350.5
2019-03-08,349.6,345.75,349.92,342.47
2019-03-11,358.86,352.0,358.98,350.03
2019-03-12,356.27,359.37,360.13,353.8
2019-03-13,361.21,355.81,362.48,352.76
2019-03-14,358.82,360.5,363.84,358.1
2019-03-15,361.46,361.02,364.0,358.89
2019-03-18,363.44,362.47,370.97,361.86
2019-03-19,358.78,366.4,366.96,356.8
2019-03-20,375.22,358.91,375.9,357.01
2019-03-21,377.87,374.0,379.0,370.61
2019-03-22,361.01,375.95,376.43,360.04
2019-03-25,366.23,359.0,367.04,357.44
2019-03-26,359.97,367.87,368.38,358.02
2019-03-27,353.37,361.0,362.47,350.37
2019-03-28,354.61,354.49,355.94,349.2
2019-03-29,356.56,357.16,358.25,353.71
2019-04-01,366.96,359.0,368.33,358.51
2019-04-02,367.72,366.25,368.42,362.22
2019-04-03,369.75,369.26,373.41,366.19
2019-04-04,367.88,370.07,372.05,362.4
2019-04-05,365.49,369.0,369.8,364.66
2019-04-08,361.41,365.11,365.94,359.93
2019-04-09,364.71,360.54,366.74,359.0
2019-04-10,363.92,365.79,368.85,362.25
2019-04-11,367.65,365.0,370.12,360.81
2019-04-12,351.14,360.69,361.75,349.36
2019-04-15,348.87,350.71,352.21,342.27
2019-04-16,359.46,355.0,364.48,352.72
2019-04-17,354.74,365.05,368.76,350.6
2019-04-18,360.35,355.0,360.41,351.64
2019-04-22,377.34,359.7,377.69,359.0
2019-04-23,381.89,375.45,384.8,374.71
2019-04-24,374.23,381.07,381.9,373.27
2019-04-25,368.33,374.49,374.76,365.7
2019-04-26,374.85,368.35,375.14,366.24
2019-04-29,371.83,373.68,374.58,369.12
2019-04-30,370.54,369.56,374.5,368.35
2019-05-01,378.81,374.0,385.99,373.17
2019-05-02,379.06,378.0,383.5,374.51
2019-05-03,385.03,381.53,385.03,378.27
2019-05-06,378.67,377.69,381.35,376.0
2019-05-07,370.46,377.0,379.91,365.81
2019-05-08,364.37,367.92,369.0,361.36
2019-05-09,362.75,360.9,364.2,352.75
2019-05-10,361.04,361.62,365.26,353.06
2019-05-13,345.26,352.29,354.26,343.1
2019-05-14,345.61,348.71,349.95,342.5
2019-05-15,354.99,343.34,356.5,341.39
2019-05-16,359.31,356.37,364.0,353.94
2019-05-17,354.45,356.39,359.62,353.79
2019-05-20,348.11,351.23,352.42,345.4
2019-05-21,354.27,350.95,356.43,349.93
2019-05-22,359.73,358.01,370.46,357.3
2019-05-23,352.21,355.5,357.42,347.7
2019-05-24,354.39,355.41,359.44,353.79
2019-05-28,354.78,354.39,361.2,353.64
2019-05-29,349.19,353.6,353.85,345.9
2019-05-30,351.85,350.55,354.21,348.3
2019-05-31,343.28,347.22,349.34,342.92
2019-06-03,336.63,343.56,347.66,332.65
2019-06-04,353.4,345.0,353.61,343.25
2019-06-05,355.73,354.38,357.88,348.71
2019-06-06,357.13,354.84,358.21,352.09
2019-06-07,360.87,357.39,365.15,355.69
2019-06-10,352.01,363.65,367.1,349.29
2019-06-11,351.27,355.0,357.58,348.5
2019-06-12,345.56,351.82,353.61,343.23
2019-06-13,343.43,347.23,348.5,339.25
2019-06-14,339.73,341.63,343.4,336.15
2019-06-17,350.62,342.69,351.77,342.06
2019-06-18,357.12,355.57,361.5,353.75
2019-06-19,363.52,361.72,364.74,356.12
2019-06-20,365.21,365.91,370.12,361.21
2019-06-21,369.21,365.0,371.45,365.0
2019-06-24,371.04,370.27,375.0,370.2
2019-06-25,360.3,370.75,371.0,358.29
2019-06-26,362.2,361.6,366.79,361.6
2019-06-27,370.02,363.2,370.85,363.2
2019-06-28,367.32,370.26,371.54,364.87
2019-07-01,374.6,373.5,376.66,372.0
