Date,Close,Open,High,Low
2019-01-28,19.76,19.53,19.83,19.18
2019-01-29,19.83,19.68,19.9,19.45
2019-01-30,20.58,20.03,20.6,19.9
2019-01-31,20.47,20.07,20.77,19.6
2019-02-01,20.81,20.36,21.07,20.23
2019-02-04,20.86,20.87,21.02,20.13
2019-02-05,21.42,20.83,21.5,20.82
2019-02-06,21.15,21.31,21.62,21.04
2019-02-07,20.5,20.89,20.98,20.2
2019-02-08,20.39,20.46,20.5,19.9
2019-02-11,20.86,20.77,21.24,20.7
2019-02-12,20.79,21.08,21.21,20.64
2019-02-13,20.54,20.82,20.85,20.37
2019-02-14,20.25,20.23,20.45,20.07
2019-02-15,20.53,20.3,20.53,20.26
2019-02-19,20.38,20.44,20.77,20.36
2019-02-20,20.17,20.29,20.42,19.93
2019-02-21,19.42,20.12,20.22,19.37
2019-02-22,19.65,19.63,19.77,19.47
2019-02-25,19.92,19.86,20.19,19.8
2019-02-26,19.86,19.48,20.13,19.25
2019-02-27,20.98,20.12,21.09,20.04
2019-02-28,21.33,21.26,21.33,20.72
2019-03-01,19.65,20.46,20.48,19.46
2019-03-04,19.02,19.87,19.93,18.85
2019-03-05,18.44,18.8,18.93,18.01
2019-03-06,18.42,18.43,18.77,18.29
2019-03-07,18.44,18.59,18.98,18.28
2019-03-08,18.94,18.46,19.04,18.39
2019-03-11,19.39,18.9,19.42,18.7
2019-03-12,18.89,19.1,19.2,18.74
2019-03-13,19.26,18.93,19.47,18.85
2019-03-14,19.33,19.5,19.69,19.22
2019-03-15,18.36,18.9,18.91,18.29
2019-03-18,17.97,18.4,18.54,17.82
2019-03-19,17.83,17.83,18.22,17.56
2019-03-20,18.24,17.98,18.33,17.75
2019-03-21,18.27,18.17,18.43,17.9
2019-03-22,17.64,18.17,18.19,17.6
2019-03-25,17.36,17.31,17.55,16.96
2019-03-26,17.85,17.63,18.02,17.63
2019-03-27,18.32,17.92,18.36,17.88
2019-03-28,18.57,18.48,18.69,18.34
2019-03-29,18.66,18.58,18.68,18.3
2019-04-01,19.28,18.84,19.28,18.75
2019-04-02,19.06,19.22,19.3,18.93
2019-04-03,19.45,19.15,19.74,19.14
2019-04-04,17.85,17.46,18.08,17.37
2019-04-05,18.33,17.99,18.41,17.74
2019-04-08,18.21,18.51,18.74,18.03
2019-04-09,18.15,18.11,18.33,17.97
2019-04-10,18.4,18.45,18.56,18.19
2019-04-11,17.89,17.89,18.03,17.71
2019-04-12,17.85,18.01,18.13,17.79
2019-04-15,17.76,17.91,17.93,17.24
2019-04-16,18.22,17.72,18.33,17.65
2019-04-17,18.08,18.32,18.32,17.9
2019-04-18,18.22,18.08,18.32,17.98
2019-04-22,17.52,17.93,17.98,17.5
2019-04-23,17.59,17.34,17.71,17.05
2019-04-24,17.24,17.59,17.69,17.2
2019-04-25,16.51,17.0,17.27,16.4
2019-04-26,15.68,16.43,16.45,15.41
2019-04-29,16.1,15.72,16.27,15.48
2019-04-30,15.91,16.14,16.28,15.8
2019-05-01,15.6,15.92,16.0,15.43
2019-05-02,16.27,16.37,16.48,15.85
2019-05-03,17.0,16.26,17.11,16.23
2019-05-06,17.02,16.67,17.22,16.57
2019-05-07,16.47,17.12,17.15,16.34
2019-05-08,16.32,16.46,16.71,16.28
2019-05-09,16.13,16.13,16.25,15.8
2019-05-10,15.97,15.98,16.13,15.73
2019-05-13,15.13,15.47,15.5,14.97
2019-05-14,15.49,15.29,15.63,15.2
2019-05-15,15.46,15.29,15.5,15.02
2019-05-16,15.22,15.3,15.4,15.1
2019-05-17,14.07,14.8,14.82,13.93
2019-05-20,13.69,13.52,13.73,13.02
2019-05-21,13.67,13.18,13.83,13.07
2019-05-22,12.85,13.27,13.6,12.79
2019-05-23,13.03,12.96,13.3,12.41
2019-05-24,12.71,13.32,13.33,12.58
2019-05-28,12.58,12.75,13.0,12.52
2019-05-29,12.66,12.47,12.83,12.34
2019-05-30,12.55,12.58,12.82,12.47
2019-05-31,12.34,12.34,12.66,12.27
2019-06-03,11.93,12.37,12.45,11.8
2019-06-04,12.91,12.07,12.93,11.97
2019-06-05,13.11,13.25,13.42,12.79
2019-06-06,13.73,13.63,14.07,13.45
2019-06-07,13.63,13.67,14.06,13.57
2019-06-10,14.19,14.02,14.46,13.93
2019-06-11,14.47,14.61,14.73,14.23
2019-06-12,13.95,14.86,14.89,13.93
2019-06-13,14.26,14.03,14.33,13.83
2019-06-14,14.33,14.08,14.44,14.03
2019-06-17,15.0,14.37,15.13,14.28
2019-06-18,14.98,15.25,15.65,14.84
2019-06-19,15.1,15.01,15.18,14.74
2019-06-20,14.64,14.87,15.13,14.42
2019-06-21,14.79,14.41,14.81,14.37
2019-06-24,14.91,14.88,15.06,14.73
2019-06-25,14.65,14.96,15.02,14.63
2019-06-26,14.62,14.69,15.15,14.54
2019-06-27,14.86,14.63,14.86,14.49
2019-06-28,14.9,14.73,15.01,14.72
2019-07-01,15.14,15.35,15.54,15.09
2019-07-02,14.97,15.26,15.28,14.81
2019-07-03,15.66,15.96,16.1,15.63
2019-07-05,15.54,15.64,15.7,15.39
2019-07-08,15.36,15.42,15.48,15.24
2019-07-09,15.34,15.26,15.4,15.15
2019-07-10,15.93,15.61,15.93,15.54
2019-07-11,15.91,15.88,16.1,15.72
2019-07-12,16.34,15.98,16.36,15.98
2019-07-15,16.9,16.53,16.96,16.32
2019-07-16,16.83,16.62,16.9,16.53
2019-07-17,16.99,17.04,17.22,16.89
2019-07-18,16.9,17.0,17.05,16.79
2019-07-19,17.21,17.05,17.33,16.97
2019-07-22,17.05,17.25,17.48,16.95
2019-07-23,17.34,17.11,17.37,16.97
2019-07-24,17.66,17.28,17.74,17.21
2019-07-25,15.25,15.57,15.63,15.04
2019-07-26,15.2,15.13,15.35,14.82
2019-07-29,15.72,15.14,15.73,15.07
2019-07-30,16.15,15.53,16.22,15.48
2019-07-31,16.11,16.2,16.45,15.78
2019-08-01,15.59,16.18,16.3,15.45
2019-08-02,15.62,15.42,15.75,15.28
2019-08-05,15.22,15.31,15.42,15.05
2019-08-06,15.38,15.46,15.5,15.05
2019-08-07,15.56,15.1,15.57,15.05
2019-08-08,15.89,15.63,15.99,15.51
2019-08-09,15.67,15.74,15.93,15.59
2019-08-12,15.27,15.53,15.72,15.25
2019-08-13,15.67,15.25,15.73,15.17
2019-08-14,14.64,15.41,15.43,14.45
2019-08-15,14.38,14.72,14.77,14.1
2019-08-16,14.66,14.44,14.82,14.4
2019-08-19,15.12,14.95,15.19,14.78
2019-08-20,15.06,15.17,15.27,14.97
2019-08-21,14.72,14.8,14.88,14.51
2019-08-22,14.81,14.85,15.03,14.55
2019-08-23,14.09,14.66,14.74,14.07
2019-08-26,14.33,14.24,14.33,14.1
2019-08-27,14.27,14.38,14.59,14.14
2019-08-28,14.37,14.25,14.48,14.15
2019-08-29,14.78,14.6,14.89,14.53
2019-08-30,15.04,15.28,15.5,14.95
2019-09-03,15.0,14.94,15.26,14.88
2019-09-04,14.71,15.13,15.23,14.61
2019-09-05,15.31,14.83,15.32,14.72
2019-09-06,15.16,15.15,15.31,15.01
2019-09-09,15.45,15.33,15.58,15.28
2019-09-10,15.7,15.39,15.7,15.26
2019-09-11,16.47,15.83,16.54,15.73
2019-09-12,16.39,16.51,16.9,16.29
2019-09-13,16.35,16.46,16.56,16.32
2019-09-16,16.19,16.4,16.5,16.08
