,Date,predicted
0,2023-11-10,[28680.326]
1,2023-11-13,[28222.586]
2,2023-11-14,[27768.37]
3,2023-11-15,[27582.156]
4,2023-11-16,[27209.826]
5,2023-11-17,[26684.89]
6,2023-11-20,[26338.252]
7,2023-11-21,[26887.84]
8,2023-11-22,[27208.225]
9,2023-11-23,[27618.21]
10,2023-11-24,[27829.926]
11,2023-11-27,[27973.99]
12,2023-11-28,[27786.264]
13,2023-11-29,[27750.59]
14,2023-11-30,[27244.81]
15,2023-12-01,[26725.354]
16,2023-12-04,[26511.941]
17,2023-12-05,[26454.223]
18,2023-12-06,[26327.725]
19,2023-12-07,[26685.396]
20,2023-12-08,[26932.791]
21,2023-12-11,[27685.166]
22,2023-12-12,[28073.656]
23,2023-12-13,[28185.57]
24,2023-12-14,[28154.707]
25,2023-12-15,[28193.27]
26,2023-12-18,[28275.877]
27,2023-12-19,[28165.332]
28,2023-12-20,[28124.645]
29,2023-12-21,[27902.965]
30,2023-12-22,[27922.955]
31,2023-12-25,[28905.271]
32,2023-12-26,[29698.793]
33,2023-12-27,[30049.695]
34,2023-12-28,[30148.441]
35,2023-12-29,[30215.598]
36,2024-01-02,[30033.55]
37,2024-01-03,[30131.12]
38,2024-01-04,[30559.281]
39,2024-01-05,[30622.402]
40,2024-01-08,[30636.324]
41,2024-01-09,[30544.195]
42,2024-01-10,[30498.951]
43,2024-01-11,[30539.195]
44,2024-01-12,[30586.713]
45,2024-01-15,[30493.059]
46,2024-01-16,[29914.006]
47,2024-01-17,[29973.498]
48,2024-01-18,[29050.53]
49,2024-01-19,[28468.863]
50,2024-01-22,[28147.549]
51,2024-01-23,[28332.648]
52,2024-01-24,[28539.607]
53,2024-01-25,[28804.098]
54,2024-01-26,[29288.375]
55,2024-01-29,[30188.867]
56,2024-01-30,[30690.47]
57,2024-01-31,[30616.059]
58,2024-02-01,[30762.752]
59,2024-02-02,[30811.111]
60,2024-02-05,[30379.627]
61,2024-02-06,[30120.09]
62,2024-02-07,[30085.271]
63,2024-02-15,[30257.748]
64,2024-02-16,[30649.254]
65,2024-02-19,[30979.152]
66,2024-02-20,[31413.74]
67,2024-02-21,[31813.855]
68,2024-02-22,[32205.434]
69,2024-02-23,[30999.963]
70,2024-02-26,[30135.566]
71,2024-02-27,[29643.951]
72,2024-02-28,[29451.2]
73,2024-02-29,[29451.033]
74,2024-03-01,[29353.922]
75,2024-03-04,[29330.]
76,2024-03-05,[29245.824]
77,2024-03-06,[29793.004]
78,2024-03-07,[30718.418]
79,2024-03-08,[31407.531]
80,2024-03-11,[31851.715]
81,2024-03-12,[31379.373]
82,2024-03-13,[31365.803]
83,2024-03-14,[31149.775]
84,2024-03-15,[31047.91]
85,2024-03-18,[30985.164]
86,2024-03-19,[30922.816]
87,2024-03-20,[30188.164]
88,2024-03-21,[29776.23]
89,2024-03-22,[29428.174]
90,2024-03-25,[29081.65]
91,2024-03-26,[28873.482]
92,2024-03-27,[28716.973]
93,2024-03-28,[28570.35]
94,2024-03-29,[28284.139]
95,2024-04-01,[28281.129]
96,2024-04-02,[28222.127]
97,2024-04-03,[27948.748]
98,2024-04-04,[27598.68]
99,2024-04-05,[27269.266]
100,2024-04-08,[27512.928]
101,2024-04-09,[27695.006]
102,2024-04-10,[28546.506]
103,2024-04-11,[28904.32]
104,2024-04-12,[28846.434]
105,2024-04-15,[28214.2]
106,2024-04-16,[27465.547]
107,2024-04-17,[27586.414]
108,2024-04-19,[27822.906]
109,2024-04-22,[27877.365]
110,2024-04-23,[27880.908]
111,2024-04-24,[27739.398]
112,2024-04-25,[27981.834]
113,2024-04-26,[27540.732]
114,2024-05-02,[27496.566]
115,2024-05-03,[27807.621]
116,2024-05-06,[28286.45]
117,2024-05-07,[28657.434]
118,2024-05-08,[28879.162]
119,2024-05-09,[28805.926]
120,2024-05-10,[28870.861]
121,2024-05-13,[28908.693]
122,2024-05-14,[29024.299]
123,2024-05-15,[29365.441]
124,2024-05-16,[29272.572]
125,2024-05-17,[28946.37]
126,2024-05-20,[28507.064]
127,2024-05-21,[28541.748]
128,2024-05-22,[28551.162]
129,2024-05-23,[29095.45]
130,2024-05-24,[29482.45]
131,2024-05-27,[30010.307]
132,2024-05-28,[30589.422]
133,2024-05-29,[31144.889]
134,2024-05-30,[31432.65]
135,2024-05-31,[31565.63]
136,2024-06-03,[30523.268]
137,2024-06-04,[30338.889]
138,2024-06-05,[29993.46]
139,2024-06-06,[29973.055]
140,2024-06-07,[29814.506]
141,2024-06-10,[29612.256]
142,2024-06-11,[29337.164]
143,2024-06-12,[29291.05]
144,2024-06-13,[29245.697]
145,2024-06-14,[28919.812]
146,2024-06-17,[28255.873]
147,2024-06-18,[28125.354]
148,2024-06-19,[28429.7]
149,2024-06-20,[29053.059]
