Date,predicted
2023-11-16,28163.799
2023-11-17,27586.055
2023-11-20,27078.49
2023-11-21,27601.918
2023-11-22,27644.918
2023-11-23,28127.605
2023-11-24,28348.062
2023-11-27,28477.812
2023-11-28,28000.66
2023-11-29,28200.158
2023-11-30,27217.441
2023-12-01,27041.885
2023-12-04,26973.92
2023-12-05,26673.809
2023-12-06,26921.033
2023-12-07,27288.223
2023-12-08,27182.441
2023-12-11,27730.953
2023-12-12,27883.47
2023-12-13,28038.684
2023-12-14,28085.402
2023-12-15,28373.627
2023-12-18,28801.758
2023-12-19,28567.826
2023-12-20,28446.098
2023-12-21,28472.312
2023-12-22,29175.43
2023-12-25,29456.281
2023-12-26,29701.787
2023-12-27,29945.113
2023-12-28,29849.373
2023-12-29,29863.975
2024-01-02,29723.393
2024-01-03,29923.426
2024-01-04,29563.549
2024-01-05,29683.207
2024-01-08,30227.709
2024-01-09,30072.604
2024-01-10,30408.889
2024-01-11,30497.754
2024-01-12,30430.322
2024-01-15,29913.371
2024-01-16,29177.414
2024-01-17,30206.062
2024-01-18,28329.75
2024-01-19,27531.932
2024-01-22,27602.143
2024-01-23,29191.28
2024-01-24,29760.81
2024-01-25,30033.236
2024-01-26,30275.09
2024-01-29,30422.424
2024-01-30,30469.967
2024-01-31,30092.645
2024-02-01,30965.064
2024-02-02,31035.438
2024-02-05,30634.232
2024-02-06,30459.883
2024-02-07,30754.26
2024-02-15,31656.26
2024-02-16,32058.371
2024-02-19,32180.701
2024-02-20,32227.654
2024-02-21,32232.527
2024-02-22,32230.389
2024-02-23,31093.576
2024-02-26,30478.062
2024-02-27,30229.027
2024-02-28,30267.6
2024-02-29,30921.803
2024-03-01,30804.28
2024-03-04,30848.184
2024-03-05,30267.615
2024-03-06,30669.873
2024-03-07,30826.428
2024-03-08,31489.656
2024-03-11,31681.75
2024-03-12,31377.01
2024-03-13,31477.484
2024-03-14,31303.115
2024-03-15,31766.842
2024-03-18,31841.193
2024-03-19,31897.713
2024-03-20,31062.953
2024-03-21,30767.953
2024-03-22,30413.02
2024-03-25,30044.389
2024-03-26,29640.14
2024-03-27,29416.924
2024-03-28,29365.475
2024-03-29,29039.266
2024-04-01,28977.494
2024-04-02,28229.594
2024-04-03,27698.871
2024-04-04,27395.865
2024-04-05,26697.35
2024-04-08,27400.525
2024-04-09,27680.145
2024-04-10,28569.195
2024-04-11,28778.512
2024-04-12,28932.98
2024-04-15,28413.035
2024-04-16,27548.713
2024-04-17,28263.965
2024-04-19,28832.6
2024-04-22,28885.877
2024-04-23,28748.572
2024-04-24,28361.67
2024-04-25,27868.754
2024-04-26,27498.275
2024-05-02,28007.904
2024-05-03,28871.219
2024-05-06,29632.11
2024-05-07,29354.805
2024-05-08,29019.498
2024-05-09,28135.574
2024-05-10,28122.402
2024-05-13,28133.078
2024-05-14,28390.18
2024-05-15,29500.906
2024-05-16,29352.94
2024-05-17,28325.455
