Date,predicted
2023-11-16,27284.266
2023-11-17,27819.398
2023-11-20,28005.271
2023-11-21,28245.488
2023-11-22,27653.668
2023-11-23,28596.436
2023-11-24,29026.229
2023-11-27,28396.23
2023-11-28,28058.553
2023-11-29,28697.158
2023-11-30,27673.334
2023-12-01,27591.535
2023-12-04,27354.059
2023-12-05,26966.824
2023-12-06,27303.793
2023-12-07,27418.486
2023-12-08,27119.709
2023-12-11,28013.217
2023-12-12,27887.637
2023-12-13,27771.367
2023-12-14,27565.06
2023-12-15,27422.758
2023-12-18,27143.428
2023-12-19,27134.309
2023-12-20,27762.041
2023-12-21,27874.854
2023-12-22,28194.852
2023-12-25,28446.63
2023-12-26,28835.385
2023-12-27,29373.229
2023-12-28,29409.174
2023-12-29,29565.145
2024-01-02,29693.434
2024-01-03,29811.846
2024-01-04,29623.805
2024-01-05,29723.727
2024-01-08,30027.443
2024-01-09,29950.992
2024-01-10,30171.639
2024-01-11,30368.633
2024-01-12,30496.748
2024-01-15,30178.463
2024-01-16,29667.895
2024-01-17,30321.58
2024-01-18,29300.777
2024-01-19,28806.553
2024-01-22,28515.39
2024-01-23,29324.129
2024-01-24,29692.902
2024-01-25,29868.549
2024-01-26,30069.47
2024-01-29,29899.006
2024-01-30,30048.324
2024-01-31,29988.965
2024-02-01,30593.865
2024-02-02,30700.477
2024-02-05,30686.404
2024-02-06,30946.916
2024-02-07,31109.45
2024-02-15,31439.943
2024-02-16,31959.729
2024-02-19,31725.527
2024-02-20,32015.656
2024-02-21,32151.76
2024-02-22,32197.086
2024-02-23,31493.79
2024-02-26,31086.295
2024-02-27,30238.93
2024-02-28,30012.572
2024-02-29,30772.19
2024-03-01,30386.094
2024-03-04,30724.979
2024-03-05,30106.7
2024-03-06,30441.574
2024-03-07,31085.873
2024-03-08,31309.832
2024-03-11,31352.104
2024-03-12,30410.1
2024-03-13,30625.107
2024-03-14,30365.775
2024-03-15,30906.13
2024-03-18,31563.309
2024-03-19,31622.299
2024-03-20,29703.023
2024-03-21,29495.365
2024-03-22,29151.81
2024-03-25,29051.012
2024-03-26,28996.348
2024-03-27,29242.207
2024-03-28,29343.895
2024-03-29,29106.158
2024-04-01,29443.906
2024-04-02,28344.2
2024-04-03,28804.74
2024-04-04,28248.492
2024-04-05,27802.844
2024-04-08,27764.9
2024-04-09,27551.494
2024-04-10,28393.957
2024-04-11,28695.03
2024-04-12,28478.836
2024-04-15,27553.857
2024-04-16,27366.479
2024-04-17,28127.75
2024-04-19,28440.555
2024-04-22,27867.145
2024-04-23,28015.055
2024-04-24,28078.01
2024-04-25,27939.13
2024-04-26,27744.785
2024-05-02,27962.033
2024-05-03,28520.822
2024-05-06,29069.992
2024-05-07,29149.275
2024-05-08,29080.13
2024-05-09,28423.877
2024-05-10,28379.418
2024-05-13,28316.877
2024-05-14,28478.607
2024-05-15,28299.627
2024-05-16,27821.486
2024-05-17,27950.957
