Date,predicted
2023-11-20,232.6747
2023-11-21,236.9192
2023-11-22,239.47372
2023-11-24,246.08809
2023-11-27,250.52902
2023-11-28,248.69019
2023-11-29,245.39348
2023-11-30,246.69838
2023-12-01,255.41412
2023-12-04,260.65518
2023-12-05,263.44763
2023-12-06,267.93344
2023-12-07,259.1484
2023-12-08,265.5851
2023-12-11,261.86407
2023-12-12,265.28497
2023-12-13,267.00806
2023-12-14,258.42236
2023-12-15,254.84248
2023-12-18,250.6838
2023-12-19,240.90927
2023-12-20,233.0618
2023-12-21,224.54347
2023-12-22,227.55911
2023-12-26,220.33453
2023-12-27,219.47322
2023-12-28,219.0873
2023-12-29,210.8708
2024-01-02,207.7995
2024-01-03,201.93143
2024-01-04,200.96709
2024-01-05,202.18463
2024-01-08,203.4954
2024-01-09,204.20128
2024-01-10,204.31401
2024-01-11,202.50183
2024-01-12,202.40627
2024-01-16,207.12576
2024-01-17,208.03308
2024-01-18,205.5281
2024-01-19,205.6834
2024-01-22,205.213
2024-01-23,199.8208
2024-01-24,200.24504
2024-01-25,203.28197
2024-01-26,205.29077
2024-01-29,206.06625
2024-01-30,201.57141
2024-01-31,197.24321
2024-02-01,197.1904
2024-02-02,196.5713
2024-02-05,197.84773
2024-02-06,196.37827
2024-02-07,198.43694
2024-02-08,199.41699
2024-02-09,197.03052
2024-02-12,199.17497
2024-02-13,200.2226
2024-02-14,202.93236
2024-02-15,206.25261
2024-02-16,210.75429
2024-02-20,203.62317
2024-02-21,190.93352
2024-02-22,179.42397
2024-02-23,172.9804
2024-02-26,164.81006
2024-02-27,162.71283
2024-02-28,160.11487
2024-02-29,156.45782
2024-03-01,156.91142
2024-03-04,151.52422
2024-03-05,159.2589
2024-03-06,160.49214
2024-03-07,167.54846
2024-03-08,171.46027
2024-03-11,173.03152
2024-03-12,175.01425
2024-03-13,177.75569
2024-03-14,179.19836
2024-03-15,177.3749
2024-03-18,177.86269
2024-03-19,174.8583
2024-03-20,175.03757
2024-03-21,177.63567
2024-03-22,170.30162
2024-03-25,175.47018
2024-03-26,177.96155
2024-03-27,178.0271
2024-03-28,182.8407
2024-04-01,181.11609
2024-04-02,169.88725
2024-04-03,160.8334
2024-04-04,153.60655
2024-04-05,147.90991
2024-04-08,144.65959
2024-04-09,142.22223
2024-04-10,140.6342
2024-04-11,151.49449
2024-04-12,159.90984
2024-04-15,166.47366
2024-04-16,172.81862
2024-04-17,176.30258
2024-04-18,177.52496
2024-04-19,178.22858
2024-04-22,182.37358
2024-04-23,187.79996
2024-04-24,182.00262
2024-04-25,182.56744
2024-04-26,181.50703
2024-04-29,179.69841
2024-04-30,178.90257
2024-05-01,179.9183
2024-05-02,179.94748
2024-05-03,181.19797
2024-05-06,186.8941
2024-05-07,186.74998
2024-05-08,188.25581
2024-05-09,183.37589
2024-05-10,174.90746
2024-05-13,176.84233
2024-05-14,172.11234
2024-05-15,170.6127
2024-05-16,173.1526
