Date,predicted
2023-11-20,221.38948
2023-11-21,225.31334
2023-11-22,233.70805
2023-11-24,246.11713
2023-11-27,252.1694
2023-11-28,237.53372
2023-11-29,231.10373
2023-11-30,228.86064
2023-12-01,244.08989
2023-12-04,247.19739
2023-12-05,254.87067
2023-12-06,260.0581
2023-12-07,249.01198
2023-12-08,256.18964
2023-12-11,263.85236
2023-12-12,271.07703
2023-12-13,275.34464
2023-12-14,265.22842
2023-12-15,252.78226
2023-12-18,245.85303
2023-12-19,238.33917
2023-12-20,238.29498
2023-12-21,233.74596
2023-12-22,237.233
2023-12-26,230.77986
2023-12-27,227.42833
2023-12-28,227.22719
2023-12-29,219.84473
2024-01-02,218.25963
2024-01-03,218.94087
2024-01-04,215.36351
2024-01-05,214.6286
2024-01-08,213.05338
2024-01-09,211.9963
2024-01-10,210.48099
2024-01-11,209.87288
2024-01-12,206.38718
2024-01-16,205.8478
2024-01-17,202.78328
2024-01-18,199.11113
2024-01-19,198.33995
2024-01-22,200.95706
2024-01-23,195.47934
2024-01-24,196.91762
2024-01-25,198.04106
2024-01-26,201.27475
2024-01-29,205.29373
2024-01-30,202.88972
2024-01-31,191.8816
2024-02-01,193.56662
2024-02-02,199.88007
2024-02-05,208.6746
2024-02-06,196.69847
2024-02-07,199.51788
2024-02-08,204.31995
2024-02-09,194.15543
2024-02-12,206.40796
2024-02-13,210.96385
2024-02-14,204.66904
2024-02-15,204.04994
2024-02-16,206.74054
2024-02-20,189.20006
2024-02-21,180.63731
2024-02-22,171.47957
2024-02-23,169.07616
2024-02-26,161.64209
2024-02-27,160.10324
2024-02-28,156.68259
2024-02-29,155.5108
2024-03-01,155.38478
2024-03-04,167.95622
2024-03-05,166.71126
2024-03-06,168.839
2024-03-07,170.18279
2024-03-08,174.366
2024-03-11,172.59486
2024-03-12,178.78929
2024-03-13,184.54036
2024-03-14,184.76721
2024-03-15,176.99818
2024-03-18,170.3159
2024-03-19,168.78528
2024-03-20,168.59564
2024-03-21,171.53297
2024-03-22,163.24452
2024-03-25,175.58252
2024-03-26,183.62071
2024-03-27,176.89378
2024-03-28,185.06654
2024-04-01,178.76836
2024-04-02,166.07765
2024-04-03,156.30766
2024-04-04,152.1357
2024-04-05,149.14691
2024-04-08,143.73326
2024-04-09,140.47804
2024-04-10,140.24757
2024-04-11,146.5875
2024-04-12,150.15967
2024-04-15,150.01791
2024-04-16,150.69374
2024-04-17,160.25783
2024-04-18,163.0547
2024-04-19,166.00818
2024-04-22,171.40605
2024-04-23,175.61563
2024-04-24,175.46043
2024-04-25,183.16695
2024-04-26,185.17792
2024-04-29,184.15965
2024-04-30,182.749
2024-05-01,180.38591
2024-05-02,181.02863
2024-05-03,179.69997
2024-05-06,192.42982
2024-05-07,188.60292
2024-05-08,199.10748
2024-05-09,186.4246
2024-05-10,174.42252
2024-05-13,175.79727
2024-05-14,177.82521
2024-05-15,178.08232
2024-05-16,180.8042
