Date,predicted
2023-11-20,222.30156
2023-11-21,231.94902
2023-11-22,232.91246
2023-11-24,247.71075
2023-11-27,248.92792
2023-11-28,237.722
2023-11-29,229.36984
2023-11-30,232.20564
2023-12-01,240.38284
2023-12-04,245.86346
2023-12-05,254.27338
2023-12-06,260.43668
2023-12-07,260.2836
2023-12-08,257.03046
2023-12-11,255.41203
2023-12-12,257.59036
2023-12-13,262.4137
2023-12-14,260.04477
2023-12-15,247.63094
2023-12-18,233.22589
2023-12-19,241.48883
2023-12-20,227.66042
2023-12-21,223.6808
2023-12-22,227.702
2023-12-26,216.92033
2023-12-27,216.35907
2023-12-28,214.08488
2023-12-29,211.91005
2024-01-02,212.78192
2024-01-03,209.99277
2024-01-04,202.69438
2024-01-05,199.47437
2024-01-08,193.74777
2024-01-09,193.22614
2024-01-10,193.5552
2024-01-11,188.62607
2024-01-12,189.64369
2024-01-16,195.98073
2024-01-17,197.79878
2024-01-18,195.4971
2024-01-19,190.76163
2024-01-22,183.88736
2024-01-23,180.51947
2024-01-24,184.84375
2024-01-25,189.59721
2024-01-26,187.35861
2024-01-29,192.1448
2024-01-30,189.87598
2024-01-31,176.08662
2024-02-01,190.86183
2024-02-02,196.62093
2024-02-05,195.14261
2024-02-06,201.41576
2024-02-07,203.8909
2024-02-08,202.37083
2024-02-09,196.45908
2024-02-12,203.0875
2024-02-13,206.10553
2024-02-14,202.85345
2024-02-15,195.871
2024-02-16,199.46147
2024-02-20,194.19714
2024-02-21,190.26917
2024-02-22,176.51418
2024-02-23,175.42238
2024-02-26,164.303
2024-02-27,165.8099
2024-02-28,166.00345
2024-02-29,155.68788
2024-03-01,150.56387
2024-03-04,152.39723
2024-03-05,167.77177
2024-03-06,170.21024
2024-03-07,172.31584
2024-03-08,171.47191
2024-03-11,170.65446
2024-03-12,170.23666
2024-03-13,178.37564
2024-03-14,180.15633
2024-03-15,179.17215
2024-03-18,174.84413
2024-03-19,176.86714
2024-03-20,178.69302
2024-03-21,182.80876
2024-03-22,164.83557
2024-03-25,175.49648
2024-03-26,184.52632
2024-03-27,183.81473
2024-03-28,187.2592
2024-04-01,185.93816
2024-04-02,164.9804
2024-04-03,160.02805
2024-04-04,154.843
2024-04-05,145.81197
2024-04-08,143.3055
2024-04-09,139.23656
2024-04-10,143.02863
2024-04-11,154.77724
2024-04-12,167.34955
2024-04-15,168.04932
2024-04-16,166.65143
2024-04-17,170.9267
2024-04-18,173.18117
2024-04-19,174.25806
2024-04-22,177.89297
2024-04-23,183.04126
2024-04-24,169.41121
2024-04-25,179.91212
2024-04-26,178.45227
2024-04-29,181.6321
2024-04-30,198.46463
2024-05-01,199.98296
2024-05-02,195.13135
2024-05-03,194.37978
2024-05-06,192.45663
2024-05-07,194.67784
2024-05-08,210.21414
2024-05-09,202.69937
2024-05-10,181.2665
2024-05-13,198.12166
2024-05-14,192.34872
2024-05-15,200.56163
2024-05-16,203.57878
